mode_rank,m,n,Omega_exact,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct
234,16,8,3158.2734,99.973688,0.021050,0.005262
235,1,18,3207.6214,99.973277,0.000082,0.026641
236,18,1,3207.6214,99.973277,0.026641,0.000082
237,6,17,3207.6214,99.973277,0.002960,0.023763
238,17,6,3207.6214,99.973277,0.023763,0.002960
239,10,15,3207.6214,99.973277,0.008222,0.018501
240,15,10,3207.6214,99.973277,0.018501,0.008222
241,2,18,3237.2302,99.973030,0.000329,0.026641
242,18,2,3237.2302,99.973030,0.026641,0.000329
243,3,18,3286.5783,99.972619,0.000740,0.026641
244,18,3,3286.5783,99.972619,0.026641,0.000740
245,9,16,3326.0567,99.972291,0.006660,0.021049
246,16,9,3326.0567,99.972291,0.021049,0.006660
247,7,17,3335.9263,99.972208,0.004029,0.023763
248,17,7,3335.9263,99.972208,0.023763,0.004029
249,13,13,3335.9263,99.972208,0.013896,0.013896
250,4,18,3355.6655,99.972044,0.001316,0.026640
251,18,4,3355.6655,99.972044,0.026640,0.001316
252,12,14,3355.6655,99.972044,0.011840,0.016116
253,14,12,3355.6655,99.972044,0.016116,0.011840
254,11,15,3414.8831,99.971551,0.009949,0.018500
255,15,11,3414.8831,99.971551,0.018500,0.009949
256,5,18,3444.4919,99.971304,0.002056,0.026640
257,18,5,3444.4919,99.971304,0.026640,0.002056
258,8,17,3483.9704,99.970975,0.005262,0.023762
259,17,8,3483.9704,99.970975,0.023762,0.005262
260,10,16,3513.5792,99.970729,0.008222,0.021049
261,16,10,3513.5792,99.970729,0.021049,0.008222
262,6,18,3553.0576,99.970400,0.002960,0.026640
263,18,6,3553.0576,99.970400,0.026640,0.002960
264,1,19,3572.7968,99.970236,0.000082,0.029682
265,19,1,3572.7968,99.970236,0.029682,0.000082
266,2,19,3602.4056,99.969989,0.000329,0.029682
267,19,2,3602.4056,99.969989,0.029682,0.000329
268,13,14,3602.4056,99.969989,0.013896,0.016116
269,14,13,3602.4056,99.969989,0.016116,0.013896
270,12,15,3641.8840,99.969660,0.011840,0.018500
271,15,12,3641.8840,99.969660,0.018500,0.011840
272,3,19,3651.7536,99.969578,0.000740,0.029682
273,19,3,3651.7536,99.969578,0.029682,0.000740
274,9,17,3651.7536,99.969578,0.006660,0.023762
275,17,9,3651.7536,99.969578,0.023762,0.006660
276,7,18,3681.3624,99.969331,0.004029,0.026640
277,18,7,3681.3624,99.969331,0.026640,0.004029
278,4,19,3720.8409,99.969003,0.001316,0.029682
279,19,4,3720.8409,99.969003,0.029682,0.001316
280,11,16,3720.8409,99.969003,0.009949,0.021049
281,16,11,3720.8409,99.969003,0.021049,0.009949
282,5,19,3809.6673,99.968263,0.002056,0.029682
283,19,5,3809.6673,99.968263,0.029682,0.002056
284,8,18,3829.4065,99.968098,0.005262,0.026639
285,18,8,3829.4065,99.968098,0.026639,0.005262
286,10,17,3839.2761,99.968016,0.008222,0.023762
287,17,10,3839.2761,99.968016,0.023762,0.008222
288,14,14,3868.8849,99.967770,0.016115,0.016115
289,13,15,3888.6241,99.967605,0.013895,0.018500
