index,omega_sq_real,omega_sq_imag,Omega,is_finite,is_positive,is_real_mode
712.0,3.167179598494491e14,0.0,5.880952407183708e6,1.0,1.0,1.0
713.0,3.167179598495991e14,0.0,5.8809524071851e6,1.0,1.0,1.0
714.0,3.167413798801619e14,0.0,5.881169839658916e6,1.0,1.0,1.0
715.0,3.1674137988579556e14,0.0,5.881169839711218e6,1.0,1.0,1.0
716.0,3.2068320918620106e14,0.0,5.917652105618676e6,1.0,1.0,1.0
717.0,3.206832092244691e14,0.0,5.917652105971762e6,1.0,1.0,1.0
718.0,3.24854223864435e14,0.0,5.956012193237712e6,1.0,1.0,1.0
719.0,3.248570265707133e14,0.0,5.956037886172476e6,1.0,1.0,1.0
720.0,3.248844775215839e14,0.0,5.956289528335317e6,1.0,1.0,1.0
721.0,3.2488876842412806e14,0.0,5.9563288619681485e6,1.0,1.0,1.0
722.0,3.304541495321077e14,0.0,6.007128526085168e6,1.0,1.0,1.0
723.0,3.3045414953217075e14,0.0,6.007128526085741e6,1.0,1.0,1.0
724.0,3.304903582719755e14,0.0,6.007457625593352e6,1.0,1.0,1.0
725.0,3.304903582722206e14,0.0,6.007457625595581e6,1.0,1.0,1.0
726.0,3.32199351996896e14,0.0,6.022970134249467e6,1.0,1.0,1.0
727.0,3.32207545084559e14,0.0,6.02304440654673e6,1.0,1.0,1.0
728.0,3.322156097269018e14,0.0,6.023117513562033e6,1.0,1.0,1.0
729.0,3.322278356506665e14,0.0,6.023228341433918e6,1.0,1.0,1.0
730.0,3.337281934825005e14,0.0,6.036813623782753e6,1.0,1.0,1.0
731.0,3.337298246044249e14,0.0,6.036828376457558e6,1.0,1.0,1.0
732.0,3.337669794395388e14,0.0,6.037164413430997e6,1.0,1.0,1.0
733.0,3.3376956193867656e14,0.0,6.037187769458846e6,1.0,1.0,1.0
734.0,3.3480673028189894e14,0.0,6.046560588200813e6,1.0,1.0,1.0
735.0,3.348067302819556e14,0.0,6.046560588201325e6,1.0,1.0,1.0
736.0,3.348474484296531e14,0.0,6.0469282589194095e6,1.0,1.0,1.0
737.0,3.348474484367081e14,0.0,6.046928258983112e6,1.0,1.0,1.0
738.0,3.4074367475037125e14,0.0,6.099935186765556e6,1.0,1.0,1.0
739.0,3.407436747524819e14,0.0,6.099935186784449e6,1.0,1.0,1.0
740.0,3.407614371088464e14,0.0,6.100094174050596e6,1.0,1.0,1.0
741.0,3.407614371357251e14,0.0,6.1000941742911795e6,1.0,1.0,1.0
742.0,3.441571318448154e14,0.0,6.13041261233319e6,1.0,1.0,1.0
743.0,3.4415713187188144e14,0.0,6.130412612574251e6,1.0,1.0,1.0
744.0,3.466153569565578e14,0.0,6.152267629066222e6,1.0,1.0,1.0
745.0,3.466174216248606e14,0.0,6.152285952508611e6,1.0,1.0,1.0
746.0,3.466377181726066e14,0.0,6.15246607665972e6,1.0,1.0,1.0
