case,h_over_L,formula_same_point,fem_same_point,field_l2_vs_formula_pct
SS,0.001,1.5625039,1.5622539164827454,0.0249617938201175
CF,0.001,15.0000156,15.000014699167671,0.002740625226831259
SS,0.01,0.0015628899999999997,0.0015626400000947178,0.02495863782463019
CF,0.01,0.015001559999999995,0.015001559993106456,0.002738008663335758
SS,0.1,1.6014999999999994e-06,1.6012500000034046e-06,0.024558564820334673
CF,0.1,1.5155999999999995e-05,1.5156000000012548e-05,0.0026947232031102404
