mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,274,2.026539e+08,11.211091,5.347419e+00,2.285820e+01,2.043014e+01
2,275,2.328132e+08,12.879545,7.897912e-01,5.552263e+00,2.720385e+00
3,276,3.801565e+08,21.030775,1.089421e+00,6.703342e+00,3.659502e+00
4,277,5.122907e+08,28.340623,7.414717e-01,5.298300e+00,4.740585e+00
5,278,5.175120e+08,28.629470,4.996534e-01,5.631084e+00,2.236457e+00
6,279,5.409855e+08,29.928056,5.663848e-01,5.306208e+00,3.532865e+00
7,280,7.082290e+08,39.180198,5.639398e-01,5.959460e+00,2.809772e+00
8,281,7.513654e+08,41.566562,6.014235e-01,6.383675e+00,2.696276e+00
9,282,7.935497e+08,43.900254,7.274189e-01,4.785747e+00,4.864586e+00
10,283,9.265658e+08,51.258887,6.008562e-01,6.600456e+00,3.501068e+00
11,284,9.404776e+08,52.028506,4.870198e-01,5.153804e+00,4.396157e+00
12,285,9.762625e+08,54.008174,5.159955e-01,4.831841e+00,4.140181e+00
13,286,1.018779e+09,56.360270,8.286298e-01,5.753531e+00,5.610874e+00
14,287,1.031107e+09,57.042229,4.585836e-01,6.421614e+00,3.003128e+00
15,288,1.062631e+09,58.786181,2.626905e-01,3.866446e+00,2.483461e+00
16,289,1.063018e+09,58.807585,2.839502e-01,4.103736e+00,2.643691e+00
17,290,1.118944e+09,61.901495,3.128599e-01,4.912071e+00,2.009278e+00
18,291,1.120019e+09,61.960963,5.584871e-01,4.862827e+00,4.204254e+00
19,292,1.188204e+09,65.733071,5.747032e-01,5.705025e+00,4.795735e+00
20,293,1.195750e+09,66.150522,3.258701e-01,5.323420e+00,2.124964e+00
