mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,419,1.127516e+08,6.237571,4.787298e+00,2.393659e+01,1.593692e+01
2,420,1.129949e+08,6.251030,1.099349e+00,5.522375e+00,3.641937e+00
3,421,1.463414e+08,8.095805,9.192729e-01,6.258677e+00,2.803536e+00
4,422,1.469555e+08,8.129778,8.810484e-01,5.951857e+00,2.758570e+00
5,423,1.716935e+08,9.498319,6.419154e-01,5.429836e+00,1.415484e+00
6,424,1.723088e+08,9.532356,7.384295e-01,5.895203e+00,2.161244e+00
7,425,1.740048e+08,9.626185,6.549235e-01,5.811456e+00,1.232825e+00
8,426,1.808421e+08,10.004431,7.752053e-01,6.995336e+00,1.530820e+00
9,427,1.916216e+08,10.600767,1.798821e+00,7.474389e+00,6.409883e+00
10,428,1.925769e+08,10.653617,2.010490e+00,8.250402e+00,7.152744e+00
11,429,2.139712e+08,11.837177,7.492825e-01,5.060533e+00,3.436843e+00
12,430,2.244461e+08,12.416666,9.830949e-01,7.058882e+00,3.468807e+00
13,431,2.419631e+08,13.385732,7.054530e-01,4.699238e+00,3.539990e+00
14,432,2.782330e+08,15.392227,6.742187e-01,4.573623e+00,3.674633e+00
15,433,3.236330e+08,17.903819,6.494875e-01,4.469242e+00,3.844974e+00
16,434,3.721721e+08,20.589067,1.279868e+00,8.334084e+00,4.495506e+00
17,435,3.758767e+08,20.794011,6.571490e-01,4.600220e+00,4.250013e+00
18,436,4.233042e+08,23.417766,7.684202e-01,6.426563e+00,5.149504e+00
19,437,4.376970e+08,24.213994,5.190549e-01,5.101292e+00,3.375481e+00
20,438,4.553648e+08,25.191404,7.910889e-01,6.843131e+00,5.296840e+00
