mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,469,7.234492e+07,4.002220,1.000309e+01,3.301112e+01,3.300998e+01
2,470,1.141453e+08,6.314672,1.580085e+00,1.048408e+01,5.209420e+00
3,471,2.066350e+08,11.431328,1.044317e+00,1.048721e+01,3.437973e+00
4,472,2.925626e+08,16.184961,1.581152e+00,1.048193e+01,1.048203e+01
5,473,3.451621e+08,19.094838,7.733590e-01,1.048800e+01,2.540445e+00
6,474,3.464134e+08,19.164063,1.039360e+00,1.042921e+01,6.879888e+00
7,475,4.594177e+08,25.415616,1.580288e+00,5.210373e+00,1.048550e+01
8,476,4.713710e+08,26.076889,7.735052e-01,1.048054e+01,5.108848e+00
9,477,5.357093e+08,29.636169,6.083898e-01,1.048666e+01,1.992481e+00
10,478,6.555724e+08,36.267162,6.089087e-01,1.048590e+01,4.009537e+00
11,479,6.679075e+08,36.949555,1.046069e+00,1.047990e+01,1.047994e+01
12,480,7.320659e+08,40.498886,7.750779e-01,1.048562e+01,7.747720e+00
13,481,7.875281e+08,43.567130,1.048306e+00,6.942469e+00,1.051786e+01
14,482,7.884275e+08,43.616886,4.937580e-01,1.042574e+01,1.613069e+00
15,483,8.880097e+08,49.125907,6.099747e-01,1.048760e+01,6.078660e+00
16,484,9.047626e+08,50.052705,4.970571e-01,1.048707e+01,3.259887e+00
17,485,1.118242e+09,61.862662,4.149537e-01,1.048434e+01,1.346496e+00
18,486,1.121710e+09,62.054532,4.976626e-01,1.048267e+01,4.939241e+00
19,487,1.211843e+09,67.040821,8.164643e-01,1.102038e+01,1.102045e+01
20,488,1.232322e+09,68.173711,4.154975e-01,1.048767e+01,2.710646e+00
