mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,638,1.913427e+08,10.585341,8.507054e+00,3.460866e+01,3.094137e+01
2,639,2.187108e+08,12.099383,1.249888e+00,8.618131e+00,4.213331e+00
3,640,3.613669e+08,19.991310,1.694651e+00,1.022951e+01,5.656329e+00
4,641,4.769991e+08,26.388243,1.182719e+00,8.285475e+00,7.530323e+00
5,642,4.990816e+08,27.609874,7.778396e-01,8.421740e+00,3.943978e+00
6,643,5.064696e+08,28.018589,8.234798e-01,7.930363e+00,4.941513e+00
7,644,6.875527e+08,38.036356,8.762472e-01,9.071183e+00,5.152569e+00
8,645,7.146879e+08,39.537510,9.230072e-01,1.004236e+01,3.467811e+00
9,646,7.718371e+08,42.699085,1.362066e+00,7.981111e+00,8.985344e+00
10,647,9.043332e+08,50.028948,8.089820e-01,8.428566e+00,7.608028e+00
11,648,9.228450e+08,51.053048,6.459398e-01,9.157189e+00,3.273250e+00
12,649,9.460443e+08,52.336465,6.386364e-01,7.394083e+00,6.270179e+00
13,650,9.933386e+08,54.952850,1.383838e+00,6.619890e+00,8.961939e+00
14,651,1.081720e+09,59.842250,5.521440e-01,8.588225e+00,3.790207e+00
15,652,1.125443e+09,62.261055,9.136491e-01,7.262826e+00,8.099551e+00
16,653,1.152467e+09,63.756046,5.268452e-01,7.671730e+00,4.919671e+00
17,654,1.198524e+09,66.303975,6.529726e-01,1.027114e+01,2.442195e+00
18,655,1.353161e+09,74.858735,8.538623e-01,8.113165e+00,6.399484e+00
19,656,1.418554e+09,78.476322,7.023239e-01,8.668854e+00,5.876143e+00
20,657,1.446672e+09,80.031867,3.736651e-01,6.288388e+00,4.635443e+00
