mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,327,7.265334e+07,4.019282,8.497618e+00,2.828552e+01,2.828699e+01
2,328,1.146809e+08,6.344303,1.343456e+00,9.014028e+00,4.468174e+00
3,329,2.091951e+08,11.572959,8.847049e-01,9.021269e+00,2.938015e+00
4,330,2.941075e+08,16.270431,1.345435e+00,9.019286e+00,9.019234e+00
5,331,3.497172e+08,19.346832,8.831988e-01,8.997894e+00,5.911472e+00
6,332,3.535661e+08,19.559759,6.510260e-01,9.018038e+00,2.157150e+00
7,333,4.627602e+08,25.600526,1.344988e+00,4.473404e+00,9.024006e+00
8,334,4.805028e+08,26.582069,6.514498e-01,9.015565e+00,4.350302e+00
9,335,5.576911e+08,30.852233,5.084652e-01,9.023879e+00,1.679281e+00
10,336,6.760494e+08,37.399979,8.851058e-01,9.003039e+00,9.003006e+00
11,337,6.783663e+08,37.528149,5.081877e-01,9.010285e+00,3.382610e+00
12,338,7.447491e+08,41.200536,6.530359e-01,9.023080e+00,6.626892e+00
13,339,7.980689e+08,44.150261,8.856730e-01,5.927605e+00,9.022925e+00
14,340,8.383383e+08,46.378021,4.106867e-01,9.022918e+00,1.350347e+00
15,341,9.139396e+08,50.560385,5.097527e-01,9.022956e+00,5.155732e+00
16,342,9.556444e+08,52.867556,4.111440e-01,9.023876e+00,2.724361e+00
17,343,1.175690e+09,65.040790,4.118801e-01,9.024135e+00,4.146824e+00
18,344,1.221748e+09,67.588761,3.387951e-01,9.023068e+00,1.107198e+00
19,345,1.238658e+09,68.524270,6.545407e-01,9.021865e+00,9.021963e+00
20,346,1.324389e+09,73.267014,5.107635e-01,9.018625e+00,7.016247e+00
