mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,380,7.268808e+07,4.021204,8.995785e+00,2.984595e+01,2.984612e+01
2,381,1.144797e+08,6.333171,1.419059e+00,9.481361e+00,4.704395e+00
3,382,2.082005e+08,11.517936,9.352403e-01,9.481868e+00,3.095845e+00
4,383,2.935832e+08,16.241425,1.442239e+00,9.627936e+00,9.627829e+00
5,384,3.484231e+08,19.275241,9.494086e-01,9.616622e+00,6.328240e+00
6,385,3.502610e+08,19.376916,6.903606e-01,9.485687e+00,2.280145e+00
7,386,4.611761e+08,25.512891,1.419278e+00,4.705094e+00,9.482946e+00
8,387,4.768942e+08,26.382440,7.015206e-01,9.630236e+00,4.665400e+00
9,388,5.489412e+08,30.368175,5.405076e-01,9.485063e+00,1.779578e+00
10,389,6.692965e+08,37.026394,5.489798e-01,9.624521e+00,3.639397e+00
11,390,6.728645e+08,37.223783,9.324046e-01,9.429907e+00,9.429659e+00
12,391,7.397462e+08,40.923772,6.919545e-01,9.483866e+00,6.981864e+00
13,392,7.938855e+08,43.918833,9.505810e-01,6.336069e+00,9.628485e+00
14,393,8.182740e+08,45.268035,4.383310e-01,9.483232e+00,1.437054e+00
15,394,9.036415e+08,49.990681,5.419538e-01,9.485861e+00,5.450760e+00
16,395,9.351812e+08,51.735503,4.456366e-01,9.631779e+00,2.941603e+00
17,396,1.154012e+09,63.841519,4.396326e-01,9.485800e+00,4.402367e+00
18,397,1.179568e+09,65.255322,3.636070e-01,9.485922e+00,1.185238e+00
19,398,1.228086e+09,67.939422,7.042149e-01,9.629104e+00,9.629118e+00
20,399,1.294366e+09,71.606071,3.695995e-01,9.632194e+00,2.425605e+00
