mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,409,7.268313e+07,4.020930,9.495930e+00,3.141741e+01,3.141634e+01
2,410,1.142934e+08,6.322866,1.503222e+00,1.000677e+01,4.968943e+00
3,411,2.073416e+08,11.470422,9.930166e-01,1.001663e+01,3.277569e+00
4,412,2.930351e+08,16.211104,1.504211e+00,1.000475e+01,1.000457e+01
5,413,3.473505e+08,19.215904,9.122365e-01,9.227281e+00,6.037843e+00
6,414,3.474848e+08,19.223334,7.295367e-01,9.939957e+00,2.425659e+00
7,415,4.608806e+08,25.496543,1.504671e+00,4.973957e+00,1.001669e+01
8,416,4.739055e+08,26.217099,7.345069e-01,1.001284e+01,4.866999e+00
9,417,5.417293e+08,29.969207,5.765720e-01,1.002099e+01,1.893053e+00
10,418,6.618186e+08,36.612711,5.769370e-01,1.001816e+01,3.811107e+00
11,419,6.701848e+08,37.075540,9.952996e-01,1.001552e+01,1.001542e+01
12,420,7.355842e+08,40.693524,7.358504e-01,1.001559e+01,7.387876e+00
13,421,7.904396e+08,43.728198,9.936586e-01,6.598846e+00,1.001425e+01
14,422,8.019325e+08,44.364002,4.695966e-01,1.002820e+01,1.535550e+00
15,423,8.951248e+08,49.519524,5.778867e-01,1.001837e+01,5.783775e+00
16,424,9.185221e+08,50.813899,4.696605e-01,1.001988e+01,3.089650e+00
17,425,1.136332e+09,62.863431,4.704853e-01,1.002074e+01,4.689061e+00
18,426,1.145785e+09,63.386380,3.907987e-01,1.002026e+01,1.270884e+00
19,427,1.219285e+09,67.452527,7.377039e-01,1.001743e+01,1.001749e+01
20,428,1.260190e+09,69.715457,3.911863e-01,1.002005e+01,2.559256e+00
