mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,494,1.077798e+08,5.962525,5.499994e+00,2.679785e+01,1.782570e+01
2,495,1.082055e+08,5.986078,1.079355e+00,5.276529e+00,3.505492e+00
3,496,1.394691e+08,7.715623,8.862923e-01,5.784100e+00,2.710875e+00
4,497,1.396892e+08,7.727800,9.115054e-01,6.004801e+00,2.732303e+00
5,498,1.643599e+08,9.092613,8.173287e-01,6.368368e+00,2.287456e+00
6,499,1.650980e+08,9.133446,7.225479e-01,5.640779e+00,2.030213e+00
7,500,1.691735e+08,9.358908,7.918078e-01,6.991010e+00,1.146745e+00
8,501,1.751596e+08,9.690070,8.339235e-01,7.134308e+00,1.659913e+00
9,502,1.791756e+08,9.912240,7.500396e-01,5.880309e+00,2.399397e+00
10,503,1.911640e+08,10.575452,2.262080e+00,8.973421e+00,8.007656e+00
11,504,1.947255e+08,10.772482,9.660274e-01,5.808010e+00,3.866845e+00
12,505,2.166141e+08,11.983389,9.229101e-01,6.138589e+00,4.005935e+00
13,506,2.233277e+08,12.354796,1.053070e+00,7.564739e+00,3.712480e+00
14,507,2.463689e+08,13.629465,7.677407e-01,5.065623e+00,3.887601e+00
15,508,2.831239e+08,15.662804,7.151219e-01,4.824961e+00,3.941119e+00
16,509,3.270130e+08,18.090808,6.677067e-01,4.512065e+00,3.998328e+00
17,510,3.695707e+08,20.445155,1.347815e+00,8.693198e+00,4.721565e+00
18,511,3.749035e+08,20.740174,6.346366e-01,4.419799e+00,4.068652e+00
19,512,4.123414e+08,22.811288,7.443862e-01,6.563810e+00,4.831454e+00
20,513,4.239364e+08,23.452739,6.028523e-01,5.810335e+00,3.821733e+00
