mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,626,9.591289e+07,5.306032,6.276632e+00,2.844034e+01,1.907774e+01
2,627,9.620188e+07,5.322019,1.301935e+00,5.912199e+00,3.964880e+00
3,628,1.220434e+08,6.751607,1.203764e+00,7.182304e+00,3.448872e+00
4,629,1.222814e+08,6.764777,1.156856e+00,6.936291e+00,3.283563e+00
5,630,1.444092e+08,7.988913,9.644124e-01,6.733616e+00,2.674837e+00
6,631,1.446878e+08,8.004327,1.050957e+00,7.208106e+00,3.041839e+00
7,632,1.582366e+08,8.753864,9.584216e-01,7.703377e+00,1.676360e+00
8,633,1.594365e+08,8.820245,1.151556e+00,8.732122e+00,3.182085e+00
9,634,1.603178e+08,8.868998,7.652403e-01,6.107378e+00,1.814733e+00
10,635,1.638934e+08,9.066808,9.993621e-01,8.686086e+00,1.500264e+00
11,636,1.696535e+08,9.385465,9.756724e-01,6.592669e+00,3.433808e+00
12,637,1.837766e+08,10.166773,1.018334e+00,6.405060e+00,4.203349e+00
13,638,1.883715e+08,10.420967,2.622285e+00,1.032222e+01,9.216711e+00
14,639,2.042142e+08,11.297408,9.441024e-01,5.934937e+00,4.215272e+00
15,640,2.190677e+08,12.119123,1.212872e+00,8.616498e+00,4.223262e+00
16,641,2.297129e+08,12.708034,9.019600e-01,5.748280e+00,4.345323e+00
17,642,2.592034e+08,14.339486,8.384471e-01,5.312524e+00,4.380259e+00
18,643,2.920679e+08,16.157596,7.849422e-01,5.015833e+00,4.382174e+00
19,644,3.288469e+08,18.192258,7.552337e-01,4.911713e+00,4.418904e+00
20,645,3.644569e+08,20.162251,1.597806e+00,1.022271e+01,5.566518e+00
