mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,311,1.397518e+08,7.731259,3.776400e+00,2.138758e+01,1.389720e+01
2,312,1.404168e+08,7.768051,7.436531e-01,4.216254e+00,2.764903e+00
3,313,1.837137e+08,10.163295,6.338583e-01,4.985152e+00,2.146994e+00
4,314,1.841976e+08,10.190062,6.146415e-01,4.962786e+00,1.959590e+00
5,315,1.932175e+08,10.689055,7.321592e-01,4.790151e+00,2.260647e+00
6,316,1.993923e+08,11.030655,1.502183e+00,6.088494e+00,5.409164e+00
7,317,2.036936e+08,11.268611,5.487081e-01,5.110996e+00,1.379380e+00
8,318,2.216802e+08,12.263650,5.704039e-01,4.627671e+00,2.404211e+00
9,319,2.334930e+08,12.917151,7.499241e-01,5.490885e+00,2.700381e+00
10,320,2.624308e+08,14.518031,5.169739e-01,3.934648e+00,2.662541e+00
11,321,3.096042e+08,17.127729,5.303467e-01,3.869998e+00,3.071862e+00
12,322,3.661865e+08,20.257939,5.322075e-01,3.949337e+00,3.361089e+00
13,323,3.846017e+08,21.276691,1.002620e+00,6.731522e+00,3.570488e+00
14,324,4.343778e+08,24.030371,5.234164e-01,4.083360e+00,3.690409e+00
15,325,5.053674e+08,27.957616,4.022351e-01,3.900107e+00,2.958141e+00
16,326,5.060402e+08,27.994836,6.442525e-01,5.147883e+00,4.575430e+00
17,327,5.170295e+08,28.602777,4.889414e-01,5.554630e+00,2.525146e+00
18,328,5.204943e+08,28.794456,3.828465e-01,4.187440e+00,2.726581e+00
19,329,5.387034e+08,29.801809,4.967097e-01,5.075078e+00,3.212621e+00
20,330,5.531211e+08,30.599414,6.107150e-01,5.841593e+00,4.474962e+00
