mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,551,1.931677e+08,10.686301,7.704951e+00,3.168603e+01,2.833310e+01
2,552,2.209512e+08,12.223322,1.137226e+00,7.855714e+00,3.844482e+00
3,553,3.643531e+08,20.156509,1.515885e+00,9.152131e+00,5.049070e+00
4,554,4.830130e+08,26.720940,1.093971e+00,7.623346e+00,6.918937e+00
5,555,5.026600e+08,27.807838,7.083472e-01,7.729405e+00,3.351134e+00
6,556,5.124204e+08,28.347795,7.650491e-01,7.326232e+00,4.748092e+00
7,557,6.933724e+08,38.358308,8.226187e-01,8.422557e+00,4.651367e+00
8,558,7.204979e+08,39.858926,7.952774e-01,8.853095e+00,3.194471e+00
9,559,7.775506e+08,43.015161,1.232308e+00,7.230956e+00,8.117837e+00
10,560,9.126967e+08,50.491628,7.496200e-01,7.679797e+00,6.898204e+00
11,561,9.253173e+08,51.189817,6.376114e-01,8.510251e+00,3.288032e+00
12,562,9.551889e+08,52.842356,5.908227e-01,6.747147e+00,5.726851e+00
13,563,1.000460e+09,55.346811,1.262845e+00,6.227292e+00,8.164075e+00
14,564,1.083227e+09,59.925605,4.805830e-01,7.482367e+00,3.349734e+00
15,565,1.131363e+09,62.588529,8.357745e-01,6.555031e+00,7.212802e+00
16,566,1.162259e+09,64.297782,5.049800e-01,7.420766e+00,4.609543e+00
17,567,1.200757e+09,66.427533,5.878767e-01,9.478900e+00,2.362767e+00
18,568,1.344778e+09,74.394931,8.065538e-01,7.741756e+00,6.045977e+00
19,569,1.356183e+09,75.025899,3.732330e-01,6.065381e+00,4.417106e+00
20,570,1.356834e+09,75.061900,3.762859e-01,6.115396e+00,4.429668e+00
