mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,326,2.004757e+08,11.090592,5.913238e+00,2.467862e+01,2.206231e+01
2,327,2.300718e+08,12.727888,9.023271e-01,6.161447e+00,3.019745e+00
3,328,3.766158e+08,20.834898,1.208133e+00,7.243190e+00,3.963561e+00
4,329,5.058607e+08,27.984907,8.438419e-01,5.756643e+00,5.172513e+00
5,330,5.145502e+08,28.465620,5.710947e-01,6.439483e+00,2.547133e+00
6,331,5.348647e+08,29.589446,5.791325e-01,5.475977e+00,3.666327e+00
7,332,7.069127e+08,39.107379,6.091522e-01,6.335196e+00,3.081408e+00
8,333,7.447096e+08,41.198350,5.835216e-01,6.588923e+00,2.734227e+00
9,334,7.925044e+08,43.842425,8.656203e-01,5.274671e+00,5.573509e+00
10,335,9.268172e+08,51.272793,6.096706e-01,6.821575e+00,3.325495e+00
11,336,9.371004e+08,51.841673,5.508844e-01,5.623624e+00,4.888418e+00
12,337,9.765032e+08,54.021492,5.230326e-01,5.215656e+00,4.460630e+00
13,338,1.021419e+09,56.506315,9.520340e-01,5.595897e+00,6.167542e+00
14,339,1.054508e+09,58.336848,4.189410e-01,6.319566e+00,2.893221e+00
15,340,1.117976e+09,61.847986,3.404592e-01,4.947228e+00,3.325924e+00
16,341,1.118320e+09,61.867006,3.443347e-01,4.994058e+00,3.337826e+00
17,342,1.136564e+09,62.876282,6.548171e-01,5.212375e+00,5.126976e+00
18,343,1.155661e+09,63.932762,4.019966e-01,6.170502e+00,2.874524e+00
19,344,1.212076e+09,67.053686,3.617443e-01,6.068338e+00,2.243948e+00
20,345,1.235291e+09,68.337987,5.724568e-01,6.078261e+00,4.497285e+00
