mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,597,9.955646e+07,5.507599,5.423720e+00,2.514150e+01,1.687236e+01
2,598,9.975874e+07,5.518790,1.310349e+00,6.096193e+00,4.062985e+00
3,599,1.273058e+08,7.042729,1.109439e+00,6.856333e+00,3.196803e+00
4,600,1.275553e+08,7.056532,1.134955e+00,6.964895e+00,3.332976e+00
5,601,1.505225e+08,8.327111,9.720662e-01,6.967894e+00,2.771896e+00
6,602,1.511231e+08,8.360337,1.041126e+00,7.475813e+00,2.971873e+00
7,603,1.615427e+08,8.936762,1.077145e+00,9.281141e+00,1.492961e+00
8,604,1.653851e+08,9.149328,8.256425e-01,6.879087e+00,1.835656e+00
9,605,1.655974e+08,9.161072,8.796021e-01,7.211722e+00,2.092742e+00
10,606,1.695032e+08,9.377149,8.774539e-01,6.749586e+00,2.575818e+00
11,607,1.814594e+08,10.038583,9.401682e-01,6.147490e+00,3.749954e+00
12,608,1.892525e+08,10.469709,2.517430e+00,9.924463e+00,8.868501e+00
13,609,2.003452e+08,11.083370,9.166952e-01,5.795715e+00,4.049275e+00
14,610,2.201054e+08,12.176531,1.171162e+00,8.334831e+00,4.101955e+00
15,611,2.255476e+08,12.477604,1.067518e+00,7.268216e+00,4.591462e+00
16,612,2.556927e+08,14.145272,7.883502e-01,5.098063e+00,4.088364e+00
17,613,2.902442e+08,16.056707,7.596845e-01,4.933195e+00,4.242607e+00
18,614,3.289149e+08,18.196019,7.693381e-01,5.045585e+00,4.564057e+00
19,615,3.656501e+08,20.228265,1.503878e+00,9.618622e+00,5.247481e+00
20,616,3.706324e+08,20.503891,7.536555e-01,5.416253e+00,4.732706e+00
