method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Pure_FEM,19,5.263158e-02,-1.278754,1,1.847782e+08,10.222181,4.000000,1.555545e+00
Pure_FEM,19,5.263158e-02,-1.278754,2,2.155040e+08,11.921976,6.250000,9.075162e-01
Pure_FEM,19,5.263158e-02,-1.278754,3,3.727269e+08,20.619759,11.111111,8.557783e-01
Pure_FEM,19,5.263158e-02,-1.278754,4,4.622137e+08,25.570292,16.000000,5.981433e-01
Pure_FEM,19,5.263158e-02,-1.278754,5,4.943325e+08,27.347150,18.062500,5.140291e-01
Pure_FEM,19,5.263158e-02,-1.278754,6,5.340539e+08,29.544593,18.777778,5.733807e-01
Pure_FEM,20,5.000000e-02,-1.301030,1,1.844664e+08,10.204934,4.000000,1.551233e+00
Pure_FEM,20,5.000000e-02,-1.301030,2,2.148546e+08,11.886051,6.250000,9.017682e-01
Pure_FEM,20,5.000000e-02,-1.301030,3,3.703469e+08,20.488099,11.111111,8.439289e-01
Pure_FEM,20,5.000000e-02,-1.301030,4,4.607077e+08,25.486979,16.000000,5.929362e-01
Pure_FEM,20,5.000000e-02,-1.301030,5,4.921744e+08,27.227759,18.062500,5.074192e-01
Pure_FEM,20,5.000000e-02,-1.301030,6,5.283425e+08,29.228627,18.777778,5.565541e-01
Pure_FEM,21,4.761905e-02,-1.322219,1,1.841989e+08,10.190132,4.000000,1.547533e+00
Pure_FEM,21,4.761905e-02,-1.322219,2,2.142992e+08,11.855327,6.250000,8.968524e-01
Pure_FEM,21,4.761905e-02,-1.322219,3,3.683224e+08,20.376100,11.111111,8.338490e-01
Pure_FEM,21,4.761905e-02,-1.322219,4,4.594186e+08,25.415666,16.000000,5.884791e-01
Pure_FEM,21,4.761905e-02,-1.322219,5,4.903337e+08,27.125931,18.062500,5.017816e-01
Pure_FEM,21,4.761905e-02,-1.322219,6,5.235171e+08,28.961684,18.777778,5.423382e-01
Pure_FEM,22,4.545455e-02,-1.342423,1,1.839674e+08,10.177328,4.000000,1.544332e+00
Pure_FEM,22,4.545455e-02,-1.342423,2,2.138204e+08,11.828836,6.250000,8.926137e-01
Pure_FEM,22,4.545455e-02,-1.342423,3,3.665848e+08,20.279974,11.111111,8.251977e-01
Pure_FEM,22,4.545455e-02,-1.342423,4,4.583071e+08,25.354173,16.000000,5.846358e-01
Pure_FEM,22,4.545455e-02,-1.342423,5,4.887510e+08,27.038375,18.062500,4.969343e-01
Pure_FEM,22,4.545455e-02,-1.342423,6,5.194004e+08,28.733939,18.777778,5.302098e-01
Pure_FEM,23,4.347826e-02,-1.361728,1,1.837659e+08,10.166180,4.000000,1.541545e+00
Pure_FEM,23,4.347826e-02,-1.361728,2,2.134045e+08,11.805831,6.250000,8.889329e-01
Pure_FEM,23,4.347826e-02,-1.361728,3,3.650819e+08,20.196830,11.111111,8.177147e-01
Pure_FEM,23,4.347826e-02,-1.361728,4,4.573413e+08,25.300746,16.000000,5.812966e-01
Pure_FEM,23,4.347826e-02,-1.361728,5,4.873795e+08,26.962503,18.062500,4.927337e-01
Pure_FEM,23,4.347826e-02,-1.361728,6,5.158576e+08,28.537948,18.777778,5.197724e-01
Pure_FEM,24,4.166667e-02,-1.380211,1,1.835893e+08,10.156412,4.000000,1.539103e+00
Pure_FEM,24,4.166667e-02,-1.380211,2,2.130410e+08,11.785721,6.250000,8.857154e-01
Pure_FEM,24,4.166667e-02,-1.380211,3,3.637727e+08,20.124402,11.111111,8.111962e-01
Pure_FEM,24,4.166667e-02,-1.380211,4,4.564970e+08,25.254037,16.000000,5.783773e-01
Pure_FEM,24,4.166667e-02,-1.380211,5,4.861831e+08,26.896314,18.062500,4.890693e-01
Pure_FEM,24,4.166667e-02,-1.380211,6,5.127852e+08,28.367978,18.777778,5.107207e-01
Pure_FEM,25,4.000000e-02,-1.397940,1,1.834337e+08,10.147804,4.000000,1.536951e+00
Pure_FEM,25,4.000000e-02,-1.397940,2,2.127214e+08,11.768039,6.250000,8.828862e-01
Pure_FEM,25,4.000000e-02,-1.397940,3,3.626250e+08,20.060909,11.111111,8.054818e-01
Pure_FEM,25,4.000000e-02,-1.397940,4,4.557543e+08,25.212953,16.000000,5.758095e-01
Pure_FEM,25,4.000000e-02,-1.397940,5,4.851328e+08,26.838211,18.062500,4.858525e-01
Pure_FEM,25,4.000000e-02,-1.397940,6,5.101022e+08,28.219550,18.777778,5.028163e-01
