mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,700,7.264159e+07,4.018632,1.249645e+01,4.082853e+01,4.083008e+01
2,701,1.136914e+08,6.289561,1.983080e+00,1.299900e+01,6.473867e+00
3,702,2.042969e+08,11.301986,1.315768e+00,1.300478e+01,4.288969e+00
4,703,2.911485e+08,16.106732,1.984632e+00,1.299788e+01,1.299780e+01
5,704,3.376026e+08,18.676637,9.802935e-01,1.301351e+01,3.188780e+00
6,705,3.434126e+08,18.998052,1.316572e+00,1.300094e+01,8.609988e+00
7,706,4.564412e+08,25.250952,1.984910e+00,6.479929e+00,1.301102e+01
8,707,4.631786e+08,25.623670,9.801866e-01,1.300050e+01,6.396578e+00
9,708,5.164815e+08,28.572462,7.767501e-01,1.301215e+01,2.519580e+00
10,709,6.356185e+08,35.163283,7.773226e-01,1.300999e+01,5.058386e+00
11,710,6.604119e+08,36.534891,1.319344e+00,1.300943e+01,1.300937e+01
12,711,7.205962e+08,39.864367,9.821492e-01,1.300748e+01,9.663899e+00
13,712,7.461965e+08,41.280612,6.398463e-01,1.301393e+01,2.067968e+00
14,713,7.777404e+08,43.025663,1.317525e+00,8.616304e+00,1.301074e+01
15,714,8.616848e+08,47.669581,6.404252e-01,1.301389e+01,4.152334e+00
16,715,8.652277e+08,47.865577,7.786943e-01,1.301332e+01,7.640146e+00
17,716,1.034223e+09,57.214639,5.409008e-01,1.301578e+01,1.740213e+00
18,717,1.075884e+09,59.519346,6.413774e-01,1.301316e+01,6.269820e+00
19,718,1.147307e+09,63.470594,5.413304e-01,1.301406e+01,3.493787e+00
20,719,1.187613e+09,65.700362,9.846048e-01,1.301171e+01,1.301169e+01
