mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,628,7.237919e+07,4.004116,1.199925e+01,3.926948e+01,3.927057e+01
2,629,1.137163e+08,6.290940,1.897420e+00,1.246224e+01,6.204393e+00
3,630,2.046619e+08,11.322174,1.260001e+00,1.248525e+01,4.114041e+00
4,631,2.913441e+08,16.117553,1.901761e+00,1.247999e+01,1.248002e+01
5,632,3.387438e+08,18.739770,9.375640e-01,1.248819e+01,3.054743e+00
6,633,3.438683e+08,19.023263,1.257686e+00,1.245169e+01,8.241139e+00
7,634,4.565809e+08,25.258677,1.900050e+00,6.213437e+00,1.247961e+01
8,635,4.643925e+08,25.690830,9.353582e-01,1.244667e+01,6.116060e+00
9,636,5.193075e+08,28.728799,7.422624e-01,1.248964e+01,2.411554e+00
10,637,6.385458e+08,35.325225,7.429980e-01,1.249073e+01,4.844403e+00
11,638,6.615446e+08,36.597552,1.262739e+00,1.248310e+01,1.248310e+01
12,639,7.223150e+08,39.959451,9.397297e-01,1.248733e+01,9.269988e+00
13,640,7.523236e+08,41.619567,6.103365e-01,1.248553e+01,1.975680e+00
14,641,7.791412e+08,43.103153,1.260809e+00,8.261678e+00,1.248253e+01
15,642,8.679383e+08,48.015531,6.092974e-01,1.245286e+01,3.958060e+00
16,643,8.685786e+08,48.050955,7.395172e-01,1.241354e+01,7.273891e+00
17,644,1.046217e+09,57.878156,5.151301e-01,1.248769e+01,1.659732e+00
18,645,1.082541e+09,59.887664,6.119511e-01,1.248772e+01,5.996810e+00
19,646,1.159439e+09,64.141731,5.156830e-01,1.248940e+01,3.334229e+00
20,647,1.191224e+09,65.900151,9.414625e-01,1.248325e+01,1.248320e+01
