method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Mixtwo,19,5.263158e-02,-1.278754,2,2.256533e+08,12.483450,23.920000,-4.781167e-01
Mixtwo,19,5.263158e-02,-1.278754,3,3.706642e+08,20.505652,23.920000,-1.427403e-01
Mixtwo,19,5.263158e-02,-1.278754,4,4.950920e+08,27.389164,39.570000,-3.078301e-01
Mixtwo,19,5.263158e-02,-1.278754,5,5.093185e+08,28.176194,50.800000,-4.453505e-01
Mixtwo,19,5.263158e-02,-1.278754,6,5.243576e+08,29.008180,50.800000,-4.289728e-01
Mixtwo,20,5.000000e-02,-1.301030,1,1.955204e+08,10.816455,10.310000,4.912272e-02
Mixtwo,20,5.000000e-02,-1.301030,2,2.238638e+08,12.384449,23.920000,-4.822555e-01
Mixtwo,20,5.000000e-02,-1.301030,3,3.682790e+08,20.373697,23.920000,-1.482568e-01
Mixtwo,20,5.000000e-02,-1.301030,4,4.905706e+08,27.139038,39.570000,-3.141512e-01
Mixtwo,20,5.000000e-02,-1.301030,5,5.069319e+08,28.044168,50.800000,-4.479495e-01
Mixtwo,20,5.000000e-02,-1.301030,6,5.199454e+08,28.764092,50.800000,-4.337777e-01
Mixtwo,21,4.761905e-02,-1.322219,1,1.942656e+08,10.747041,10.310000,4.239000e-02
Mixtwo,21,4.761905e-02,-1.322219,2,2.223114e+08,12.298570,23.920000,-4.858457e-01
Mixtwo,21,4.761905e-02,-1.322219,3,3.661735e+08,20.257217,23.920000,-1.531264e-01
Mixtwo,21,4.761905e-02,-1.322219,4,4.865765e+08,26.918078,39.570000,-3.197352e-01
Mixtwo,21,4.761905e-02,-1.322219,5,5.047117e+08,27.921338,50.800000,-4.503674e-01
Mixtwo,21,4.761905e-02,-1.322219,6,5.159620e+08,28.543723,50.800000,-4.381157e-01
Mixtwo,22,4.545455e-02,-1.342423,1,1.931677e+08,10.686301,10.310000,3.649867e-02
Mixtwo,22,4.545455e-02,-1.342423,2,2.209512e+08,12.223322,23.920000,-4.889915e-01
Mixtwo,22,4.545455e-02,-1.342423,3,3.643531e+08,20.156509,23.920000,-1.573366e-01
Mixtwo,22,4.545455e-02,-1.342423,4,4.830130e+08,26.720940,39.570000,-3.247172e-01
Mixtwo,22,4.545455e-02,-1.342423,5,5.026600e+08,27.807838,50.800000,-4.526016e-01
Mixtwo,22,4.545455e-02,-1.342423,6,5.124204e+08,28.347795,50.800000,-4.419725e-01
Mixtwo,23,4.347826e-02,-1.361728,1,1.922022e+08,10.632886,10.310000,3.131772e-02
Mixtwo,23,4.347826e-02,-1.361728,2,2.197549e+08,12.157141,23.920000,-4.917583e-01
Mixtwo,23,4.347826e-02,-1.361728,3,3.627706e+08,20.068965,23.920000,-1.609964e-01
Mixtwo,23,4.347826e-02,-1.361728,4,4.798237e+08,26.544501,39.570000,-3.291761e-01
Mixtwo,23,4.347826e-02,-1.361728,5,5.008071e+08,27.705333,50.800000,-4.546194e-01
Mixtwo,23,4.347826e-02,-1.361728,6,5.092898e+08,28.174609,50.800000,-4.453817e-01
Mixtwo,24,4.166667e-02,-1.380211,1,1.913427e+08,10.585341,10.310000,2.670617e-02
Mixtwo,24,4.166667e-02,-1.380211,2,2.187108e+08,12.099383,23.920000,-4.941730e-01
Mixtwo,24,4.166667e-02,-1.380211,3,3.613669e+08,19.991310,23.920000,-1.642429e-01
Mixtwo,24,4.166667e-02,-1.380211,4,4.769991e+08,26.388243,39.570000,-3.331250e-01
Mixtwo,24,4.166667e-02,-1.380211,5,4.990816e+08,27.609874,50.800000,-4.564985e-01
Mixtwo,24,4.166667e-02,-1.380211,6,5.064696e+08,28.018589,50.800000,-4.484530e-01
Mixtwo,25,4.000000e-02,-1.397940,1,1.905841e+08,10.543374,10.310000,2.263571e-02
Mixtwo,25,4.000000e-02,-1.397940,2,2.177829e+08,12.048050,23.920000,-4.963190e-01
Mixtwo,25,4.000000e-02,-1.397940,3,3.601496e+08,19.923970,23.920000,-1.670581e-01
Mixtwo,25,4.000000e-02,-1.397940,4,4.744506e+08,26.247257,39.570000,-3.366880e-01
Mixtwo,25,4.000000e-02,-1.397940,5,4.974929e+08,27.521986,50.800000,-4.582286e-01
Mixtwo,25,4.000000e-02,-1.397940,6,5.039853e+08,27.881158,50.800000,-4.511583e-01
