ndiv,h,log10_h,lambda_cr,k_num,relative_error_k,log10_Error_L2_w,log10_Error_L2_phi
15.0,0.06666666666666667,-1.1760912590556813,2.051886681443982e8,11.351317464606359,1.8378293661515896,-0.37314160736130264,-0.18465311411256988
16.0,0.0625,-1.2041199826559248,2.0265390728232583e8,11.211091030552046,1.8027727576380115,-0.37411680376004014,-0.19100982657013565
17.0,0.058823529411764705,-1.2304489213782739,2.0047574058965483e8,11.090591873152475,1.7726479682881187,-0.3876970783639847,-0.19456299783274494
18.0,0.05555555555555555,-1.255272505103306,1.9858453718491414e8,10.985967916910171,1.7464919792275428,-0.3884511683943172,-0.19958975621357872
19.0,0.05263157894736842,-1.278753600952829,1.9694500262342754e8,10.89526662492395,1.7238166562309876,-0.3987584259351014,-0.20245592854097924
20.0,0.05,-1.3010299956639813,1.9552039332845488e8,10.816455292326951,1.7041138230817379,-0.3992107585475272,-0.20639633856021908
21.0,0.047619047619047616,-1.3222192947339193,1.9426564496712747e8,10.747040898654886,1.6867602246637214,-0.40723656248028617,-0.2086871595038989
22.0,0.045454545454545456,-1.3424226808222062,1.931677045498284e8,10.686301334688256,1.671575333672064,-0.4074214864659101,-0.21178280737243083
23.0,0.043478260869565216,-1.3617278360175928,1.9220215226972392e8,10.632885663349002,1.6582214158372506,-0.4137973205725334,-0.21360812045846753
24.0,0.041666666666666664,-1.3802112417116061,1.9134271852758932e8,10.58534061451668,1.64633515362917,-0.41377561040168664,-0.21605672517427338
25.0,0.04,-1.3979400086720375,1.905841240197872e8,10.543374129901123,1.6358435324752807,-0.41890782629081164,-0.2174970348858888
