mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,360,1.242836e+08,6.875537,4.756921e+00,2.518401e+01,1.660110e+01
2,361,1.249349e+08,6.911569,8.768474e-01,4.667057e+00,3.065588e+00
3,362,1.632278e+08,9.029984,6.781767e-01,4.993191e+00,2.133218e+00
4,363,1.633457e+08,9.036510,7.514816e-01,5.444806e+00,2.464487e+00
5,364,1.822360e+08,10.081544,7.182251e-01,6.779266e+00,7.861749e-01
6,365,1.879836e+08,10.399510,6.428098e-01,5.910688e+00,1.363229e+00
7,366,1.885439e+08,10.430504,7.039884e-01,5.692298e+00,2.090253e+00
8,367,1.951755e+08,10.797376,1.831334e+00,7.333204e+00,6.546441e+00
9,368,2.058881e+08,11.390010,6.497897e-01,5.031668e+00,2.610404e+00
10,369,2.283995e+08,12.635373,8.652633e-01,6.262848e+00,3.080604e+00
11,370,2.349295e+08,12.996619,6.325019e-01,4.512556e+00,3.065892e+00
12,371,2.705031e+08,14.964599,6.557687e-01,4.550460e+00,3.525365e+00
13,372,3.142949e+08,17.387224,6.254151e-01,4.395633e+00,3.639416e+00
14,373,3.717198e+08,20.564045,5.735811e-01,4.167431e+00,3.696114e+00
15,374,3.776092e+08,20.889855,1.157042e+00,7.629980e+00,4.088044e+00
16,375,4.377544e+08,24.217170,5.496125e-01,4.199360e+00,3.877230e+00
17,376,4.708962e+08,26.050624,4.660773e-01,4.675231e+00,3.198063e+00
18,377,4.809321e+08,26.605819,5.542949e-01,5.573496e+00,3.787169e+00
19,378,4.974248e+08,27.518220,7.738544e-01,6.088386e+00,5.434278e+00
20,379,5.113604e+08,28.289154,5.707462e-01,6.569188e+00,2.657054e+00
