method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Mixtwo,19,5.263158e-02,-1.278754,2,2.256533e+08,12.483450,6.250000,9.973519e-01
Mixtwo,19,5.263158e-02,-1.278754,3,3.706642e+08,20.505652,11.111111,8.455087e-01
Mixtwo,19,5.263158e-02,-1.278754,4,4.950920e+08,27.389164,16.000000,7.118227e-01
Mixtwo,19,5.263158e-02,-1.278754,5,5.093185e+08,28.176194,18.062500,5.599277e-01
Mixtwo,19,5.263158e-02,-1.278754,6,5.243576e+08,29.008180,18.777778,5.448143e-01
Mixtwo,20,5.000000e-02,-1.301030,1,1.955204e+08,10.816455,4.000000,1.704114e+00
Mixtwo,20,5.000000e-02,-1.301030,2,2.238638e+08,12.384449,6.250000,9.815119e-01
Mixtwo,20,5.000000e-02,-1.301030,3,3.682790e+08,20.373697,11.111111,8.336327e-01
Mixtwo,20,5.000000e-02,-1.301030,4,4.905706e+08,27.139038,16.000000,6.961899e-01
Mixtwo,20,5.000000e-02,-1.301030,5,5.069319e+08,28.044168,18.062500,5.526183e-01
Mixtwo,20,5.000000e-02,-1.301030,6,5.199454e+08,28.764092,18.777778,5.318155e-01
Mixtwo,21,4.761905e-02,-1.322219,1,1.942656e+08,10.747041,4.000000,1.686760e+00
Mixtwo,21,4.761905e-02,-1.322219,2,2.223114e+08,12.298570,6.250000,9.677712e-01
Mixtwo,21,4.761905e-02,-1.322219,3,3.661735e+08,20.257217,11.111111,8.231495e-01
Mixtwo,21,4.761905e-02,-1.322219,4,4.865765e+08,26.918078,16.000000,6.823799e-01
Mixtwo,21,4.761905e-02,-1.322219,5,5.047117e+08,27.921338,18.062500,5.458180e-01
Mixtwo,21,4.761905e-02,-1.322219,6,5.159620e+08,28.543723,18.777778,5.200799e-01
Mixtwo,22,4.545455e-02,-1.342423,1,1.931677e+08,10.686301,4.000000,1.671575e+00
Mixtwo,22,4.545455e-02,-1.342423,2,2.209512e+08,12.223322,6.250000,9.557315e-01
Mixtwo,22,4.545455e-02,-1.342423,3,3.643531e+08,20.156509,11.111111,8.140858e-01
Mixtwo,22,4.545455e-02,-1.342423,4,4.830130e+08,26.720940,16.000000,6.700587e-01
Mixtwo,22,4.545455e-02,-1.342423,5,5.026600e+08,27.807838,18.062500,5.395343e-01
Mixtwo,22,4.545455e-02,-1.342423,6,5.124204e+08,28.347795,18.777778,5.096459e-01
Mixtwo,23,4.347826e-02,-1.361728,1,1.922022e+08,10.632886,4.000000,1.658221e+00
Mixtwo,23,4.347826e-02,-1.361728,2,2.197549e+08,12.157141,6.250000,9.451426e-01
Mixtwo,23,4.347826e-02,-1.361728,3,3.627706e+08,20.068965,11.111111,8.062068e-01
Mixtwo,23,4.347826e-02,-1.361728,4,4.798237e+08,26.544501,16.000000,6.590313e-01
Mixtwo,23,4.347826e-02,-1.361728,5,5.008071e+08,27.705333,18.062500,5.338592e-01
Mixtwo,23,4.347826e-02,-1.361728,6,5.092898e+08,28.174609,18.777778,5.004229e-01
