mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,705,1.905841e+08,10.543374,8.985880e+00,3.625713e+01,3.241170e+01
2,706,2.177829e+08,12.048050,1.339728e+00,9.149017e+00,4.470580e+00
3,707,3.601496e+08,19.923970,1.781904e+00,1.067355e+01,5.907621e+00
4,708,4.744506e+08,26.247257,1.271109e+00,8.767189e+00,7.971473e+00
5,709,4.974929e+08,27.521986,8.135304e-01,8.642026e+00,4.242246e+00
6,710,5.039853e+08,27.881158,8.403450e-01,8.305172e+00,5.027540e+00
7,711,6.848269e+08,37.885558,9.338923e-01,9.716499e+00,5.574626e+00
8,712,7.123823e+08,39.409960,9.557610e-01,1.063065e+01,3.613648e+00
9,713,7.692670e+08,42.556901,1.428937e+00,8.228332e+00,9.263838e+00
10,714,9.006071e+08,49.822815,8.659961e-01,9.011113e+00,8.148661e+00
11,715,9.216044e+08,50.984416,7.228588e-01,1.026782e+01,3.553919e+00
12,716,9.417952e+08,52.101398,6.777968e-01,7.879253e+00,6.674701e+00
13,717,9.903422e+08,54.787083,1.482629e+00,7.001925e+00,9.599291e+00
14,718,1.080306e+09,59.764006,5.518670e-01,8.705158e+00,3.816042e+00
15,719,1.122625e+09,62.105154,9.659928e-01,7.632289e+00,8.553506e+00
16,720,1.147701e+09,63.492386,5.577644e-01,8.262645e+00,5.355631e+00
17,721,1.197274e+09,66.234829,6.830207e-01,1.065028e+01,2.516047e+00
18,722,1.355336e+09,74.979064,8.844163e-01,8.441624e+00,6.691770e+00
19,723,1.416112e+09,78.341246,7.593710e-01,9.173284e+00,6.451724e+00
20,724,1.469309e+09,81.284164,6.024765e-01,1.017201e+01,3.732158e+00
