mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,544,1.035361e+08,5.727759,5.227989e+00,2.488895e+01,1.654077e+01
2,545,1.036924e+08,5.736408,1.177289e+00,5.598884e+00,3.746273e+00
3,546,1.329200e+08,7.353319,9.920526e-01,6.299654e+00,2.935259e+00
4,547,1.334987e+08,7.385333,1.018038e+00,6.464843e+00,3.029703e+00
5,548,1.575601e+08,8.716441,9.263266e-01,6.986865e+00,2.565566e+00
6,549,1.575813e+08,8.717615,9.205043e-01,6.774096e+00,2.715395e+00
7,550,1.652722e+08,9.143086,1.045319e+00,8.894589e+00,1.482514e+00
8,551,1.704773e+08,9.431038,8.426702e-01,7.521093e+00,1.330945e+00
9,552,1.710858e+08,9.464702,8.470675e-01,6.935950e+00,2.154304e+00
10,553,1.798762e+08,9.950998,8.452716e-01,5.927141e+00,3.171467e+00
11,554,1.900288e+08,10.512655,2.371813e+00,9.371280e+00,8.371686e+00
12,555,1.971211e+08,10.905010,8.988355e-01,5.749094e+00,3.868605e+00
13,556,2.207780e+08,12.213741,1.045355e+00,7.156779e+00,4.186493e+00
14,557,2.215470e+08,12.256280,1.081897e+00,7.723219e+00,3.817083e+00
15,558,2.509105e+08,13.880709,7.547284e-01,4.945668e+00,3.859818e+00
16,559,2.876162e+08,15.911323,7.012847e-01,4.640257e+00,3.907824e+00
17,560,3.281903e+08,18.155934,6.899198e-01,4.570589e+00,4.084652e+00
18,561,3.678241e+08,20.348531,1.419737e+00,9.153623e+00,4.964608e+00
19,562,3.726052e+08,20.613028,6.963424e-01,4.866496e+00,4.412536e+00
20,563,4.029842e+08,22.293638,6.698686e-01,6.123664e+00,4.214757e+00
