mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,317,7.253272e+07,4.012609,8.001888e+00,2.673483e+01,2.673517e+01
2,318,1.149099e+08,6.356971,1.258323e+00,8.482977e+00,4.200256e+00
3,319,2.104052e+08,11.639904,8.262162e-01,8.481399e+00,2.753729e+00
4,320,2.948840e+08,16.313384,1.258577e+00,8.477097e+00,8.477251e+00
5,321,3.512701e+08,19.432740,8.279669e-01,8.490618e+00,5.568136e+00
6,322,3.576230e+08,19.784193,6.066743e-01,8.483970e+00,2.017296e+00
7,323,4.643474e+08,25.688333,1.258452e+00,4.200851e+00,8.483820e+00
8,324,4.848821e+08,26.824342,6.069974e-01,8.480529e+00,4.072471e+00
9,325,5.684635e+08,31.448176,4.717637e-01,8.485066e+00,1.563480e+00
10,326,6.798888e+08,37.612377,8.279513e-01,8.477896e+00,8.477928e+00
11,327,6.895247e+08,38.145449,4.721860e-01,8.484359e+00,3.157357e+00
12,328,7.508011e+08,41.535341,6.080790e-01,8.482074e+00,6.211557e+00
13,329,8.031046e+08,44.428843,8.270278e-01,5.561765e+00,8.481960e+00
14,330,8.634346e+08,47.766383,3.791118e-01,8.484059e+00,1.250575e+00
15,331,9.265942e+08,51.260458,4.730304e-01,8.484960e+00,4.815406e+00
16,332,9.812330e+08,54.283150,3.795152e-01,8.484309e+00,2.525724e+00
17,333,1.202774e+09,66.539080,3.802102e-01,8.484418e+00,3.851848e+00
18,334,1.251444e+09,69.231608,6.095575e-01,8.481297e+00,8.481272e+00
19,335,1.275575e+09,70.566544,3.107236e-01,8.484811e+00,1.018275e+00
20,336,1.342176e+09,74.250994,4.740768e-01,8.481842e+00,6.572805e+00
