mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,432,1.969450e+08,10.895267,6.509385e+00,2.757069e+01,2.465346e+01
2,433,2.256533e+08,12.483450,9.776217e-01,6.907497e+00,3.384643e+00
3,434,3.706642e+08,20.505652,1.277761e+00,7.852494e+00,4.313202e+00
4,435,4.950920e+08,27.389164,9.220726e-01,6.592933e+00,5.958064e+00
5,436,5.093185e+08,28.176194,6.139233e-01,6.708361e+00,2.718851e+00
6,437,5.243576e+08,29.008180,6.699389e-01,6.342097e+00,4.221336e+00
7,438,7.023219e+08,38.853405,7.108681e-01,7.178996e+00,3.699239e+00
8,439,7.331308e+08,40.557795,6.719565e-01,7.352712e+00,2.902113e+00
9,440,7.870081e+08,43.538363,1.012798e+00,6.246783e+00,6.873461e+00
10,441,9.271459e+08,51.290978,6.271044e-01,6.356806e+00,5.631761e+00
11,442,9.275206e+08,51.311707,6.245377e-01,7.708980e+00,3.394846e+00
12,443,9.697193e+08,53.646196,5.442765e-01,5.887139e+00,5.006876e+00
13,444,1.013877e+09,56.089047,1.122038e+00,6.005971e+00,7.304882e+00
14,445,1.076326e+09,59.543814,4.498129e-01,6.644899e+00,3.026660e+00
15,446,1.139013e+09,63.011746,7.062034e-01,5.603798e+00,5.928085e+00
16,447,1.171016e+09,64.782193,4.592601e-01,6.602987e+00,3.591980e+00
17,448,1.206167e+09,66.726785,4.381856e-01,7.277364e+00,2.404266e+00
18,449,1.215287e+09,67.231314,3.465586e-01,5.375566e+00,3.785158e+00
19,450,1.218044e+09,67.383845,3.389339e-01,5.282643e+00,3.685551e+00
20,451,1.309828e+09,72.461498,7.714060e-01,7.279812e+00,5.624650e+00
