mode_rank,eigen_index,lambda_real,lambda_imag,k_num,k_ref,relative_error_vs_ref,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,full_relative_residual,residual_within_tolerance,KGv_over_v,selected_positive_mode
1.0,16.0,9.458912253472652e6,0.0,104.65598985560207,4.0,25.163997463900518,1.0,10.637107118835429,1.6211197061590154e6,0.17138545091767882,14.604388188928553,9.00882643707632e-6,0.0,0.016112035819795565,1.0
2.0,17.0,1.3990114366895234e7,0.0,154.7904482064486,4.0,37.69761205161215,1.0,15.009938298163647,5.833842579981538e6,0.4169975944248474,14.810383627955206,2.538700646559018e-6,0.0,0.02778143295071799,1.0
3.0,18.0,2.42401163067175e7,0.0,268.19927052004084,4.0,66.04981763001021,1.0,15.548821633002566,1.4874440478210425e7,0.6136291360074283,13.791205847203198,9.27174692936829e-7,1.0,0.039464671374517084,1.0
4.0,19.0,3.2067765211217396e7,0.0,354.80651693379195,4.0,87.70162923344799,1.0,16.172718908721766,1.5378901379527874e7,0.4795751511347731,11.267843828882265,7.32681880762964e-7,1.0,0.029653341150704327,1.0
5.0,20.0,3.2861071794967663e7,0.0,363.5838777503985,4.0,89.89596943759963,1.0,17.22542791485764,1.1202731550240165e7,0.34091193846509604,9.461233498294092,8.445470054774464e-7,1.0,0.019791202874620342,1.0
6.0,21.0,5.2223507500621125e7,0.0,577.8151572557841,4.0,143.45378931394603,1.0,15.611700787700991,1.6165872534584807e7,0.30955162970144046,6.739811986002974,4.1691606633567177e-7,1.0,0.01982818104900572,1.0
7.0,22.0,6.274204795580246e7,0.0,694.1951630824636,4.0,172.5487907706159,1.0,16.1607930539424,9.051693670502111e6,0.1442683845743235,12.740992941356023,1.40758106463079e-6,0.0,0.008927060948851732,1.0
8.0,23.0,9.05314756574576e7,0.0,1001.6649847387193,4.0,249.41624618467984,1.0,15.408343811392907,1.7002237181004502e7,0.18780471195946813,9.022039608201762,5.306383643469058e-7,1.0,0.0121885073605773,1.0
9.0,24.0,1.3459270372325113e8,0.0,1489.1704519541615,4.0,371.2926129885404,1.0,1834.569551454173,1.1560166595798819e8,0.8589000908869654,1051.6576803206945,9.097252138931129e-6,0.0,0.00046817526771125007,1.0
10.0,25.0,1.368173906490636e8,0.0,1513.7849960053807,4.0,377.44624900134517,1.0,908.0775206790651,8.2315501515038e7,0.6016453138801459,406.4760414094919,4.938023024853108e-6,0.0,0.0006625484060328158,1.0
11.0,26.0,1.459907360042147e8,0.0,1615.2813956657294,4.0,402.82034891643235,1.0,323.0708480119009,4.372048742738492e7,0.29947442990295575,128.80019128954396,2.945991321533277e-6,0.0,0.0009269620943698518,1.0
12.0,27.0,1.6248539971081424e8,0.0,1797.7828621441486,4.0,448.44571553603714,1.0,278.8533907363789,2.9495926392962955e7,0.18152975272925115,162.1047685708327,5.495834313934037e-6,0.0,0.0006509863561274206,1.0
