mode_rank,eigen_index,omega_sq_real,omega_real,Omega_FEM,Omega_exact,matched_m,matched_n,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
56,56,2.188634e+04,1.479403e+02,488.8751,493.4802,1,7,99.9976,0.0012,0.0012,1.18e-07
57,57,2.199299e+04,1.483003e+02,490.0648,493.4802,1,7,99.9970,0.0015,0.0015,8.54e-08
58,58,2.295063e+04,1.514946e+02,500.6205,493.4802,1,7,99.9962,0.0019,0.0019,6.75e-08
59,59,2.326184e+04,1.525183e+02,504.0033,513.2194,4,6,99.9966,0.0017,0.0017,7.85e-08
60,60,2.485655e+04,1.576596e+02,520.9928,523.0890,2,7,99.9964,0.0018,0.0018,7.00e-08
61,61,2.529718e+04,1.590509e+02,525.5904,523.0890,2,7,99.9963,0.0018,0.0018,7.84e-08
62,62,2.549041e+04,1.596572e+02,527.5938,523.0890,2,7,99.9962,0.0019,0.0019,5.08e-08
63,63,2.638358e+04,1.624302e+02,536.7575,523.0890,2,7,99.9983,0.0008,0.0008,7.80e-08
64,64,2.654801e+04,1.629356e+02,538.4276,523.0890,2,7,99.9983,0.0009,0.0009,9.79e-08
65,65,2.670555e+04,1.634183e+02,540.0228,523.0890,2,7,99.9966,0.0017,0.0017,7.57e-08
66,66,2.781117e+04,1.667668e+02,551.0880,572.4371,3,7,99.9963,0.0018,0.0018,8.56e-08
67,67,2.792401e+04,1.671048e+02,552.2048,572.4371,3,7,99.9983,0.0008,0.0008,7.88e-08
68,68,2.800170e+04,1.673371e+02,552.9724,572.4371,3,7,99.9980,0.0010,0.0010,7.73e-08
69,69,2.988654e+04,1.728772e+02,571.2802,572.4371,3,7,99.9981,0.0009,0.0009,8.39e-08
70,70,3.013568e+04,1.735963e+02,573.6563,572.4371,3,7,99.9979,0.0011,0.0011,6.64e-08
71,71,3.075451e+04,1.753696e+02,579.5164,572.4371,3,7,99.9962,0.0019,0.0019,4.29e-08
72,72,3.149719e+04,1.774745e+02,586.4719,572.4371,3,7,99.9964,0.0018,0.0018,6.41e-08
73,73,3.181131e+04,1.783573e+02,589.3891,602.0459,5,6,99.9970,0.0015,0.0015,9.23e-08
74,74,3.280680e+04,1.811265e+02,598.5401,602.0459,5,6,99.9971,0.0014,0.0014,7.81e-08
75,75,3.282910e+04,1.811880e+02,598.7435,602.0459,5,6,99.9975,0.0012,0.0012,5.87e-08
76,76,3.414355e+04,1.847797e+02,610.6124,602.0459,5,6,99.9972,0.0014,0.0014,5.30e-08
77,77,3.459496e+04,1.859972e+02,614.6356,602.0459,5,6,99.9964,0.0018,0.0018,1.08e-07
78,78,3.462152e+04,1.860686e+02,614.8715,602.0459,5,6,99.9962,0.0019,0.0019,6.43e-08
79,79,3.483085e+04,1.866302e+02,616.7275,602.0459,5,6,99.9954,0.0023,0.0023,8.81e-08
80,80,3.505455e+04,1.872286e+02,618.7048,602.0459,5,6,99.9952,0.0024,0.0024,4.16e-08
81,81,3.624631e+04,1.903846e+02,629.1341,641.5243,1,8,99.9973,0.0014,0.0014,7.76e-08
82,82,3.633276e+04,1.906115e+02,629.8839,641.5243,1,8,99.9963,0.0018,0.0018,8.64e-08
83,83,3.669696e+04,1.915645e+02,633.0330,641.5243,1,8,99.9957,0.0022,0.0022,3.82e-08
84,84,3.745423e+04,1.935310e+02,639.5313,641.5243,1,8,99.9968,0.0016,0.0016,4.56e-08
85,85,3.746813e+04,1.935669e+02,639.6499,641.5243,1,8,99.9967,0.0017,0.0017,5.03e-08
86,86,3.771045e+04,1.941918e+02,641.7150,641.5243,1,8,99.9960,0.0020,0.0020,6.04e-08
87,87,3.860852e+04,1.964905e+02,649.3112,641.5243,1,8,99.9968,0.0016,0.0016,5.34e-08
88,88,3.879858e+04,1.969735e+02,650.9074,641.5243,1,8,99.9970,0.0015,0.0015,6.10e-08
89,89,3.953327e+04,1.988297e+02,657.0413,671.1331,2,8,99.9959,0.0020,0.0020,4.36e-08
90,90,4.090080e+04,2.022395e+02,668.3088,671.1331,2,8,99.9969,0.0015,0.0015,4.99e-08
91,91,4.118798e+04,2.029482e+02,670.6510,671.1331,2,8,99.9972,0.0014,0.0014,5.51e-08
92,92,4.273218e+04,2.067176e+02,683.1072,671.1331,2,8,99.9967,0.0017,0.0017,4.37e-08
93,93,4.283834e+04,2.069742e+02,683.9552,671.1331,2,8,99.9967,0.0017,0.0017,5.85e-08
94,94,4.301960e+04,2.074117e+02,685.4006,671.1331,2,8,99.9968,0.0016,0.0016,5.91e-08
95,95,4.345381e+04,2.084558e+02,688.8509,671.1331,2,8,99.9979,0.0010,0.0010,7.02e-08
96,96,4.374499e+04,2.091530e+02,691.1550,710.6115,6,6,99.9966,0.0017,0.0017,4.81e-08
97,97,4.757339e+04,2.181133e+02,720.7645,720.4811,3,8,99.9970,0.0015,0.0015,5.82e-08
98,98,4.838084e+04,2.199565e+02,726.8554,730.3507,5,7,99.9963,0.0018,0.0018,5.06e-08
99,99,4.839214e+04,2.199821e+02,726.9403,730.3507,5,7,99.9964,0.0018,0.0018,3.85e-08
100,100,4.873973e+04,2.207708e+02,729.5464,730.3507,5,7,99.9966,0.0017,0.0017,3.81e-08
101,101,4.922794e+04,2.218737e+02,733.1910,730.3507,5,7,99.9960,0.0020,0.0020,3.47e-08
102,102,4.935191e+04,2.221529e+02,734.1137,730.3507,5,7,99.9965,0.0018,0.0018,4.37e-08
103,103,5.065125e+04,2.250583e+02,743.7148,730.3507,5,7,99.9960,0.0020,0.0020,3.61e-08
104,104,5.224374e+04,2.285689e+02,755.3156,730.3507,5,7,99.9949,0.0026,0.0026,4.58e-08
105,105,5.228622e+04,2.286618e+02,755.6226,730.3507,5,7,99.9956,0.0022,0.0022,3.69e-08
106,106,5.282051e+04,2.298271e+02,759.4735,789.5684,4,8,99.9945,0.0027,0.0027,2.75e-08
