mode,vtk_w_field,lambda,k_num,node_row,node_id,x,y,w_normalized,phi_1,phi_2
1,w1,191.4688985137971,0.0021184642127498915,1,1,0.0,0.0,0.9999844867757787,2.737433215167706,17.5112509311206
1,w1,191.4688985137971,0.0021184642127498915,2,2,1.0,0.0,0.9999844867758405,0.061608277811303305,17.511669932348486
1,w1,191.4688985137971,0.0021184642127498915,3,3,1.0,1.0,0.9999844867758451,0.06125642758116115,20.18730165920673
1,w1,191.4688985137971,0.0021184642127498915,4,4,0.0,1.0,0.9999844867758131,2.737143582281414,20.18674864434235
1,w1,191.4688985137971,0.0021184642127498915,5,5,0.24999999999941094,0.0,-0.999984486775804,-2.0686129704079037,-17.511532276657878
1,w1,191.4688985137971,0.0021184642127498915,6,6,0.4999999999986921,0.0,0.9999844867757655,1.399706480010518,17.511698733191302
1,w1,191.4688985137971,0.0021184642127498915,7,7,0.7499999999993406,0.0,-0.9999844867757962,-0.7305285726642345,-17.51192133440444
1,w1,191.4688985137971,0.0021184642127498915,8,8,1.0,0.24999999999941094,-0.9999844867758614,-0.06132937915279996,-18.180717882031946
1,w1,191.4688985137971,0.0021184642127498915,9,9,1.0,0.4999999999986921,0.9999844867758907,0.06142435314398305,18.849466504618913
1,w1,191.4688985137971,0.0021184642127498915,10,10,1.0,0.7499999999993406,-0.9999844867758775,-0.061406250704610824,-19.518320463620814
1,w1,191.4688985137971,0.0021184642127498915,11,11,0.7500000000003471,1.0,-0.9999844867758036,-0.730402925567573,-20.187322395487115
1,w1,191.4688985137971,0.0021184642127498915,12,12,0.5000000000020595,1.0,0.9999844867757851,1.399606000329508,20.18713242811429
1,w1,191.4688985137971,0.0021184642127498915,13,13,0.2500000000010405,1.0,-0.9999844867757953,-2.068340103899277,-20.186907769152295
1,w1,191.4688985137971,0.0021184642127498915,14,14,0.0,0.7500000000003471,-0.9999844867758307,-2.737155765931035,-19.517959236752173
1,w1,191.4688985137971,0.0021184642127498915,15,15,0.0,0.5000000000020595,0.999984486775827,2.7369385387753513,18.84921880062492
1,w1,191.4688985137971,0.0021184642127498915,16,16,0.0,0.2500000000010405,-0.9999844867757803,-2.737182618580483,-18.18034473848512
1,w1,191.4688985137971,0.0021184642127498915,17,17,0.24999999999981837,0.25000000000063316,0.999972516699663,2.0681736991945607,18.180730229883284
1,w1,191.4688985137971,0.0021184642127498915,18,18,0.2500000000002257,0.5000000000012177,-1.0,-2.0682673492361867,-18.84947587732613
1,w1,191.4688985137971,0.0021184642127498915,19,19,0.25000000000063316,0.7500000000000954,0.9999721294732759,2.0683031792818505,19.5182003917469
1,w1,191.4688985137971,0.0021184642127498915,20,20,0.49999999999953393,0.2500000000002257,-0.9999951135200958,-1.3993349944718567,-18.18087263653985
1,w1,191.4688985137971,0.0021184642127498915,21,21,0.5000000000003757,0.5000000000003757,0.9999706361696022,1.3995527929410507,18.849539599019515
1,w1,191.4688985137971,0.0021184642127498915,22,22,0.5000000000012177,0.749999999999844,-0.999994404762269,-1.399547530898769,-19.518233393498384
1,w1,191.4688985137971,0.0021184642127498915,23,23,0.7499999999995922,0.24999999999981837,0.999981863232379,0.7303936740359982,18.18093030576219
1,w1,191.4688985137971,0.0021184642127498915,24,24,0.749999999999844,0.49999999999953393,-0.9999886198470417,-0.7304082618181893,-18.84966532485989
1,w1,191.4688985137971,0.0021184642127498915,25,25,0.7500000000000953,0.7499999999995921,0.9999822601784035,0.7305227056018652,19.51842843732898
2,w2,3.3002223408678e6,36.51456177746964,1,1,0.0,0.0,0.5114322630851362,-10.318767268030324,-119.316039799894
2,w2,3.3002223408678e6,36.51456177746964,2,2,1.0,0.0,0.511432263081691,-10.685237416807663,-119.31045617246939
2,w2,3.3002223408678e6,36.51456177746964,3,3,1.0,1.0,0.5114322630848145,-10.671825457724504,-119.68140134123571
2,w2,3.3002223408678e6,36.51456177746964,4,4,0.0,1.0,0.5114322630818954,-10.30599788760714,-119.68630514834078
2,w2,3.3002223408678e6,36.51456177746964,5,5,0.24999999999941094,0.0,-0.5114322630903746,10.909978815229037,120.46711805206985
2,w2,3.3002223408678e6,36.51456177746964,6,6,0.4999999999986921,0.0,0.5114322631588627,-10.491408136454199,-117.73703323162084
2,w2,3.3002223408678e6,36.51456177746964,7,7,0.7499999999993406,0.0,-0.511432263085681,10.08361633008182,120.48002592955481
2,w2,3.3002223408678e6,36.51456177746964,8,8,1.0,0.24999999999941094,-0.5114322631241363,9.511743573075869,119.9286800200088
2,w2,3.3002223408678e6,36.51456177746964,9,9,1.0,0.4999999999986921,0.5114322630996512,-12.267427394456577,-119.50737169659907
2,w2,3.3002223408678e6,36.51456177746964,10,10,1.0,0.7499999999993406,-0.5114322631248527,9.517306712328397,119.06915154336876
2,w2,3.3002223408678e6,36.51456177746964,11,11,0.7500000000003471,1.0,-0.5114322630903972,10.082291036034137,118.53207830363655
2,w2,3.3002223408678e6,36.51456177746964,12,12,0.5000000000020595,1.0,0.5114322631588237,-10.502602637899802,-121.262419089067
2,w2,3.3002223408678e6,36.51456177746964,13,13,0.2500000000010405,1.0,-0.5114322630857624,10.908230214102414,118.51954419416532
2,w2,3.3002223408678e6,36.51456177746964,14,14,0.0,0.7500000000003471,-0.5114322631243242,11.477186248722587,119.07002752414917
2,w2,3.3002223408678e6,36.51456177746964,15,15,0.0,0.5000000000020595,0.511432263099985,-8.721658840819396,-119.4913442469007
2,w2,3.3002223408678e6,36.51456177746964,16,16,0.0,0.2500000000010405,-0.5114322631253415,11.471980212548317,119.92918798017791
2,w2,3.3002223408678e6,36.51456177746964,17,17,0.24999999999981837,0.25000000000063316,0.7608960947608175,-10.028629799419571,-119.04517822362753
2,w2,3.3002223408678e6,36.51456177746964,18,18,0.2500000000002257,0.5000000000012177,-0.152809967476262,11.820115539886748,119.50642877181723
2,w2,3.3002223408678e6,36.51456177746964,19,19,0.25000000000063316,0.7500000000000954,0.7636799976139508,-10.014762740136348,-119.95527111256088
2,w2,3.3002223408678e6,36.51456177746964,20,20,0.49999999999953393,0.2500000000002257,-0.15385781955678587,10.511984480251378,120.85542748007896
2,w2,3.3002223408678e6,36.51456177746964,21,21,0.5000000000003757,0.5000000000003757,1.0,-10.496083750020505,-119.50048440009847
2,w2,3.3002223408678e6,36.51456177746964,22,22,0.5000000000012177,0.749999999999844,-0.1538511281367351,10.479882245598878,118.14574307225269
2,w2,3.3002223408678e6,36.51456177746964,23,23,0.7499999999995922,0.24999999999981837,0.7636758932448224,-10.975802682285625,-119.04599675700618
