mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,node_row,x,y,w,phi_1,phi_2
1,1,w1,-Inf,0.0,1,0.0,0.0,0.0009173188249328978,-1.0,0.9319774657361182
1,1,w1,-Inf,0.0,2,1.0,0.0,0.0009173188249382952,0.21697181061894763,-0.28499434488275344
1,1,w1,-Inf,0.0,3,1.0,1.0,0.0017309622689604875,-0.13446755799933827,0.1658950714413837
1,1,w1,-Inf,0.0,4,0.0,1.0,0.001730962268967547,-0.18107303130642738,0.21250054474857574
1,1,w1,-Inf,0.0,5,0.2499999999994109,0.0,0.0009173188249342514,-0.5448054109950745,0.47678287673121167
1,1,w1,-Inf,0.0,6,0.4999999999986921,0.0,0.0009173188249355979,-0.25019693970815776,0.18217440544431437
1,1,w1,-Inf,0.0,7,0.7499999999993406,0.0,0.0009173188249369482,-0.0415777352832306,-0.026444798980593983
1,1,w1,-Inf,0.0,8,1.0,0.2499999999994109,-0.0003214600510986505,0.07307582451893066,-0.10886257329890985
1,1,w1,-Inf,0.0,9,1.0,0.4999999999986921,0.00021512599694213988,0.0663439123971199,-0.05897324490949141
1,1,w1,-Inf,0.0,10,1.0,0.7499999999993406,-0.0012951334732839257,-0.3136770705484322,0.31005490022093574
1,1,w1,-Inf,0.0,11,0.7500000000003471,1.0,0.0017309622689622496,0.3259778408914681,-0.2945503274493966
1,1,w1,-Inf,0.0,12,0.5000000000020595,1.0,0.0017309622689640142,-0.06254735863476873,0.09397487207686582
1,1,w1,-Inf,0.0,13,0.2500000000010405,1.0,0.0017309622689657808,-0.012163518969583275,0.043591032411706046
1,1,w1,-Inf,0.0,14,0.0,0.7500000000003471,-0.0012951334732858772,-0.04360867819741786,0.03998650786985669
1,1,w1,-Inf,0.0,15,0.0,0.5000000000020595,0.00021512599693474695,0.0792677225182701,-0.07189705503043922
1,1,w1,-Inf,0.0,16,0.0,0.2500000000010405,-0.0003214600510959358,0.04048488648582513,-0.07627163526544493
1,1,w1,-Inf,0.0,17,0.2499999999998184,0.2500000000006332,-0.0003214600510966153,-0.1381321722517041,0.10234542347199442
1,1,w1,-Inf,0.0,18,0.2500000000002257,0.5000000000012177,0.00021512599693659587,0.0008329531035819448,0.006537714384198338
1,1,w1,-Inf,0.0,19,0.2500000000006332,0.7500000000000954,-0.0012951334732853883,-0.07367846878086291,0.07005629845331772
1,1,w1,-Inf,0.0,20,0.4999999999995339,0.2500000000002257,-0.00032146005109729326,-0.03363789123718965,-0.0021488575426099206
1,1,w1,-Inf,0.0,21,0.5000000000003757,0.5000000000003757,0.0002151259969384431,0.009107219340588796,-0.0017365518528590675
1,1,w1,-Inf,0.0,22,0.5000000000012177,0.749999999999844,-0.0012951334732849,0.02879176057089813,-0.03241393089842708
1,1,w1,-Inf,0.0,23,0.7499999999995922,0.2499999999998184,-0.0003214600510979732,0.08114935726054467,-0.11693610604043422
1,1,w1,-Inf,0.0,24,0.749999999999844,0.4999999999995339,0.000215125996940292,0.0024786405714668086,0.004892026916212358
1,1,w1,-Inf,0.0,25,0.7500000000000953,0.7499999999995921,-0.001295133473284413,0.006344878417136298,-0.00996704874464908
2,2,w2,-Inf,0.0,1,0.0,0.0,-0.014027857344741232,0.4069059826589753,-0.23714842719822377
2,2,w2,-Inf,0.0,2,1.0,0.0,-0.014027857344700467,-0.22174277869813308,0.3915003341594725
2,2,w2,-Inf,0.0,3,1.0,1.0,-0.0017750554464090176,0.06549089467259132,-0.05212016189920032
2,2,w2,-Inf,0.0,4,0.0,1.0,-0.0017750554463951806,-0.65490658667347,0.6682773194470312
2,2,w2,-Inf,0.0,5,0.2499999999994109,0.0,-0.014027857344731035,-0.10588843843929908,0.2756459939001976
2,2,w2,-Inf,0.0,6,0.4999999999986921,0.0,-0.014027857344720847,0.15615199674804053,0.013605558713004774
2,2,w2,-Inf,0.0,7,0.7499999999993406,0.0,-0.014027857344710657,0.12919164192031127,0.04056591354088114
2,2,w2,-Inf,0.0,8,1.0,0.2499999999994109,-0.003068830490668343,-0.0939446493780808,0.04555741290804191
2,2,w2,-Inf,0.0,9,1.0,0.4999999999986921,0.017792035575998563,-0.059554705943315925,0.07778810185201282
2,2,w2,-Inf,0.0,10,1.0,0.7499999999993406,0.013397463578323119,-0.22921347566714312,0.22217833464128656
2,2,w2,-Inf,0.0,11,0.7500000000003471,1.0,-0.0017750554464055403,0.7902927807639217,-0.7769220479904878
2,2,w2,-Inf,0.0,12,0.5000000000020595,1.0,-0.0017750554464020837,0.6240386351472202,-0.6106679023737441
