mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
110,1,1,1596.6803,19.7392,0.024534,8.30e-01
111,1,1,1607.9009,19.7392,0.024534,7.80e-01
112,1,1,1620.7320,19.7392,0.024534,7.07e-01
113,1,1,1624.2752,19.7392,0.024534,7.07e-01
114,1,1,1628.5820,19.7392,0.024534,8.17e-01
115,1,1,1630.9562,19.7392,0.024534,7.36e-01
116,1,1,1650.3704,19.7392,0.024534,7.28e-01
117,1,1,1659.2186,19.7392,0.024534,9.61e-01
118,1,1,1674.6452,19.7392,0.024534,6.34e-01
119,1,1,1676.2777,19.7392,0.024534,7.55e-01
120,1,1,1677.3822,19.7392,0.024534,8.44e-01
121,1,1,1680.9676,19.7392,0.024534,7.07e-01
122,1,1,1683.8722,19.7392,0.024534,7.05e-01
123,1,1,1686.2169,19.7392,0.024534,7.57e-01
124,1,1,1692.1559,19.7392,0.024534,8.11e-01
125,1,1,1711.1426,19.7392,0.024534,7.83e-01
126,1,1,1714.4220,19.7392,0.024534,7.53e-01
127,1,1,1726.0425,19.7392,0.024534,7.61e-01
128,1,1,1728.6855,19.7392,0.024534,7.31e-01
129,1,1,1742.4748,19.7392,0.024534,7.81e-01
130,1,1,1755.9556,19.7392,0.024534,6.94e-01
131,1,1,1780.0798,19.7392,0.024534,7.61e-01
132,1,1,1789.6063,19.7392,0.024534,7.18e-01
133,1,1,1791.2732,19.7392,0.024534,7.55e-01
134,1,1,1795.5735,19.7392,0.024534,7.98e-01
135,1,1,1798.5315,19.7392,0.024534,8.03e-01
136,1,1,1809.4893,19.7392,0.024534,9.93e-01
137,1,1,1810.2739,19.7392,0.024534,7.34e-01
138,1,1,1828.2740,19.7392,0.024534,7.47e-01
139,1,1,1850.0297,19.7392,0.024534,7.68e-01
140,1,1,1852.0825,19.7392,0.024534,7.96e-01
141,1,1,1852.2128,19.7392,0.024534,7.66e-01
142,1,1,1855.8574,19.7392,0.024534,7.90e-01
143,1,1,1858.5279,19.7392,0.024534,7.67e-01
144,1,1,1861.2098,19.7392,0.024534,7.90e-01
145,1,1,1869.6054,19.7392,0.024534,6.95e-01
146,1,1,1874.3854,19.7392,0.024534,7.44e-01
147,1,1,1920.0634,19.7392,0.024534,7.51e-01
148,1,1,1937.8254,19.7392,0.024534,8.07e-01
149,1,1,1941.3532,19.7392,0.024534,7.96e-01
150,1,1,1941.8012,19.7392,0.024534,7.28e-01
151,1,1,1971.3164,19.7392,0.024534,7.81e-01
152,1,1,1989.3317,19.7392,0.024534,8.07e-01
153,1,1,1990.7131,19.7392,0.024534,7.25e-01
154,1,1,2002.2667,19.7392,0.024534,7.03e-01
155,1,1,2012.3835,19.7392,0.024534,7.77e-01
156,1,1,2013.0488,19.7392,0.024534,7.83e-01
157,1,1,2015.3608,19.7392,0.024534,7.69e-01
158,1,1,2026.6795,19.7392,0.024534,7.32e-01
159,1,1,2032.4772,19.7392,0.024534,7.46e-01
160,1,1,2103.1680,19.7392,0.024534,8.05e-01
161,1,1,2106.8368,19.7392,0.024534,8.03e-01
162,1,1,2109.3013,19.7392,0.024534,7.77e-01
163,1,1,2127.4006,19.7392,0.024534,8.07e-01
164,1,1,2129.3160,19.7392,0.024534,7.52e-01
165,1,1,2139.6312,19.7392,0.024534,7.94e-01
166,1,1,2200.5850,19.7392,0.024534,7.46e-01
167,1,1,2209.4842,19.7392,0.024534,7.99e-01
168,1,1,2227.4238,19.7392,0.024534,7.78e-01
169,1,1,2236.1857,19.7392,0.024534,7.67e-01
170,1,1,2256.6386,19.7392,0.024534,8.06e-01
171,1,1,2283.0190,19.7392,0.024534,8.30e-01
172,1,1,2304.3894,19.7392,0.024534,7.87e-01
173,1,1,2351.6874,19.7392,0.024534,8.35e-01
174,1,1,77771.7278,19.7392,0.024534,4.59e-04
175,1,1,77772.5608,19.7392,0.024534,3.18e-04
176,1,1,77776.7716,19.7392,0.024534,3.88e-04
177,1,1,77776.8045,19.7392,0.024534,6.98e-04
178,1,1,77777.7363,19.7392,0.024534,5.88e-04
179,1,1,77780.6669,19.7392,0.024534,7.27e-04
180,1,1,77781.8004,19.7392,0.024534,3.67e-04
181,1,1,77781.8263,19.7392,0.024534,5.25e-04
182,1,1,77783.0812,19.7392,0.024534,6.03e-04
183,1,1,77784.6355,19.7392,0.024534,5.30e-04
184,1,1,77784.9256,19.7392,0.024534,7.35e-04
185,1,1,77785.2055,19.7392,0.024534,3.68e-04
186,1,1,77785.3137,19.7392,0.024534,5.18e-04
187,1,1,77788.8211,19.7392,0.024534,4.92e-04
188,1,1,77789.6492,19.7392,0.024534,6.70e-04
189,1,1,77790.3686,19.7392,0.024534,6.29e-04
190,1,1,77791.6316,19.7392,0.024534,5.64e-04
191,1,1,77792.6458,19.7392,0.024534,5.33e-04
192,1,1,77797.9445,19.7392,0.024534,7.35e-04
193,1,1,77798.0053,19.7392,0.024534,6.71e-04
194,1,1,77799.5865,19.7392,0.024534,8.95e-04
195,1,1,77807.3038,19.7392,0.024534,5.80e-04
196,1,1,77807.7425,19.7392,0.024534,8.35e-04
197,1,1,77807.7456,19.7392,0.024534,9.04e-04
198,1,1,77811.2947,19.7392,0.024534,8.06e-04
199,1,1,77813.5329,19.7392,0.024534,5.68e-04
200,1,1,77817.7024,19.7392,0.024534,7.38e-04
201,1,1,77849.4881,19.7392,0.024534,7.71e-04
202,1,1,77849.8988,19.7392,0.024534,1.03e-03
203,1,1,77852.2491,19.7392,0.024534,8.68e-04
204,1,1,77854.9675,19.7392,0.024534,7.21e-04
205,1,1,77855.6121,19.7392,0.024534,7.93e-04
206,1,1,77881.6493,19.7392,0.024534,9.56e-04
207,1,1,77883.3790,19.7392,0.024534,6.50e-04
208,1,1,77908.0405,19.7392,0.024534,7.55e-04
209,1,1,77908.8543,19.7392,0.024534,1.04e-03
210,1,1,77909.8568,19.7392,0.024534,9.74e-04
211,1,1,77923.7953,19.7392,0.024534,8.14e-04
212,1,1,77939.0286,19.7392,0.024534,1.13e-03
213,1,1,77939.1745,19.7392,0.024534,8.14e-04
214,1,1,77954.9464,19.7392,0.024534,5.72e-04
215,1,1,77977.7194,19.7392,0.024534,1.19e-03
216,1,1,77986.8648,19.7392,0.024534,6.49e-04
217,1,1,78013.7941,19.7392,0.024534,6.74e-04
218,1,1,78019.1241,19.7392,0.024534,8.65e-04
219,1,1,78041.7440,19.7392,0.024534,1.01e-03
220,1,1,78044.6829,19.7392,0.024534,5.48e-04
221,1,1,78084.4765,19.7392,0.024534,6.11e-04
222,1,1,78095.1074,19.7392,0.024534,8.54e-04
223,1,1,78114.7264,19.7392,0.024534,8.72e-04
224,1,1,78119.8659,19.7392,0.024534,6.47e-04
225,1,1,78145.8935,19.7392,0.024534,1.15e-03
226,1,1,78159.7351,19.7392,0.024534,7.90e-04
227,1,1,78179.8217,19.7392,0.024534,7.46e-04
228,1,1,78186.7482,19.7392,0.024534,8.17e-04
229,1,1,78232.7643,19.7392,0.024534,7.39e-04
230,1,1,78232.9817,19.7392,0.024534,5.99e-04
231,1,1,78261.3004,19.7392,0.024534,8.04e-04
232,1,1,78262.1342,19.7392,0.024534,7.50e-04
233,1,1,78274.9739,19.7392,0.024534,7.12e-04
234,1,1,78282.7523,19.7392,0.024534,8.22e-04
235,1,1,78286.6169,19.7392,0.024534,6.98e-04
236,1,1,78287.5673,19.7392,0.024534,8.43e-04
237,1,1,78308.4571,19.7392,0.024534,8.37e-04
238,1,1,109821.2972,19.7392,0.024534,1.35e-04
239,1,1,109822.4386,19.7392,0.024534,8.48e-05
240,1,1,109910.4066,19.7392,0.024534,2.58e-04
241,1,1,109917.6644,19.7392,0.024534,2.57e-04
242,1,1,64759682508.5000,19.7392,0.024534,2.66e-11
243,1,1,64759682672.5986,19.7392,0.024534,5.25e-12
244,1,1,64759762024.4720,19.7392,0.024534,8.26e-11
245,1,1,64759762069.6361,19.7392,0.024534,2.16e-11
246,1,1,64759763023.7562,19.7392,0.024534,1.63e-11
247,1,1,64759763391.5330,19.7392,0.024534,5.28e-12
248,1,1,64759847088.2898,19.7392,0.024534,2.55e-11
249,1,1,64759847257.5267,19.7392,0.024534,6.03e-12
250,1,1,64764922003.4073,19.7392,0.024534,1.47e-11
251,1,1,64764922054.8865,19.7392,0.024534,2.62e-11
252,1,1,64764922101.2737,19.7392,0.024534,7.38e-12
253,1,1,64764922193.3057,19.7392,0.024534,1.18e-11
254,1,1,64764979040.5419,19.7392,0.024534,1.48e-11
255,1,1,64764979159.7529,19.7392,0.024534,8.74e-12
256,1,1,64765056592.1122,19.7392,0.024534,1.77e-11
257,1,1,64765056700.6516,19.7392,0.024534,9.58e-12
258,1,1,64765418363.4609,19.7392,0.024534,2.22e-11
259,1,1,64765418495.2719,19.7392,0.024534,1.45e-11
260,1,1,64765472096.9319,19.7392,0.024534,2.93e-11
261,1,1,64765472240.6579,19.7392,0.024534,7.53e-12
262,1,1,64765554805.8470,19.7392,0.024534,1.99e-11
263,1,1,64765554908.7397,19.7392,0.024534,1.46e-11
264,1,1,64765554935.2943,19.7392,0.024534,1.46e-11
265,1,1,64765555067.7270,19.7392,0.024534,9.65e-12
266,1,1,64770089881.6300,19.7392,0.024534,1.11e-11
267,1,1,64770089950.4411,19.7392,0.024534,7.07e-12
268,1,1,64770652169.4667,19.7392,0.024534,6.37e-11
269,1,1,64770652296.9897,19.7392,0.024534,2.01e-11
270,1,1,64770653077.2328,19.7392,0.024534,1.51e-11
271,1,1,64770653370.2850,19.7392,0.024534,4.98e-12
272,1,1,64771208836.9291,19.7392,0.024534,1.85e-11
273,1,1,64771208927.0004,19.7392,0.024534,9.93e-12
274,1,1,64771311656.8201,19.7392,0.024534,1.25e-11
275,1,1,64771311705.1577,19.7392,0.024534,1.43e-11
276,1,1,64771370236.8758,19.7392,0.024534,1.60e-11
277,1,1,64771370318.9752,19.7392,0.024534,8.64e-12
278,1,1,64771434295.8481,19.7392,0.024534,2.50e-11
279,1,1,64771434298.5436,19.7392,0.024534,1.76e-11
280,1,1,64771434363.8214,19.7392,0.024534,9.32e-12
281,1,1,64771434365.2803,19.7392,0.024534,1.35e-11
282,1,1,64772534094.2922,19.7392,0.024534,2.62e-11
283,1,1,64772534101.7833,19.7392,0.024534,1.80e-11
284,1,1,64772534215.0408,19.7392,0.024534,1.23e-11
285,1,1,64772534227.6078,19.7392,0.024534,9.75e-12
286,1,1,64772664643.7898,19.7392,0.024534,2.18e-11
287,1,1,64772664773.4605,19.7392,0.024534,1.20e-11
288,1,1,64772668616.6142,19.7392,0.024534,2.36e-11
289,1,1,64772668745.7123,19.7392,0.024534,9.12e-12
290,1,1,64776393460.1549,19.7392,0.024534,1.61e-11
291,1,1,64776393489.6263,19.7392,0.024534,8.20e-12
292,1,1,64776393490.9943,19.7392,0.024534,1.18e-11
293,1,1,64776393520.6329,19.7392,0.024534,9.91e-12
294,1,1,64776919569.2630,19.7392,0.024534,1.47e-11
295,1,1,64776919596.1140,19.7392,0.024534,1.43e-11
296,1,1,64777039307.9633,19.7392,0.024534,1.96e-11
297,1,1,64777039315.4822,19.7392,0.024534,1.54e-11
298,1,1,64777039329.7789,19.7392,0.024534,1.43e-11
299,1,1,64777039340.0971,19.7392,0.024534,1.21e-11
300,1,1,64777153792.3584,19.7392,0.024534,1.76e-11
301,1,1,64777153798.5561,19.7392,0.024534,8.20e-12
302,1,1,64777169197.2516,19.7392,0.024534,1.21e-11
303,1,1,64777169204.6350,19.7392,0.024534,1.38e-11
304,1,1,64777176775.9651,19.7392,0.024534,1.10e-11
305,1,1,64777176779.8285,19.7392,0.024534,1.57e-11
306,1,1,64777649602.4161,19.7392,0.024534,1.28e-11
307,1,1,64777649671.1800,19.7392,0.024534,1.18e-11
308,1,1,64777729539.5663,19.7392,0.024534,1.94e-11
309,1,1,64777729610.2842,19.7392,0.024534,8.73e-12
310,1,1,64778358830.1323,19.7392,0.024534,2.15e-11
311,1,1,64778358901.7421,19.7392,0.024534,1.78e-11
312,1,1,64778358961.5383,19.7392,0.024534,1.30e-11
313,1,1,64778359035.7895,19.7392,0.024534,1.11e-11
314,1,1,64778515461.5913,19.7392,0.024534,1.96e-11
315,1,1,64778515535.3648,19.7392,0.024534,9.45e-12
316,1,1,64778515954.8156,19.7392,0.024534,1.32e-11
317,1,1,64778516033.2307,19.7392,0.024534,1.13e-11
318,1,1,64778662046.7546,19.7392,0.024534,2.05e-11
319,1,1,64778662050.7974,19.7392,0.024534,1.94e-11
320,1,1,64778662247.3261,19.7392,0.024534,1.23e-11
321,1,1,64778662250.2450,19.7392,0.024534,1.20e-11
322,1,1,64780987304.2157,19.7392,0.024534,9.33e-12
323,1,1,64780987319.6756,19.7392,0.024534,1.49e-11
324,1,1,64780988121.5008,19.7392,0.024534,1.68e-11
325,1,1,64780988134.5005,19.7392,0.024534,1.24e-11
326,1,1,64781165630.9004,19.7392,0.024534,1.22e-11
327,1,1,64781165631.2353,19.7392,0.024534,1.53e-11
328,1,1,64781165753.0176,19.7392,0.024534,1.31e-11
329,1,1,64781165753.1050,19.7392,0.024534,2.11e-11
330,1,1,64782076802.0895,19.7392,0.024534,1.21e-11
331,1,1,64782076859.2427,19.7392,0.024534,1.49e-11
332,1,1,64782084488.5854,19.7392,0.024534,1.33e-11
333,1,1,64782084533.6526,19.7392,0.024534,1.23e-11
334,1,1,64782241692.6090,19.7392,0.024534,2.20e-11
335,1,1,64782241704.8189,19.7392,0.024534,1.77e-11
336,1,1,64782242218.8796,19.7392,0.024534,1.07e-11
337,1,1,64782242229.5583,19.7392,0.024534,8.16e-12
338,1,1,64782392037.4152,19.7392,0.024534,1.28e-11
339,1,1,64782392061.3374,19.7392,0.024534,1.02e-11
340,1,1,64782394868.9746,19.7392,0.024534,1.24e-11
341,1,1,64782394880.3645,19.7392,0.024534,9.34e-12
342,1,1,64782614832.1934,19.7392,0.024534,1.20e-11
343,1,1,64782614906.4668,19.7392,0.024534,1.33e-11
344,1,1,64782801271.1514,19.7392,0.024534,1.70e-11
345,1,1,64782801278.2279,19.7392,0.024534,1.08e-11
346,1,1,64782801293.8734,19.7392,0.024534,1.71e-11
347,1,1,64782801298.6778,19.7392,0.024534,1.60e-11
348,1,1,64783526486.8597,19.7392,0.024534,1.92e-11
