mode_rank,matched_m,matched_n,Omega_exact,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct
105,2,12,1460.7015,99.999999,0.000000,0.000001
106,12,2,1460.7015,99.999999,0.000001,0.000000
107,7,10,1470.5711,99.999999,0.000000,0.000001
108,10,7,1470.5711,99.999999,0.000001,0.000000
109,3,12,1510.0495,99.999999,0.000000,0.000001
110,12,3,1510.0495,99.999999,0.000001,0.000000
111,6,11,1549.5279,99.999999,0.000000,0.000001
112,11,6,1549.5279,99.999999,0.000001,0.000000
113,4,12,1579.1367,99.999999,0.000000,0.000001
114,12,4,1579.1367,99.999999,0.000001,0.000000
115,9,9,1598.8759,99.999999,0.000001,0.000001
116,8,10,1618.6151,99.999999,0.000001,0.000001
117,10,8,1618.6151,99.999999,0.000001,0.000001
118,5,12,1667.9631,99.999999,0.000000,0.000001
119,12,5,1667.9631,99.999999,0.000001,0.000000
120,1,13,1677.8327,99.999999,0.000000,0.000001
121,13,1,1677.8327,99.999999,0.000001,0.000000
122,7,11,1677.8327,99.999999,0.000000,0.000001
123,11,7,1677.8327,99.999999,0.000001,0.000000
124,2,13,1707.4416,99.999999,0.000000,0.000001
125,13,2,1707.4416,99.999999,0.000001,0.000000
126,3,13,1756.7896,99.999999,0.000000,0.000001
127,13,3,1756.7896,99.999999,0.000001,0.000000
128,6,12,1776.5288,99.999999,0.000000,0.000001
129,12,6,1776.5288,99.999999,0.000001,0.000000
130,9,10,1786.3984,99.999999,0.000001,0.000001
131,10,9,1786.3984,99.999999,0.000001,0.000001
132,4,13,1825.8768,99.999998,0.000000,0.000001
133,13,4,1825.8768,99.999998,0.000001,0.000000
134,8,11,1825.8768,99.999998,0.000001,0.000001
135,11,8,1825.8768,99.999998,0.000001,0.000001
136,7,12,1904.8336,99.999998,0.000000,0.000001
137,12,7,1904.8336,99.999998,0.000001,0.000000
138,5,13,1914.7033,99.999998,0.000000,0.000001
139,13,5,1914.7033,99.999998,0.000001,0.000000
140,1,14,1944.3121,99.999998,0.000000,0.000002
141,14,1,1944.3121,99.999998,0.000002,0.000000
142,2,14,1973.9209,99.999998,0.000000,0.000002
143,14,2,1973.9209,99.999998,0.000002,0.000000
144,10,10,1973.9209,99.999998,0.000001,0.000001
145,9,11,1993.6601,99.999998,0.000001,0.000001
146,11,9,1993.6601,99.999998,0.000001,0.000001
147,3,14,2023.2689,99.999998,0.000000,0.000002
148,14,3,2023.2689,99.999998,0.000002,0.000000
149,6,13,2023.2689,99.999998,0.000000,0.000001
150,13,6,2023.2689,99.999998,0.000001,0.000000
151,8,12,2052.8777,99.999998,0.000001,0.000001
152,12,8,2052.8777,99.999998,0.000001,0.000001
153,4,14,2092.3561,99.999998,0.000000,0.000002
154,14,4,2092.3561,99.999998,0.000002,0.000000
155,7,13,2151.5738,99.999998,0.000000,0.000001
156,13,7,2151.5738,99.999998,0.000001,0.000000
157,5,14,2181.1826,99.999998,0.000000,0.000002
158,14,5,2181.1826,99.999998,0.000002,0.000000
159,10,11,2181.1826,99.999998,0.000001,0.000001
160,11,10,2181.1826,99.999998,0.000001,0.000001
161,9,12,2220.6610,99.999998,0.000001,0.000001
162,12,9,2220.6610,99.999998,0.000001,0.000001
163,1,15,2230.5306,99.999998,0.000000,0.000002
164,15,1,2230.5306,99.999998,0.000002,0.000000
165,2,15,2260.1394,99.999998,0.000000,0.000002
166,15,2,2260.1394,99.999998,0.000002,0.000000
167,6,14,2289.7482,99.999998,0.000000,0.000002
168,14,6,2289.7482,99.999998,0.000002,0.000000
169,8,13,2299.6178,99.999998,0.000001,0.000001
170,13,8,2299.6178,99.999998,0.000001,0.000001
171,3,15,2309.4874,99.999998,0.000000,0.000002
172,15,3,2309.4874,99.999998,0.000002,0.000000
173,4,15,2378.5747,99.999998,0.000000,0.000002
174,15,4,2378.5747,99.999998,0.000002,0.000000
175,11,11,2388.4443,99.999998,0.000001,0.000001
176,10,12,2408.1835,99.999998,0.000001,0.000001
177,12,10,2408.1835,99.999998,0.000001,0.000001
178,7,14,2418.0531,99.999998,0.000000,0.000002
179,14,7,2418.0531,99.999998,0.000002,0.000000
180,5,15,2467.4011,99.999998,0.000000,0.000002
181,15,5,2467.4011,99.999998,0.000002,0.000000
182,9,13,2467.4011,99.999998,0.000001,0.000001
183,13,9,2467.4011,99.999998,0.000001,0.000001
184,1,16,2536.4883,99.999998,0.000000,0.000002
185,16,1,2536.4883,99.999998,0.000002,0.000000
186,2,16,2566.0971,99.999998,0.000000,0.000002
187,16,2,2566.0971,99.999998,0.000002,0.000000
188,8,14,2566.0971,99.999998,0.000001,0.000002
189,14,8,2566.0971,99.999998,0.000002,0.000001
190,6,15,2575.9667,99.999998,0.000000,0.000002
191,15,6,2575.9667,99.999998,0.000002,0.000000
192,3,16,2615.4452,99.999998,0.000000,0.000002
193,16,3,2615.4452,99.999998,0.000002,0.000000
194,11,12,2615.4452,99.999998,0.000001,0.000001
195,12,11,2615.4452,99.999998,0.000001,0.000001
196,10,13,2654.9236,99.999998,0.000001,0.000001
197,13,10,2654.9236,99.999998,0.000001,0.000001
198,4,16,2684.5324,99.999998,0.000000,0.000002
199,16,4,2684.5324,99.999998,0.000002,0.000000
200,7,15,2704.2716,99.999998,0.000000,0.000002
201,15,7,2704.2716,99.999998,0.000002,0.000000
202,9,14,2733.8804,99.999998,0.000001,0.000002
203,14,9,2733.8804,99.999998,0.000002,0.000001
204,5,16,2773.3588,99.999998,0.000000,0.000002
205,16,5,2773.3588,99.999998,0.000002,0.000000
206,12,12,2842.4461,99.999998,0.000001,0.000001
207,8,15,2852.3157,99.999998,0.000001,0.000002
208,15,8,2852.3157,99.999998,0.000002,0.000001
209,1,17,2862.1853,99.999998,0.000000,0.000002
210,17,1,2862.1853,99.999998,0.000002,0.000000
211,11,13,2862.1853,99.999998,0.000001,0.000001
212,13,11,2862.1853,99.999998,0.000001,0.000001
213,6,16,2881.9245,99.999998,0.000000,0.000002
214,16,6,2881.9245,99.999998,0.000002,0.000000
215,2,17,2891.7941,99.999998,0.000000,0.000002
216,17,2,2891.7941,99.999998,0.000002,0.000000
217,10,14,2921.4029,99.999998,0.000001,0.000002
218,14,10,2921.4029,99.999998,0.000002,0.000001
219,3,17,2941.1421,99.999998,0.000000,0.000002
220,17,3,2941.1421,99.999998,0.000002,0.000000
221,4,17,3010.2293,99.999997,0.000000,0.000002
222,17,4,3010.2293,99.999997,0.000002,0.000000
223,7,16,3010.2293,99.999997,0.000000,0.000002
224,16,7,3010.2293,99.999997,0.000002,0.000000
225,9,15,3020.0989,99.999997,0.000001,0.000002
226,15,9,3020.0989,99.999997,0.000002,0.000001
227,12,13,3089.1862,99.999997,0.000001,0.000001
228,13,12,3089.1862,99.999997,0.000001,0.000001
229,5,17,3099.0558,99.999997,0.000000,0.000002
230,17,5,3099.0558,99.999997,0.000002,0.000000
231,11,14,3128.6646,99.999997,0.000001,0.000002
232,14,11,3128.6646,99.999997,0.000002,0.000001
233,8,16,3158.2734,99.999997,0.000001,0.000002
234,16,8,3158.2734,99.999997,0.000002,0.000001
235,1,18,3207.6214,99.999997,0.000000,0.000003
236,18,1,3207.6214,99.999997,0.000003,0.000000
237,6,17,3207.6214,99.999997,0.000000,0.000002
238,17,6,3207.6214,99.999997,0.000002,0.000000
239,10,15,3207.6214,99.999997,0.000001,0.000002
240,15,10,3207.6214,99.999997,0.000002,0.000001
241,2,18,3237.2302,99.999997,0.000000,0.000003
242,18,2,3237.2302,99.999997,0.000003,0.000000
243,3,18,3286.5783,99.999997,0.000000,0.000003
244,18,3,3286.5783,99.999997,0.000003,0.000000
245,9,16,3326.0567,99.999997,0.000001,0.000002
246,16,9,3326.0567,99.999997,0.000002,0.000001
247,7,17,3335.9263,99.999997,0.000000,0.000002
248,17,7,3335.9263,99.999997,0.000002,0.000000
249,13,13,3335.9263,99.999997,0.000001,0.000001
250,4,18,3355.6655,99.999997,0.000000,0.000003
251,18,4,3355.6655,99.999997,0.000003,0.000000
252,12,14,3355.6655,99.999997,0.000001,0.000002
253,14,12,3355.6655,99.999997,0.000002,0.000001
254,11,15,3414.8831,99.999997,0.000001,0.000002
255,15,11,3414.8831,99.999997,0.000002,0.000001
256,5,18,3444.4919,99.999997,0.000000,0.000003
257,18,5,3444.4919,99.999997,0.000003,0.000000
258,8,17,3483.9704,99.999997,0.000001,0.000002
259,17,8,3483.9704,99.999997,0.000002,0.000001
260,10,16,3513.5792,99.999997,0.000001,0.000002
261,16,10,3513.5792,99.999997,0.000002,0.000001
262,6,18,3553.0576,99.999997,0.000000,0.000003
263,18,6,3553.0576,99.999997,0.000003,0.000000
264,1,19,3572.7968,99.999997,0.000000,0.000003
