mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
110,1,1,1768.1765,19.7392,1.202287,7.63e-01
111,1,1,1779.9892,19.7392,1.202287,7.63e-01
112,1,1,1795.2204,19.7392,1.202287,7.25e-01
113,1,1,1800.7487,19.7392,1.202287,8.36e-01
114,1,1,1810.6715,19.7392,1.202287,8.27e-01
115,1,1,1811.5989,19.7392,1.202287,7.18e-01
116,1,1,1820.0920,19.7392,1.202287,7.26e-01
117,1,1,1824.2308,19.7392,1.202287,7.85e-01
118,1,1,1828.7419,19.7392,1.202287,7.89e-01
119,1,1,1834.9944,19.7392,1.202287,7.41e-01
120,1,1,1851.7269,19.7392,1.202287,7.95e-01
121,1,1,1859.0154,19.7392,1.202287,7.71e-01
122,1,1,1875.0282,19.7392,1.202287,7.37e-01
123,1,1,1889.6706,19.7392,1.202287,6.64e-01
124,1,1,1909.1607,19.7392,1.202287,7.70e-01
125,1,1,1936.3727,19.7392,1.202287,7.37e-01
126,1,1,1957.0270,19.7392,1.202287,7.84e-01
127,1,1,1959.5629,19.7392,1.202287,7.74e-01
128,1,1,1964.1324,19.7392,1.202287,7.68e-01
129,1,1,1997.6552,19.7392,1.202287,7.60e-01
130,1,1,1999.8087,19.7392,1.202287,1.09e+00
131,1,1,2020.0534,19.7392,1.202287,8.08e-01
132,1,1,2020.3720,19.7392,1.202287,7.24e-01
133,1,1,2052.5785,19.7392,1.202287,7.52e-01
134,1,1,2075.2137,19.7392,1.202287,8.68e-01
135,1,1,2126.1412,19.7392,1.202287,8.27e-01
136,1,1,2127.1393,19.7392,1.202287,7.84e-01
137,1,1,2127.9542,19.7392,1.202287,7.77e-01
138,1,1,2158.6910,19.7392,1.202287,7.68e-01
139,1,1,2176.7014,19.7392,1.202287,7.91e-01
140,1,1,2179.6529,19.7392,1.202287,8.03e-01
141,1,1,2214.8671,19.7392,1.202287,7.95e-01
142,1,1,2227.2551,19.7392,1.202287,8.12e-01
143,1,1,2238.7297,19.7392,1.202287,8.82e-01
144,1,1,2258.3697,19.7392,1.202287,8.00e-01
145,1,1,2262.5822,19.7392,1.202287,7.64e-01
146,1,1,2302.6507,19.7392,1.202287,7.92e-01
147,1,1,2320.5540,19.7392,1.202287,7.82e-01
148,1,1,2321.3915,19.7392,1.202287,7.82e-01
149,1,1,2347.6740,19.7392,1.202287,8.25e-01
150,1,1,2367.7207,19.7392,1.202287,7.81e-01
151,1,1,2371.9521,19.7392,1.202287,7.98e-01
152,1,1,2462.3515,19.7392,1.202287,8.00e-01
153,1,1,2565.4961,19.7392,1.202287,8.31e-01
154,1,1,73913.1186,19.7392,1.202287,3.61e-04
155,1,1,73917.4563,19.7392,1.202287,3.83e-04
156,1,1,73918.2380,19.7392,1.202287,5.28e-04
157,1,1,73918.2819,19.7392,1.202287,3.35e-04
158,1,1,73919.4592,19.7392,1.202287,5.72e-04
159,1,1,73920.0236,19.7392,1.202287,8.22e-04
160,1,1,73920.3903,19.7392,1.202287,3.78e-04
161,1,1,73920.7939,19.7392,1.202287,4.63e-04
162,1,1,73921.8128,19.7392,1.202287,4.84e-04
163,1,1,73924.0875,19.7392,1.202287,5.24e-04
164,1,1,73925.6483,19.7392,1.202287,8.38e-04
165,1,1,73928.8999,19.7392,1.202287,5.69e-04
166,1,1,73929.5489,19.7392,1.202287,7.73e-04
167,1,1,73932.5277,19.7392,1.202287,5.86e-04
168,1,1,73934.3629,19.7392,1.202287,5.40e-04
169,1,1,73934.8895,19.7392,1.202287,4.80e-04
170,1,1,73936.2722,19.7392,1.202287,5.88e-04
171,1,1,73938.5842,19.7392,1.202287,9.40e-04
172,1,1,73939.1231,19.7392,1.202287,8.91e-04
173,1,1,73939.8795,19.7392,1.202287,5.76e-04
174,1,1,73940.0723,19.7392,1.202287,6.22e-04
175,1,1,73942.6399,19.7392,1.202287,3.50e-04
176,1,1,73943.6459,19.7392,1.202287,6.75e-04
177,1,1,73943.7568,19.7392,1.202287,6.15e-04
178,1,1,73946.5038,19.7392,1.202287,8.09e-04
179,1,1,73949.2758,19.7392,1.202287,6.38e-04
180,1,1,73952.8520,19.7392,1.202287,7.46e-04
181,1,1,73955.1002,19.7392,1.202287,1.06e-03
182,1,1,73959.5752,19.7392,1.202287,6.81e-04
183,1,1,73965.2053,19.7392,1.202287,6.91e-04
184,1,1,73968.6303,19.7392,1.202287,7.71e-04
185,1,1,73970.3714,19.7392,1.202287,8.43e-04
186,1,1,73971.7013,19.7392,1.202287,8.27e-04
187,1,1,73986.4842,19.7392,1.202287,6.87e-04
188,1,1,73989.3276,19.7392,1.202287,5.54e-04
189,1,1,73997.9727,19.7392,1.202287,5.82e-04
190,1,1,74001.3654,19.7392,1.202287,8.18e-04
191,1,1,74005.2761,19.7392,1.202287,9.26e-04
192,1,1,74023.2055,19.7392,1.202287,9.15e-04
193,1,1,74027.5551,19.7392,1.202287,9.12e-04
194,1,1,74052.4756,19.7392,1.202287,8.28e-04
195,1,1,74063.8373,19.7392,1.202287,5.27e-04
196,1,1,74069.1310,19.7392,1.202287,1.01e-03
197,1,1,74084.3501,19.7392,1.202287,1.82e-03
198,1,1,74090.9334,19.7392,1.202287,1.02e-03
199,1,1,74092.9425,19.7392,1.202287,8.14e-04
200,1,1,74104.5729,19.7392,1.202287,1.05e-03
201,1,1,74117.7106,19.7392,1.202287,1.13e-03
202,1,1,74123.4733,19.7392,1.202287,4.52e-04
203,1,1,74147.6340,19.7392,1.202287,6.43e-04
204,1,1,74148.7546,19.7392,1.202287,6.62e-04
205,1,1,74164.6042,19.7392,1.202287,6.47e-04
206,1,1,74168.3533,19.7392,1.202287,8.14e-04
207,1,1,74168.4005,19.7392,1.202287,9.20e-04
208,1,1,74169.1616,19.7392,1.202287,6.86e-04
209,1,1,74176.2029,19.7392,1.202287,8.34e-04
210,1,1,104199.5887,19.7392,1.202287,1.13e-04
211,1,1,104205.2659,19.7392,1.202287,3.22e-04
212,1,1,104260.9930,19.7392,1.202287,2.77e-04
213,1,1,104266.6071,19.7392,1.202287,3.76e-04
214,1,1,64759682477.2781,19.7392,1.202287,3.11e-11
215,1,1,64759682676.4650,19.7392,1.202287,1.19e-11
216,1,1,64759762028.9981,19.7392,1.202287,6.43e-11
217,1,1,64759762060.8776,19.7392,1.202287,3.74e-11
218,1,1,64759762979.8491,19.7392,1.202287,4.20e-11
219,1,1,64759763403.7777,19.7392,1.202287,8.62e-12
220,1,1,64759847065.3853,19.7392,1.202287,3.59e-11
221,1,1,64759847269.5445,19.7392,1.202287,9.67e-12
222,1,1,64764921953.6813,19.7392,1.202287,2.83e-11
223,1,1,64764922006.3410,19.7392,1.202287,3.92e-11
224,1,1,64764922116.3666,19.7392,1.202287,1.35e-11
225,1,1,64764922206.0400,19.7392,1.202287,1.26e-11
226,1,1,64764979003.1183,19.7392,1.202287,2.94e-11
227,1,1,64764979175.4147,19.7392,1.202287,1.29e-11
228,1,1,64765056553.7421,19.7392,1.202287,2.41e-11
229,1,1,64765056718.5177,19.7392,1.202287,8.35e-12
230,1,1,64765418339.3298,19.7392,1.202287,2.02e-11
231,1,1,64765418503.5315,19.7392,1.202287,1.69e-11
232,1,1,64765472081.4258,19.7392,1.202287,3.37e-11
233,1,1,64765472249.2343,19.7392,1.202287,9.30e-12
234,1,1,64765554795.0079,19.7392,1.202287,4.22e-11
235,1,1,64765554888.8171,19.7392,1.202287,4.79e-11
236,1,1,64765554945.7881,19.7392,1.202287,2.40e-11
237,1,1,64765555080.9117,19.7392,1.202287,1.01e-11
