mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
109,1,1,777.4791,19.7392,-1.710786,2.80e-08
110,1,1,778.2388,19.7392,-1.710786,4.58e-08
111,1,1,781.1705,19.7392,-1.710786,3.26e-08
112,1,1,785.7075,19.7392,-1.710786,4.08e-08
113,1,1,799.0153,19.7392,-1.710786,4.38e-08
114,1,1,803.0280,19.7392,-1.710786,3.00e-08
115,1,1,804.8802,19.7392,-1.710786,2.52e-08
116,1,1,805.2629,19.7392,-1.710786,3.87e-08
117,1,1,812.9273,19.7392,-1.710786,4.01e-08
118,1,1,813.8145,19.7392,-1.710786,2.94e-08
119,1,1,820.7830,19.7392,-1.710786,4.15e-08
120,1,1,822.9183,19.7392,-1.710786,3.91e-08
121,1,1,848.0537,19.7392,-1.710786,2.83e-08
122,1,1,852.9009,19.7392,-1.710786,3.12e-08
123,1,1,853.8109,19.7392,-1.710786,2.77e-08
124,1,1,866.3889,19.7392,-1.710786,4.68e-08
125,1,1,878.0858,19.7392,-1.710786,2.58e-08
126,1,1,879.1796,19.7392,-1.710786,5.29e-08
127,1,1,899.8373,19.7392,-1.710786,3.01e-08
128,1,1,905.8148,19.7392,-1.710786,2.58e-08
129,1,1,907.5833,19.7392,-1.710786,2.57e-08
130,1,1,908.6078,19.7392,-1.710786,2.66e-08
131,1,1,913.4778,19.7392,-1.710786,2.83e-08
132,1,1,914.1698,19.7392,-1.710786,2.47e-08
133,1,1,917.1895,19.7392,-1.710786,2.71e-08
134,1,1,921.1592,19.7392,-1.710786,2.19e-08
135,1,1,945.4312,19.7392,-1.710786,3.33e-08
136,1,1,950.5785,19.7392,-1.710786,3.97e-08
137,1,1,954.9871,19.7392,-1.710786,3.29e-08
138,1,1,966.7688,19.7392,-1.710786,2.73e-08
139,1,1,969.9601,19.7392,-1.710786,3.69e-08
140,1,1,970.5670,19.7392,-1.710786,2.00e-08
141,1,1,982.4976,19.7392,-1.710786,3.00e-08
142,1,1,997.4066,19.7392,-1.710786,3.09e-08
143,1,1,1003.7722,19.7392,-1.710786,1.99e-08
144,1,1,1016.5839,19.7392,-1.710786,2.14e-08
145,1,1,1024.3143,19.7392,-1.710786,1.92e-08
146,1,1,1024.3338,19.7392,-1.710786,4.08e-08
147,1,1,1029.2229,19.7392,-1.710786,2.21e-08
148,1,1,1038.1566,19.7392,-1.710786,2.76e-08
149,1,1,1042.6015,19.7392,-1.710786,2.53e-08
150,1,1,1061.2853,19.7392,-1.710786,1.50e-08
151,1,1,1068.4794,19.7392,-1.710786,3.07e-08
152,1,1,1070.5493,19.7392,-1.710786,1.72e-08
153,1,1,1076.1999,19.7392,-1.710786,3.92e-08
154,1,1,1080.0765,19.7392,-1.710786,2.67e-08
155,1,1,1089.5784,19.7392,-1.710786,1.54e-08
156,1,1,1090.4153,19.7392,-1.710786,2.33e-08
157,1,1,1103.6595,19.7392,-1.710786,2.38e-08
158,1,1,1109.3872,19.7392,-1.710786,1.75e-08
159,1,1,1111.0084,19.7392,-1.710786,2.12e-08
160,1,1,1115.7231,19.7392,-1.710786,1.88e-08
161,1,1,1130.3832,19.7392,-1.710786,2.01e-08
162,1,1,1137.6706,19.7392,-1.710786,1.14e-08
163,1,1,1150.6463,19.7392,-1.710786,2.07e-08
164,1,1,1150.7554,19.7392,-1.710786,3.25e-08
165,1,1,1155.3664,19.7392,-1.710786,1.84e-08
166,1,1,1168.7512,19.7392,-1.710786,2.04e-08
167,1,1,1174.3180,19.7392,-1.710786,2.12e-08
168,1,1,1176.6733,19.7392,-1.710786,1.73e-08
169,1,1,1191.8483,19.7392,-1.710786,2.13e-08
170,1,1,1198.8565,19.7392,-1.710786,1.75e-08
171,1,1,1201.8479,19.7392,-1.710786,1.57e-08
172,1,1,1208.4352,19.7392,-1.710786,1.75e-08
173,1,1,1209.8661,19.7392,-1.710786,1.70e-08
174,1,1,1212.4912,19.7392,-1.710786,1.63e-08
175,1,1,1231.6858,19.7392,-1.710786,1.80e-08
176,1,1,1235.4438,19.7392,-1.710786,1.26e-08
177,1,1,1239.9263,19.7392,-1.710786,2.22e-08
178,1,1,1252.1115,19.7392,-1.710786,1.35e-08
179,1,1,1253.1218,19.7392,-1.710786,1.92e-08
180,1,1,1256.9527,19.7392,-1.710786,1.86e-08
181,1,1,1267.8479,19.7392,-1.710786,1.58e-08
182,1,1,1268.5865,19.7392,-1.710786,1.91e-08
183,1,1,1269.4986,19.7392,-1.710786,2.06e-08
184,1,1,1279.2077,19.7392,-1.710786,1.11e-08
185,1,1,1281.0545,19.7392,-1.710786,1.66e-08
186,1,1,1298.3137,19.7392,-1.710786,1.42e-08
187,1,1,1303.7088,19.7392,-1.710786,1.70e-08
188,1,1,1321.0747,19.7392,-1.710786,1.27e-08
189,1,1,1324.1752,19.7392,-1.710786,1.07e-08
190,1,1,1326.1147,19.7392,-1.710786,1.35e-08
191,1,1,1340.2063,19.7392,-1.710786,1.58e-08
192,1,1,1344.3456,19.7392,-1.710786,8.93e-09
193,1,1,1362.8356,19.7392,-1.710786,1.29e-08
194,1,1,1369.5385,19.7392,-1.710786,1.45e-08
195,1,1,1378.8626,19.7392,-1.710786,1.62e-08
196,1,1,1392.5925,19.7392,-1.710786,1.20e-08
197,1,1,1405.4216,19.7392,-1.710786,1.26e-08
198,1,1,1413.2615,19.7392,-1.710786,1.11e-08
199,1,1,1413.6681,19.7392,-1.710786,1.23e-08
200,1,1,1419.2041,19.7392,-1.710786,8.44e-09
201,1,1,1419.8756,19.7392,-1.710786,1.35e-08
202,1,1,1432.3626,19.7392,-1.710786,1.21e-08
203,1,1,1438.0669,19.7392,-1.710786,1.37e-08
204,1,1,1449.6734,19.7392,-1.710786,1.22e-08
205,1,1,1455.8851,19.7392,-1.710786,7.84e-09
206,1,1,1462.6423,19.7392,-1.710786,1.08e-08
207,1,1,1494.6943,19.7392,-1.710786,1.06e-08
208,1,1,1497.5265,19.7392,-1.710786,1.15e-08
209,1,1,1514.9498,19.7392,-1.710786,1.20e-08
210,1,1,1519.9767,19.7392,-1.710786,6.21e-09
211,1,1,1537.0871,19.7392,-1.710786,9.00e-09
212,1,1,1553.8708,19.7392,-1.710786,8.34e-09
213,1,1,1554.3910,19.7392,-1.710786,9.78e-09
214,1,1,1560.6356,19.7392,-1.710786,8.54e-09
215,1,1,1561.8460,19.7392,-1.710786,1.02e-08
216,1,1,1569.8181,19.7392,-1.710786,8.97e-09
217,1,1,1588.3919,19.7392,-1.710786,9.90e-09
218,1,1,1600.1819,19.7392,-1.710786,7.83e-09
219,1,1,1604.8865,19.7392,-1.710786,1.08e-08
220,1,1,1606.7321,19.7392,-1.710786,1.01e-08
221,1,1,1631.1990,19.7392,-1.710786,1.38e-08
222,1,1,1635.5535,19.7392,-1.710786,6.73e-09
223,1,1,1668.2272,19.7392,-1.710786,6.93e-09
224,1,1,1668.9608,19.7392,-1.710786,1.56e-08
225,1,1,1682.7735,19.7392,-1.710786,8.26e-09
