mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
109,1,1,531.0019,19.7392,-1.104537,1.23e-11
110,1,1,531.5707,19.7392,-1.104537,3.22e-11
111,1,1,531.6819,19.7392,-1.104537,1.88e-11
112,1,1,532.4134,19.7392,-1.104537,2.29e-11
113,1,1,532.6685,19.7392,-1.104537,3.61e-11
114,1,1,535.0398,19.7392,-1.104537,7.26e-12
115,1,1,535.8849,19.7392,-1.104537,9.23e-12
116,1,1,538.6239,19.7392,-1.104537,7.23e-12
117,1,1,547.4204,19.7392,-1.104537,7.78e-12
118,1,1,547.7067,19.7392,-1.104537,8.23e-12
119,1,1,547.9426,19.7392,-1.104537,7.02e-12
120,1,1,548.6578,19.7392,-1.104537,7.82e-12
121,1,1,549.1105,19.7392,-1.104537,9.64e-12
122,1,1,549.2332,19.7392,-1.104537,7.78e-12
123,1,1,553.3813,19.7392,-1.104537,1.09e-11
124,1,1,554.7113,19.7392,-1.104537,1.15e-11
125,1,1,556.8057,19.7392,-1.104537,7.45e-12
126,1,1,557.2161,19.7392,-1.104537,8.12e-12
127,1,1,557.8042,19.7392,-1.104537,1.54e-11
128,1,1,567.4885,19.7392,-1.104537,5.96e-12
129,1,1,568.1023,19.7392,-1.104537,1.04e-11
130,1,1,572.3060,19.7392,-1.104537,6.59e-12
131,1,1,572.5464,19.7392,-1.104537,8.60e-12
132,1,1,580.5577,19.7392,-1.104537,6.68e-12
133,1,1,582.7896,19.7392,-1.104537,9.13e-12
134,1,1,583.8322,19.7392,-1.104537,7.06e-12
135,1,1,589.8277,19.7392,-1.104537,7.43e-12
136,1,1,590.2513,19.7392,-1.104537,7.03e-12
137,1,1,596.0865,19.7392,-1.104537,9.98e-12
138,1,1,597.1999,19.7392,-1.104537,7.35e-12
139,1,1,612.8112,19.7392,-1.104537,8.11e-12
140,1,1,615.5278,19.7392,-1.104537,7.67e-12
141,1,1,618.0212,19.7392,-1.104537,8.93e-12
142,1,1,622.0791,19.7392,-1.104537,7.67e-12
143,1,1,627.4482,19.7392,-1.104537,7.68e-12
144,1,1,648.0718,19.7392,-1.104537,1.64e-11
145,1,1,648.0718,19.7392,-1.104537,1.22e-11
146,1,1,648.0721,19.7392,-1.104537,7.42e-12
147,1,1,648.9810,19.7392,-1.104537,7.37e-12
148,1,1,650.1870,19.7392,-1.104537,7.08e-12
149,1,1,650.5704,19.7392,-1.104537,8.20e-12
150,1,1,653.0830,19.7392,-1.104537,2.26e-11
151,1,1,654.2046,19.7392,-1.104537,7.61e-12
152,1,1,654.2095,19.7392,-1.104537,5.60e-12
153,1,1,654.4377,19.7392,-1.104537,7.64e-11
154,1,1,657.1464,19.7392,-1.104537,2.71e-11
155,1,1,661.0676,19.7392,-1.104537,1.03e-11
156,1,1,661.0703,19.7392,-1.104537,3.51e-11
157,1,1,661.2622,19.7392,-1.104537,8.73e-12
158,1,1,662.5857,19.7392,-1.104537,1.38e-11
159,1,1,664.8086,19.7392,-1.104537,8.99e-12
160,1,1,665.8842,19.7392,-1.104537,6.37e-12
161,1,1,671.5818,19.7392,-1.104537,5.76e-12
162,1,1,671.6233,19.7392,-1.104537,7.72e-12
163,1,1,673.0026,19.7392,-1.104537,1.31e-11
164,1,1,673.2169,19.7392,-1.104537,1.79e-11
165,1,1,674.3633,19.7392,-1.104537,1.66e-11
166,1,1,681.2039,19.7392,-1.104537,5.36e-12
167,1,1,681.6479,19.7392,-1.104537,6.57e-12
168,1,1,681.7064,19.7392,-1.104537,6.20e-12
169,1,1,681.9359,19.7392,-1.104537,8.53e-12
170,1,1,682.2984,19.7392,-1.104537,1.42e-11
171,1,1,683.4020,19.7392,-1.104537,5.04e-12
172,1,1,683.5523,19.7392,-1.104537,5.65e-12
173,1,1,684.2318,19.7392,-1.104537,1.59e-11
174,1,1,685.1920,19.7392,-1.104537,1.84e-11
175,1,1,685.8399,19.7392,-1.104537,5.33e-12
176,1,1,686.3207,19.7392,-1.104537,1.06e-11
177,1,1,688.4902,19.7392,-1.104537,7.01e-12
178,1,1,689.1248,19.7392,-1.104537,7.33e-12
179,1,1,689.4033,19.7392,-1.104537,5.67e-12
180,1,1,689.9919,19.7392,-1.104537,7.97e-12
181,1,1,690.1712,19.7392,-1.104537,6.53e-12
182,1,1,691.6736,19.7392,-1.104537,7.66e-12
183,1,1,692.5030,19.7392,-1.104537,6.60e-12
184,1,1,692.9191,19.7392,-1.104537,5.99e-12
185,1,1,693.0325,19.7392,-1.104537,8.07e-12
186,1,1,693.3705,19.7392,-1.104537,6.36e-12
187,1,1,693.4041,19.7392,-1.104537,8.13e-12
188,1,1,693.5429,19.7392,-1.104537,8.20e-12
189,1,1,693.5911,19.7392,-1.104537,7.24e-12
190,1,1,694.0831,19.7392,-1.104537,5.56e-12
191,1,1,694.3189,19.7392,-1.104537,6.64e-12
192,1,1,694.5419,19.7392,-1.104537,7.66e-12
193,1,1,694.8653,19.7392,-1.104537,6.23e-12
194,1,1,695.1059,19.7392,-1.104537,1.05e-11
195,1,1,695.3492,19.7392,-1.104537,6.46e-12
196,1,1,695.4345,19.7392,-1.104537,6.08e-12
197,1,1,697.0262,19.7392,-1.104537,6.77e-12
198,1,1,697.5085,19.7392,-1.104537,6.21e-12
199,1,1,697.5196,19.7392,-1.104537,5.46e-12
200,1,1,699.3557,19.7392,-1.104537,7.26e-12
201,1,1,699.5782,19.7392,-1.104537,8.01e-12
202,1,1,699.6782,19.7392,-1.104537,7.58e-12
203,1,1,700.2562,19.7392,-1.104537,1.90e-11
204,1,1,700.3805,19.7392,-1.104537,6.06e-12
205,1,1,703.3398,19.7392,-1.104537,8.35e-12
206,1,1,703.4392,19.7392,-1.104537,6.43e-12
207,1,1,703.5373,19.7392,-1.104537,5.88e-12
208,1,1,705.5271,19.7392,-1.104537,6.56e-12
209,1,1,706.1475,19.7392,-1.104537,7.25e-12
210,1,1,706.2056,19.7392,-1.104537,9.57e-12
211,1,1,709.1365,19.7392,-1.104537,7.85e-12
212,1,1,709.9313,19.7392,-1.104537,6.71e-12
213,1,1,711.2755,19.7392,-1.104537,7.14e-12
214,1,1,712.0796,19.7392,-1.104537,9.06e-12
215,1,1,717.7482,19.7392,-1.104537,4.09e-12
216,1,1,718.7264,19.7392,-1.104537,7.22e-12
217,1,1,719.2148,19.7392,-1.104537,4.97e-12
218,1,1,719.3211,19.7392,-1.104537,5.17e-12
219,1,1,720.5995,19.7392,-1.104537,6.14e-12
220,1,1,721.3165,19.7392,-1.104537,1.25e-11
221,1,1,721.4608,19.7392,-1.104537,7.18e-12
222,1,1,721.5771,19.7392,-1.104537,5.29e-12
223,1,1,722.0750,19.7392,-1.104537,8.24e-12
224,1,1,728.4647,19.7392,-1.104537,1.48e-11
225,1,1,729.0947,19.7392,-1.104537,7.84e-12
226,1,1,730.3518,19.7392,-1.104537,6.78e-12
227,1,1,731.0580,19.7392,-1.104537,6.12e-12
228,1,1,734.3289,19.7392,-1.104537,4.47e-12
229,1,1,734.5340,19.7392,-1.104537,9.99e-12
230,1,1,735.8594,19.7392,-1.104537,8.36e-12
231,1,1,738.0428,19.7392,-1.104537,8.07e-12
232,1,1,738.6777,19.7392,-1.104537,4.67e-12
233,1,1,739.0306,19.7392,-1.104537,9.23e-12
234,1,1,744.0968,19.7392,-1.104537,1.51e-11
235,1,1,744.5641,19.7392,-1.104537,4.04e-12
236,1,1,745.6945,19.7392,-1.104537,6.69e-12
237,1,1,747.7842,19.7392,-1.104537,6.33e-12
238,1,1,748.0579,19.7392,-1.104537,5.77e-12
239,1,1,749.9200,19.7392,-1.104537,3.75e-12
240,1,1,749.9566,19.7392,-1.104537,8.26e-12
241,1,1,750.5198,19.7392,-1.104537,1.96e-12
242,1,1,755.1255,19.7392,-1.104537,6.42e-12
243,1,1,757.2829,19.7392,-1.104537,5.15e-12
244,1,1,758.7913,19.7392,-1.104537,6.51e-12
245,1,1,758.9108,19.7392,-1.104537,5.09e-12
246,1,1,759.6998,19.7392,-1.104537,6.85e-12
247,1,1,759.9740,19.7392,-1.104537,5.22e-12
248,1,1,765.4000,19.7392,-1.104537,3.69e-12
249,1,1,765.4882,19.7392,-1.104537,5.79e-12
250,1,1,765.9771,19.7392,-1.104537,6.69e-12
251,1,1,766.6905,19.7392,-1.104537,8.32e-12
252,1,1,770.0713,19.7392,-1.104537,4.98e-12
253,1,1,770.3565,19.7392,-1.104537,1.83e-11
254,1,1,774.6724,19.7392,-1.104537,4.75e-12
255,1,1,779.1609,19.7392,-1.104537,1.17e-11
256,1,1,779.5048,19.7392,-1.104537,3.41e-12
257,1,1,781.5632,19.7392,-1.104537,1.96e-12
258,1,1,781.7560,19.7392,-1.104537,4.24e-12
259,1,1,786.4456,19.7392,-1.104537,2.92e-12
260,1,1,792.2038,19.7392,-1.104537,8.37e-12
261,1,1,793.5910,19.7392,-1.104537,5.94e-12
262,1,1,793.6650,19.7392,-1.104537,3.51e-12
263,1,1,795.5923,19.7392,-1.104537,5.08e-12
264,1,1,797.3911,19.7392,-1.104537,5.72e-12
265,1,1,801.3020,19.7392,-1.104537,1.12e-11
266,1,1,801.6342,19.7392,-1.104537,7.11e-12
267,1,1,802.8406,19.7392,-1.104537,2.38e-12
268,1,1,802.8631,19.7392,-1.104537,3.85e-12
269,1,1,810.8758,19.7392,-1.104537,5.10e-12
