mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
107,1,1,2434.1543,19.7392,-2.428096,4.52e-09
108,1,1,2549.3283,19.7392,-2.428096,1.44e-09
109,1,1,2549.3283,19.7392,-2.428096,2.19e-09
110,1,1,2625.3265,19.7392,-2.428096,1.91e-09
111,1,1,2625.3265,19.7392,-2.428096,1.66e-09
112,1,1,2707.1881,19.7392,-2.428096,1.52e-09
113,1,1,2707.1929,19.7392,-2.428096,1.90e-09
114,1,1,2905.1590,19.7392,-2.428096,1.55e-09
115,1,1,2905.1590,19.7392,-2.428096,1.28e-09
116,1,1,2996.7346,19.7392,-2.428096,1.23e-09
117,1,1,3049.9300,19.7392,-2.428096,1.21e-09
118,1,1,3049.9300,19.7392,-2.428096,2.13e-09
119,1,1,3073.4365,19.7392,-2.428096,1.51e-09
120,1,1,3073.4384,19.7392,-2.428096,1.28e-09
121,1,1,3114.6478,19.7392,-2.428096,1.17e-09
122,1,1,3114.6478,19.7392,-2.428096,1.41e-09
123,1,1,3173.6283,19.7392,-2.428096,1.02e-09
124,1,1,3173.6447,19.7392,-2.428096,1.77e-09
125,1,1,3181.4944,19.7392,-2.428096,1.22e-09
126,1,1,3181.5040,19.7392,-2.428096,2.26e-09
127,1,1,3257.5570,19.7392,-2.428096,9.63e-10
128,1,1,3257.5570,19.7392,-2.428096,8.85e-10
129,1,1,3364.3545,19.7392,-2.428096,9.70e-10
130,1,1,3364.4315,19.7392,-2.428096,1.28e-09
131,1,1,3512.0936,19.7392,-2.428096,1.29e-09
132,1,1,3512.0936,19.7392,-2.428096,1.68e-09
133,1,1,3533.8816,19.7392,-2.428096,9.06e-10
134,1,1,3533.8816,19.7392,-2.428096,1.68e-09
135,1,1,3694.0494,19.7392,-2.428096,8.72e-10
136,1,1,3694.3295,19.7392,-2.428096,8.42e-10
137,1,1,3951.8262,19.7392,-2.428096,7.95e-10
138,1,1,3951.8262,19.7392,-2.428096,7.37e-10
139,1,1,4051.3648,19.7392,-2.428096,7.25e-10
140,1,1,4272.3715,19.7392,-2.428096,7.31e-10
141,1,1,4273.3579,19.7392,-2.428096,7.12e-10
142,1,1,4292.7940,19.7392,-2.428096,5.61e-10
143,1,1,4292.7944,19.7392,-2.428096,5.41e-10
144,1,1,4315.5857,19.7392,-2.428096,5.39e-10
145,1,1,4315.5857,19.7392,-2.428096,8.25e-10
146,1,1,4355.6737,19.7392,-2.428096,5.55e-10
147,1,1,4355.6776,19.7392,-2.428096,8.69e-10
148,1,1,4412.4236,19.7392,-2.428096,5.63e-10
149,1,1,4412.4236,19.7392,-2.428096,1.10e-09
150,1,1,4493.7009,19.7392,-2.428096,5.23e-10
151,1,1,4493.7140,19.7392,-2.428096,4.75e-10
152,1,1,4595.1752,19.7392,-2.428096,5.28e-10
153,1,1,4595.1752,19.7392,-2.428096,1.11e-09
154,1,1,4737.0453,19.7392,-2.428096,5.34e-10
155,1,1,4737.0797,19.7392,-2.428096,7.78e-10
156,1,1,4754.7104,19.7392,-2.428096,5.74e-10
157,1,1,4754.7104,19.7392,-2.428096,6.76e-10
158,1,1,4906.8306,19.7392,-2.428096,4.49e-10
159,1,1,4906.8306,19.7392,-2.428096,5.32e-10
160,1,1,5151.2788,19.7392,-2.428096,5.04e-10
161,1,1,5151.3678,19.7392,-2.428096,6.35e-10
162,1,1,5394.0271,19.7392,-2.428096,4.78e-10
163,1,1,5443.7333,19.7392,-2.428096,4.24e-10
164,1,1,5443.7333,19.7392,-2.428096,1.19e-09
165,1,1,5894.6202,19.7392,-2.428096,4.72e-10
166,1,1,5894.8945,19.7392,-2.428096,3.98e-10
167,1,1,6301.9383,19.7392,-2.428096,2.62e-10
168,1,1,6301.9383,19.7392,-2.428096,2.41e-10
169,1,1,6322.9432,19.7392,-2.428096,2.56e-10
170,1,1,6323.1451,19.7392,-2.428096,2.66e-10
171,1,1,6360.7089,19.7392,-2.428096,2.57e-10
172,1,1,6360.7089,19.7392,-2.428096,3.15e-10
173,1,1,6412.0516,19.7392,-2.428096,3.46e-10
174,1,1,6413.0055,19.7392,-2.428096,2.88e-10
175,1,1,6466.4932,19.7392,-2.428096,4.85e-10
176,1,1,6466.4932,19.7392,-2.428096,3.59e-10
177,1,1,6488.8836,19.7392,-2.428096,2.52e-10
178,1,1,6488.8837,19.7392,-2.428096,3.18e-10
179,1,1,6577.9046,19.7392,-2.428096,2.49e-10
180,1,1,6580.7362,19.7392,-2.428096,9.59e-10
181,1,1,6711.5797,19.7392,-2.428096,3.17e-10
182,1,1,6711.5797,19.7392,-2.428096,2.99e-10
183,1,1,6853.0944,19.7392,-2.428096,3.20e-10
184,1,1,6860.5774,19.7392,-2.428096,2.51e-10
185,1,1,7080.4089,19.7392,-2.428096,2.79e-10
186,1,1,7080.4089,19.7392,-2.428096,3.12e-10
187,1,1,7304.4588,19.7392,-2.428096,2.55e-10
188,1,1,7324.9083,19.7392,-2.428096,2.52e-10
189,1,1,7466.3728,19.7392,-2.428096,2.81e-10
190,1,1,7713.7782,19.7392,-2.428096,2.50e-10
191,1,1,7713.7782,19.7392,-2.428096,3.44e-10
192,1,1,8089.7622,19.7392,-2.428096,2.08e-10
193,1,1,8166.1115,19.7392,-2.428096,3.11e-10
194,1,1,8989.5217,19.7392,-2.428096,1.95e-10
195,1,1,8989.5217,19.7392,-2.428096,2.02e-10
196,1,1,9070.0545,19.7392,-2.428096,6.55e-10
197,1,1,10134.5939,19.7392,-2.428096,1.05e-10
198,1,1,10134.6739,19.7392,-2.428096,1.94e-10
199,1,1,10155.9428,19.7392,-2.428096,1.15e-10
200,1,1,10155.9428,19.7392,-2.428096,1.12e-10
201,1,1,10197.1672,19.7392,-2.428096,1.09e-10
202,1,1,10197.9540,19.7392,-2.428096,1.04e-10
203,1,1,10246.4514,19.7392,-2.428096,1.58e-10
204,1,1,10246.4514,19.7392,-2.428096,1.07e-10
205,1,1,10255.7632,19.7392,-2.428096,1.53e-10
206,1,1,10331.2056,19.7392,-2.428096,1.29e-10
207,1,1,10333.8241,19.7392,-2.428096,1.03e-10
208,1,1,10410.0409,19.7392,-2.428096,1.19e-10
209,1,1,10410.0409,19.7392,-2.428096,1.97e-10
210,1,1,10556.2782,19.7392,-2.428096,1.77e-10
211,1,1,10563.0127,19.7392,-2.428096,1.09e-10
212,1,1,10669.4188,19.7392,-2.428096,1.62e-10
213,1,1,10669.4188,19.7392,-2.428096,1.07e-10
214,1,1,10907.3352,19.7392,-2.428096,1.09e-10
215,1,1,10923.1951,19.7392,-2.428096,1.31e-10
216,1,1,11069.3103,19.7392,-2.428096,1.54e-10
217,1,1,11069.3103,19.7392,-2.428096,1.12e-10
218,1,1,11451.1975,19.7392,-2.428096,1.02e-10
219,1,1,11487.0092,19.7392,-2.428096,1.12e-10
220,1,1,11716.9783,19.7392,-2.428096,1.15e-10
221,1,1,11716.9783,19.7392,-2.428096,1.14e-10
222,1,1,12378.3255,19.7392,-2.428096,9.45e-11
223,1,1,12461.1054,19.7392,-2.428096,1.05e-10
224,1,1,12998.4221,19.7392,-2.428096,9.52e-11
225,1,1,12998.4221,19.7392,-2.428096,1.08e-10
226,1,1,14863.4633,19.7392,-2.428096,1.12e-10
227,1,1,16887.0048,19.7392,-2.428096,6.75e-11
228,1,1,16887.0048,19.7392,-2.428096,6.40e-11
229,1,1,19478.2177,19.7392,-2.428096,3.96e-11
230,1,1,20833.0327,19.7392,-2.428096,2.74e-11
231,1,1,20833.0327,19.7392,-2.428096,2.69e-11
232,1,1,20861.6826,19.7392,-2.428096,2.72e-11
233,1,1,20863.9805,19.7392,-2.428096,2.66e-11
234,1,1,20910.6235,19.7392,-2.428096,2.60e-11
235,1,1,20910.6235,19.7392,-2.428096,2.50e-11
236,1,1,20979.7358,19.7392,-2.428096,2.58e-11
237,1,1,20989.4331,19.7392,-2.428096,2.47e-11
238,1,1,21072.2949,19.7392,-2.428096,2.61e-11
239,1,1,21072.2949,19.7392,-2.428096,2.53e-11
240,1,1,21185.0482,19.7392,-2.428096,2.94e-11
241,1,1,21210.1719,19.7392,-2.428096,2.63e-11
242,1,1,21324.7049,19.7392,-2.428096,2.70e-11
243,1,1,21324.7049,19.7392,-2.428096,2.68e-11
244,1,1,21449.2623,19.7392,-2.428096,2.97e-11
245,1,1,21533.4489,19.7392,-2.428096,2.93e-11
246,1,1,21601.0861,19.7392,-2.428096,7.68e-11
247,1,1,21644.5629,19.7392,-2.428096,6.46e-11
248,1,1,21644.5629,19.7392,-2.428096,3.15e-11
249,1,1,21926.4452,19.7392,-2.428096,3.50e-11
250,1,1,21927.1402,19.7392,-2.428096,3.08e-11
251,1,1,21927.1402,19.7392,-2.428096,3.36e-11
252,1,1,21928.5767,19.7392,-2.428096,3.27e-11
253,1,1,22202.7406,19.7392,-2.428096,3.55e-11
254,1,1,22202.7406,19.7392,-2.428096,3.82e-11
255,1,1,22227.2308,19.7392,-2.428096,3.89e-11
256,1,1,22246.3885,19.7392,-2.428096,3.53e-11
257,1,1,76760.3540,19.7392,-2.428096,2.98e-12
258,1,1,76761.0711,19.7392,-2.428096,2.17e-12
259,1,1,76761.1792,19.7392,-2.428096,1.67e-12
260,1,1,76761.1971,19.7392,-2.428096,1.68e-12
261,1,1,76761.1971,19.7392,-2.428096,3.80e-12
262,1,1,76762.0756,19.7392,-2.428096,2.60e-12
263,1,1,76762.2695,19.7392,-2.428096,2.07e-12
264,1,1,76762.2695,19.7392,-2.428096,2.18e-12
265,1,1,76762.8370,19.7392,-2.428096,2.31e-12
266,1,1,76764.6219,19.7392,-2.428096,2.60e-12
267,1,1,76764.8454,19.7392,-2.428096,2.59e-12
268,1,1,76764.8454,19.7392,-2.428096,2.52e-12
269,1,1,76766.9043,19.7392,-2.428096,2.63e-12
