h,log10_h,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi
0.1,-1.0,-1.160789031847386,-2.16936261239924,-1.164735855372262
0.01,-2.0,-3.093880252352581,-2.310833974614594,-2.0855489971603167
0.001,-3.0,-2.42809642987083,-2.2471362370709267,-2.5473566213106484
0.0001,-4.0,-1.825090072959601,-1.5942383244976681,-1.4168707532106135
1.0e-5,-5.0,0.3511635402517828,-0.0024733598039646675,0.3460411848614971
