h,log10_h,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
0.1,-1.0,-1.1045373878302156,-2.1012466252118247,-1.122342567727287,0.29836994869930367
0.01,-2.0,-1.7595705235211734,-2.099279235984986,-1.6754945647824189,0.4195500589077265
0.001,-3.0,-1.7921854555459802,-2.092937535553027,-1.6847911956001524,0.4270815725381948
0.0001,-4.0,-1.049666242524712,-0.9971199365179823,-0.8129811278518446,0.42520929603400626
1.0e-5,-5.0,1.2022868528712893,0.0016830010085744935,0.044531281022615436,1.6168001438043234
