h,log10_h,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi
0.1,-1.0,-1.1110306998372257,-2.100530879562717,-1.1297393866732168
0.01,-2.0,-1.6901329363285063,-2.198845201155105,-1.7292489701828015
0.001,-3.0,-1.7107858939612168,-2.197175597747945,-1.7467455946888546
0.0001,-4.0,-1.1013832490979658,-0.838686512018707,-0.6427513384384195
1.0e-5,-5.0,0.024534369542084693,0.020491146999641677,0.2547607993899378
