mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
1,1,1,19.4439,19.7392,-1.825090,2.28e-01
2,1,1,50.0460,19.7392,-1.825090,4.66e-02
3,1,1,50.1501,19.7392,-1.825090,3.26e-02
4,1,1,79.9243,19.7392,-1.825090,1.37e-02
5,1,1,102.1567,19.7392,-1.825090,1.05e-02
6,1,1,102.1837,19.7392,-1.825090,7.58e-03
7,1,1,131.9857,19.7392,-1.825090,4.27e-03
8,1,1,131.9903,19.7392,-1.825090,4.90e-03
9,1,1,178.9976,19.7392,-1.825090,3.93e-03
10,1,1,179.0113,19.7392,-1.825090,5.26e-03
11,1,1,183.8539,19.7392,-1.825090,3.26e-03
12,1,1,208.4807,19.7392,-1.825090,2.03e-03
13,1,1,208.5123,19.7392,-1.825090,4.63e-03
14,1,1,259.8633,19.7392,-1.825090,1.03e-03
15,1,1,259.8871,19.7392,-1.825090,1.04e-03
16,1,1,285.1300,19.7392,-1.825090,8.05e-04
17,1,1,285.1362,19.7392,-1.825090,1.07e-03
18,1,1,314.4327,19.7392,-1.825090,7.00e-04
19,1,1,314.4451,19.7392,-1.825090,7.12e-04
20,1,1,335.0669,19.7392,-1.825090,8.58e-04
21,1,1,365.4714,19.7392,-1.825090,5.99e-04
22,1,1,365.4790,19.7392,-1.825090,5.81e-04
23,1,1,426.7902,19.7392,-1.825090,9.30e-04
24,1,1,426.8042,19.7392,-1.825090,4.02e-04
25,1,1,439.9573,19.7392,-1.825090,4.03e-04
26,1,1,439.9674,19.7392,-1.825090,5.29e-04
27,1,1,455.5313,19.7392,-1.825090,5.05e-04
28,1,1,455.5479,19.7392,-1.825090,3.47e-04
29,1,1,505.7046,19.7392,-1.825090,3.62e-04
30,1,1,505.7104,19.7392,-1.825090,5.49e-04
31,1,1,544.0382,19.7392,-1.825090,3.39e-04
32,1,1,578.8364,19.7392,-1.825090,2.80e-04
33,1,1,578.8486,19.7392,-1.825090,2.24e-04
34,1,1,613.6744,19.7392,-1.825090,1.94e-04
35,1,1,613.6830,19.7392,-1.825090,1.91e-04
36,1,1,642.1250,19.7392,-1.825090,2.04e-04
37,1,1,642.1264,19.7392,-1.825090,3.36e-04
38,1,1,681.3904,19.7392,-1.825090,1.95e-04
39,1,1,681.3956,19.7392,-1.825090,1.73e-04
40,1,1,691.7123,19.7392,-1.825090,1.55e-04
41,1,1,691.7167,19.7392,-1.825090,1.93e-04
42,1,1,763.8154,19.7392,-1.825090,1.33e-04
43,1,1,763.8221,19.7392,-1.825090,3.29e-04
44,1,1,816.4320,19.7392,-1.825090,1.22e-04
45,1,1,859.2179,19.7392,-1.825090,1.12e-04
46,1,1,859.2393,19.7392,-1.825090,1.04e-04
