mode_rank,matched_m,matched_n,Omega_exact,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct
1,1,1,19.7392,99.983553,0.008223,0.008223
2,1,2,49.3480,99.958894,0.008221,0.032885
3,2,1,49.3480,99.958894,0.032885,0.008221
4,2,2,78.9568,99.934246,0.032877,0.032877
5,1,3,98.6960,99.917821,0.008218,0.073961
6,3,1,98.6960,99.917821,0.073961,0.008218
7,2,3,128.3049,99.893193,0.032864,0.073943
8,3,2,128.3049,99.893193,0.073943,0.032864
9,1,4,167.7833,99.860376,0.008213,0.131411
10,4,1,167.7833,99.860376,0.131411,0.008213
11,3,3,177.6529,99.852175,0.073913,0.073913
12,2,4,197.3921,99.835777,0.032845,0.131379
13,4,2,197.3921,99.835777,0.131379,0.032845
14,3,4,246.7401,99.794805,0.073870,0.131325
15,4,3,246.7401,99.794805,0.131325,0.073870
16,1,5,256.6097,99.786615,0.008207,0.205178
17,5,1,256.6097,99.786615,0.205178,0.008207
18,2,5,286.2185,99.762052,0.032820,0.205127
19,5,2,286.2185,99.762052,0.205127,0.032820
20,4,4,315.8273,99.737501,0.131249,0.131249
21,3,5,335.5665,99.721141,0.073816,0.205043
22,5,3,335.5665,99.721141,0.205043,0.073816
23,1,6,365.1754,99.696610,0.008200,0.295190
24,6,1,365.1754,99.696610,0.295190,0.008200
25,2,6,394.7842,99.672092,0.032791,0.295117
26,6,2,394.7842,99.672092,0.295117,0.032791
27,4,5,404.6538,99.663922,0.131152,0.204926
28,5,4,404.6538,99.663922,0.204926,0.131152
29,3,6,444.1322,99.631255,0.073749,0.294996
30,6,3,444.1322,99.631255,0.294996,0.073749
31,1,7,493.4802,99.590451,0.008191,0.401358
32,7,1,493.4802,99.590451,0.401358,0.008191
33,5,5,493.4802,99.590451,0.204775,0.204775
34,4,6,513.2194,99.574138,0.131034,0.294827
35,6,4,513.2194,99.574138,0.294827,0.131034
36,2,7,523.0890,99.565984,0.032756,0.401260
37,7,2,523.0890,99.565984,0.401260,0.032756
38,3,7,572.4371,99.525234,0.073671,0.401095
39,7,3,572.4371,99.525234,0.401095,0.073671
40,5,6,602.0459,99.500800,0.204590,0.294610
41,6,5,602.0459,99.500800,0.294610,0.204590
42,1,8,641.5243,99.468239,0.008181,0.523580
43,8,1,641.5243,99.468239,0.523580,0.008181
44,4,7,641.5243,99.468239,0.130895,0.400866
45,7,4,641.5243,99.468239,0.400866,0.130895
46,2,8,671.1331,99.443833,0.032716,0.523451
47,8,2,671.1331,99.443833,0.523451,0.032716
48,6,6,710.6115,99.411310,0.294345,0.294345
49,3,8,720.4811,99.403182,0.073580,0.523237
50,8,3,720.4811,99.403182,0.523237,0.073580
51,5,7,730.3507,99.395056,0.204373,0.400571
52,7,5,730.3507,99.395056,0.400571,0.204373
53,4,8,789.5684,99.346327,0.130735,0.522938
54,8,4,789.5684,99.346327,0.522938,0.130735
55,1,9,809.3076,99.330095,0.008170,0.661735
56,9,1,809.3076,99.330095,0.661735,0.008170
57,2,9,838.9164,99.305756,0.032670,0.661573
58,9,2,838.9164,99.305756,0.661573,0.032670
59,6,7,838.9164,99.305756,0.294033,0.400211
60,7,6,838.9164,99.305756,0.400211,0.294033
61,5,8,878.3948,99.273324,0.204123,0.522554
62,8,5,878.3948,99.273324,0.522554,0.204123
63,3,9,888.2644,99.265219,0.073478,0.661303
64,9,3,888.2644,99.265219,0.661303,0.073478
65,4,9,957.3516,99.208521,0.130553,0.660925
66,9,4,957.3516,99.208521,0.660925,0.130553
67,7,7,967.2212,99.200427,0.399786,0.399786
68,6,8,986.9604,99.184242,0.293673,0.522085
69,8,6,986.9604,99.184242,0.522085,0.293673
70,1,10,996.8300,99.176152,0.008157,0.815691
71,10,1,996.8300,99.176152,0.815691,0.008157
72,2,10,1026.4389,99.151889,0.032620,0.815492
73,10,2,1026.4389,99.151889,0.815492,0.032620
74,5,9,1046.1781,99.135720,0.203840,0.660440
75,9,5,1046.1781,99.135720,0.660440,0.203840
76,3,10,1075.7869,99.111476,0.073364,0.815159
77,10,3,1075.7869,99.111476,0.815159,0.073364
78,7,8,1115.2653,99.079170,0.399298,0.521532
79,8,7,1115.2653,99.079170,0.521532,0.399298
80,4,10,1144.8741,99.054955,0.130351,0.814694
81,10,4,1144.8741,99.054955,0.814694,0.130351
82,6,9,1154.7437,99.046885,0.293266,0.659849
83,9,6,1154.7437,99.046885,0.659849,0.293266
84,1,11,1204.0917,99.006559,0.008143,0.985299
85,11,1,1204.0917,99.006559,0.985299,0.008143
86,2,11,1233.7006,98.982378,0.032564,0.985058
87,11,2,1233.7006,98.982378,0.985058,0.032564
88,5,10,1233.7006,98.982378,0.203524,0.814097
89,10,5,1233.7006,98.982378,0.814097,0.203524
90,8,8,1263.3094,98.958210,0.520895,0.520895
91,3,11,1283.0486,98.942104,0.073239,0.984657
92,11,3,1283.0486,98.942104,0.984657,0.073239
93,7,9,1283.0486,98.942104,0.398745,0.659151
94,9,7,1283.0486,98.942104,0.659151,0.398745
95,6,10,1342.2662,98.893818,0.292813,0.813369
96,10,6,1342.2662,98.893818,0.813369,0.292813
97,4,11,1352.1358,98.885775,0.130128,0.984097
98,11,4,1352.1358,98.885775,0.984097,0.130128
99,1,12,1431.0926,98.821478,0.008128,1.170395
100,12,1,1431.0926,98.821478,1.170395,0.008128
101,8,9,1431.0926,98.821478,0.520175,0.658347
102,9,8,1431.0926,98.821478,0.658347,0.520175
103,5,11,1440.9622,98.813446,0.203177,0.983377
104,11,5,1440.9622,98.813446,0.983377,0.203177
105,2,12,1460.7015,98.797388,0.032503,1.170109
106,12,2,1460.7015,98.797388,1.170109,0.032503
107,7,10,1470.5711,98.789360,0.398130,0.812510
108,10,7,1470.5711,98.789360,0.812510,0.398130
109,3,12,1510.0495,98.757264,0.073102,1.169634
110,12,3,1510.0495,98.757264,1.169634,0.073102
111,6,11,1549.5279,98.725188,0.292314,0.982498
112,11,6,1549.5279,98.725188,0.982498,0.292314
113,4,12,1579.1367,98.701145,0.129886,1.168970
114,12,4,1579.1367,98.701145,1.168970,0.129886
115,9,9,1598.8759,98.685123,0.657439,0.657439
116,8,10,1618.6151,98.669106,0.519373,0.811521
117,10,8,1618.6151,98.669106,0.811521,0.519373
118,5,12,1667.9631,98.629086,0.202798,1.168116
119,12,5,1667.9631,98.629086,1.168116,0.202798
120,1,13,1677.8327,98.621086,0.008111,1.370803
121,13,1,1677.8327,98.621086,1.370803,0.008111
122,7,11,1677.8327,98.621086,0.397452,0.981462
123,11,7,1677.8327,98.621086,0.981462,0.397452
124,2,13,1707.4416,98.597094,0.032437,1.370469
125,13,2,1707.4416,98.597094,1.370469,0.032437
126,3,13,1756.7896,98.557132,0.072954,1.369914
127,13,3,1756.7896,98.557132,1.369914,0.072954
128,6,12,1776.5288,98.541157,0.291769,1.167075
129,12,6,1776.5288,98.541157,1.167075,0.291769
130,9,10,1786.3984,98.533171,0.656426,0.810403
131,10,9,1786.3984,98.533171,0.810403,0.656426
132,4,13,1825.8768,98.501241,0.129622,1.369137
133,13,4,1825.8768,98.501241,1.369137,0.129622
134,8,11,1825.8768,98.501241,0.518490,0.980270
135,11,8,1825.8768,98.501241,0.980270,0.518490
136,7,12,1904.8336,98.437442,0.396712,1.165846
137,12,7,1904.8336,98.437442,1.165846,0.396712
138,5,13,1914.7033,98.429473,0.202387,1.368139
139,13,5,1914.7033,98.429473,1.368139,0.202387
140,1,14,1944.3121,98.405574,0.008094,1.586333
141,14,1,1944.3121,98.405574,1.586333,0.008094
142,2,14,1973.9209,98.381686,0.032366,1.585948
143,14,2,1973.9209,98.381686,1.585948,0.032366
144,10,10,1973.9209,98.381686,0.809157,0.809157
145,9,11,1993.6601,98.365767,0.655311,0.978921
146,11,9,1993.6601,98.365767,0.978921,0.655311
147,3,14,2023.2689,98.341899,0.072795,1.585306
148,14,3,2023.2689,98.341899,1.585306,0.072795
149,6,13,2023.2689,98.341899,0.291179,1.366922
150,13,6,2023.2689,98.341899,1.366922,0.291179
151,8,12,2052.8777,98.318042,0.517525,1.164432
152,12,8,2052.8777,98.318042,1.164432,0.517525
153,4,14,2092.3561,98.286251,0.129340,1.584409
154,14,4,2092.3561,98.286251,1.584409,0.129340
155,7,13,2151.5738,98.238603,0.395910,1.365486
156,13,7,2151.5738,98.238603,1.365486,0.395910
157,5,14,2181.1826,98.214797,0.201946,1.583257
158,14,5,2181.1826,98.214797,1.583257,0.201946
159,10,11,2181.1826,98.214797,0.807784,0.977419
160,11,10,2181.1826,98.214797,0.977419,0.807784
161,9,12,2220.6610,98.183072,0.654094,1.162834
162,12,9,2220.6610,98.183072,1.162834,0.654094
163,1,15,2230.5306,98.175144,0.008075,1.816781
164,15,1,2230.5306,98.175144,1.816781,0.008075
165,2,15,2260.1394,98.151369,0.032291,1.816341
166,15,2,2260.1394,98.151369,1.816341,0.032291
167,6,14,2289.7482,98.127604,0.290544,1.581852
168,14,6,2289.7482,98.127604,1.581852,0.290544
169,8,13,2299.6178,98.119685,0.516481,1.363833
170,13,8,2299.6178,98.119685,1.363833,0.516481
171,3,15,2309.4874,98.111768,0.072624,1.815608
172,15,3,2309.4874,98.111768,1.815608,0.072624
173,4,15,2378.5747,98.056380,0.129037,1.814583
174,15,4,2378.5747,98.056380,1.814583,0.129037
175,11,11,2388.4443,98.048472,0.975764,0.975764
176,10,12,2408.1835,98.032661,0.806286,1.161052
177,12,10,2408.1835,98.032661,1.161052,0.806286
178,7,14,2418.0531,98.024758,0.395048,1.580194
179,14,7,2418.0531,98.024758,1.580194,0.395048
180,5,15,2467.4011,97.985259,0.201474,1.813267
181,15,5,2467.4011,97.985259,1.813267,0.201474
182,9,13,2467.4011,97.985259,0.652776,1.361965
183,13,9,2467.4011,97.985259,1.361965,0.652776
184,1,16,2536.4883,97.930014,0.008054,2.061932
185,16,1,2536.4883,97.930014,2.061932,0.008054
186,2,16,2566.0971,97.906356,0.032210,2.061434
187,16,2,2566.0971,97.906356,2.061434,0.032210
188,8,14,2566.0971,97.906356,0.515358,1.578285
189,14,8,2566.0971,97.906356,1.578285,0.515358
190,6,15,2575.9667,97.898473,0.289866,1.811661
191,15,6,2575.9667,97.898473,1.811661,0.289866
192,3,16,2615.4452,97.866953,0.072443,2.060604
193,16,3,2615.4452,97.866953,2.060604,0.072443
194,11,12,2615.4452,97.866953,0.973957,1.159090
195,12,11,2615.4452,97.866953,1.159090,0.973957
196,10,13,2654.9236,97.835453,0.804664,1.359883
197,13,10,2654.9236,97.835453,1.359883,0.804664
198,4,16,2684.5324,97.811841,0.128715,2.059444
199,16,4,2684.5324,97.811841,2.059444,0.128715
200,7,15,2704.2716,97.796106,0.394127,1.809767
201,15,7,2704.2716,97.796106,1.809767,0.394127
202,9,14,2733.8804,97.772514,0.651359,1.576128
203,14,9,2733.8804,97.772514,1.576128,0.651359
204,5,16,2773.3588,97.741074,0.200972,2.057954
205,16,5,2773.3588,97.741074,2.057954,0.200972
206,12,12,2842.4461,97.686104,1.156948,1.156948
207,8,15,2852.3157,97.678256,0.514158,1.807586
208,15,8,2852.3157,97.678256,1.807586,0.514158
209,1,17,2862.1853,97.670410,0.008033,2.321557
210,17,1,2862.1853,97.670410,2.321557,0.008033
211,11,13,2862.1853,97.670410,0.972001,1.357589
212,13,11,2862.1853,97.670410,1.357589,0.972001
213,6,16,2881.9245,97.654721,0.289144,2.056135
214,16,6,2881.9245,97.654721,2.056135,0.289144
215,2,17,2891.7941,97.646878,0.032125,2.320998
216,17,2,2891.7941,97.646878,2.320998,0.032125
217,10,14,2921.4029,97.623357,0.802920,1.573723
218,14,10,2921.4029,97.623357,1.573723,0.802920
219,3,17,2941.1421,97.607683,0.072251,2.320066
220,17,3,2941.1421,97.607683,2.320066,0.072251
221,4,17,3010.2293,97.552863,0.128374,2.318763
222,17,4,3010.2293,97.552863,2.318763,0.128374
