mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
1,1,1,19.3363,19.7392,-1.690133,4.38e-09
2,1,1,48.4341,19.7392,-1.690133,8.42e-10
3,1,1,48.6704,19.7392,-1.690133,8.57e-10
4,1,1,76.5401,19.7392,-1.690133,3.28e-10
5,1,1,97.4402,19.7392,-1.690133,2.55e-10
6,1,1,97.5086,19.7392,-1.690133,1.87e-10
7,1,1,123.1122,19.7392,-1.690133,1.42e-10
8,1,1,125.0026,19.7392,-1.690133,1.32e-10
9,1,1,165.6831,19.7392,-1.690133,6.86e-11
10,1,1,165.8860,19.7392,-1.690133,6.87e-11
11,1,1,169.0473,19.7392,-1.690133,6.93e-11
12,1,1,190.4833,19.7392,-1.690133,6.77e-11
13,1,1,191.1448,19.7392,-1.690133,5.94e-11
14,1,1,229.0424,19.7392,-1.690133,4.12e-11
15,1,1,236.2498,19.7392,-1.690133,4.30e-11
16,1,1,252.7612,19.7392,-1.690133,4.35e-11
17,1,1,253.0498,19.7392,-1.690133,5.40e-11
18,1,1,253.2363,19.7392,-1.690133,8.11e-11
19,1,1,253.5482,19.7392,-1.690133,4.06e-11
20,1,1,275.7495,19.7392,-1.690133,2.54e-11
21,1,1,276.7920,19.7392,-1.690133,2.74e-11
22,1,1,289.6827,19.7392,-1.690133,2.26e-11
23,1,1,304.7179,19.7392,-1.690133,4.91e-11
24,1,1,304.9476,19.7392,-1.690133,1.22e-10
25,1,1,313.1986,19.7392,-1.690133,3.62e-11
26,1,1,316.7979,19.7392,-1.690133,2.31e-11
27,1,1,330.4790,19.7392,-1.690133,4.30e-11
28,1,1,331.5591,19.7392,-1.690133,3.40e-11
29,1,1,356.9167,19.7392,-1.690133,2.33e-11
30,1,1,357.2198,19.7392,-1.690133,1.86e-11
31,1,1,358.6457,19.7392,-1.690133,1.87e-11
32,1,1,363.1764,19.7392,-1.690133,4.11e-11
33,1,1,364.0701,19.7392,-1.690133,3.11e-11
34,1,1,373.7012,19.7392,-1.690133,1.81e-11
35,1,1,377.9287,19.7392,-1.690133,2.04e-11
36,1,1,378.0258,19.7392,-1.690133,2.30e-11
37,1,1,383.5094,19.7392,-1.690133,2.79e-11
38,1,1,387.9649,19.7392,-1.690133,5.05e-11
39,1,1,408.6344,19.7392,-1.690133,2.01e-11
40,1,1,410.4212,19.7392,-1.690133,1.46e-11
41,1,1,411.1235,19.7392,-1.690133,2.47e-11
42,1,1,419.0094,19.7392,-1.690133,1.32e-11
43,1,1,424.6192,19.7392,-1.690133,1.65e-11
44,1,1,428.0332,19.7392,-1.690133,2.01e-11
45,1,1,433.2395,19.7392,-1.690133,1.31e-11
46,1,1,437.2784,19.7392,-1.690133,2.64e-11
47,1,1,440.0537,19.7392,-1.690133,2.53e-11
48,1,1,442.7836,19.7392,-1.690133,1.98e-11
49,1,1,456.5537,19.7392,-1.690133,1.29e-11
50,1,1,461.8563,19.7392,-1.690133,1.51e-11
51,1,1,466.2076,19.7392,-1.690133,2.57e-11
52,1,1,472.5745,19.7392,-1.690133,1.30e-11
53,1,1,479.0978,19.7392,-1.690133,2.30e-11
54,1,1,479.6106,19.7392,-1.690133,1.10e-11
55,1,1,479.6245,19.7392,-1.690133,1.46e-11
56,1,1,481.2340,19.7392,-1.690133,1.18e-11
57,1,1,492.3522,19.7392,-1.690133,1.11e-11
