case,metric_value
Table 10.2 (eig_rel_error mean),2670141.4669767236
Table 10.3 (eig_rel_error mean),5.870266168137411
Table 10.4 (eig_rel_error mean),2.5754276567853958
Table 10.5 (load_rel_error mean),0.25069291286229206
