mode,h_over_L,formula,fem,field_l2_w_pct,field_l2_phi_pct,eig_rel_error_pct
1,0.002,3.1415808271267354,3.1427936865232446,0.023005536522817362,0.02300553652292855,0.03860665897998085
2,0.002,6.283100186904726,6.292805254556107,0.0922248729980255,0.09222487299802891,0.15446304153495818
5,0.002,15.70663294741315,15.859571135355024,0.5853058154588803,0.5853058154588774,0.9737172088627877
10,0.002,31.405292700958768,32.66723524056134,2.4701554764919287,2.4701554764919327,4.018247980105742
15,0.002,47.08804960941102,51.58157229282354,6.05514983154447,6.055149831544479,9.542809100580032
1,0.01,3.141326588253002,3.142537899248827,0.023005536522801708,0.02300553652280383,0.03856049225681983
2,0.01,6.281058539991785,6.290752065951255,0.0922248729980026,0.09222487299800164,0.1543294955420355
5,0.01,15.674921970128066,15.826716069859648,0.5853058154588783,0.585305815458878,0.9683882319851936
10,0.01,31.156824669513888,32.380556516300864,2.47015547649193,2.4701554764919327,3.927652640367952
15,0.01,46.27685844678084,50.45664622228931,6.05514983154447,6.055149831544475,9.032133804664573
1,0.1,3.115682466951486,3.1168581876872836,0.023005536522801778,0.02300553652280414,0.037735576339010264
2,0.1,6.090661610013864,6.099348136375412,0.09222487299800187,0.09222487299800138,0.14262040674310789
5,0.1,13.613165881865918,13.708907225473872,0.5853058154588786,0.585305815458878,0.7032996177288323
10,0.1,22.444080777807738,22.911673924823468,2.47015547649193,2.4701554764919322,2.0833695603077538
15,0.1,28.843705383979817,26.877868113517795,141.42135623730715,141.421356237309,6.815481035782156
