mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,326,2.014855e+06,11.146456,5.904168e+00,2.470853e+01,2.211791e+01
2,327,2.318080e+06,12.823937,8.959770e-01,6.147473e+00,3.017989e+00
3,328,3.806379e+06,21.057410,1.192619e+00,7.195248e+00,3.943505e+00
4,329,5.117285e+06,28.309522,8.352544e-01,5.734919e+00,5.157527e+00
5,330,5.209984e+06,28.822342,5.657739e-01,6.413876e+00,2.569945e+00
6,331,5.426726e+06,30.021391,5.765567e-01,5.451392e+00,3.693150e+00
7,332,7.196826e+06,39.813823,5.969284e-01,6.317609e+00,2.998755e+00
8,333,7.601363e+06,42.051776,5.686337e-01,6.423186e+00,2.770388e+00
9,334,8.051733e+06,44.543285,8.764606e-01,5.243406e+00,5.683076e+00
10,335,9.450486e+06,52.281382,6.021950e-01,6.758319e+00,3.328154e+00
11,336,9.576851e+06,52.980449,5.392586e-01,5.540201e+00,4.847920e+00
12,337,9.983271e+06,55.228822,5.325797e-01,5.194966e+00,4.562158e+00
13,338,1.045493e+07,57.838110,9.274133e-01,5.669972e+00,6.096589e+00
14,339,1.083454e+07,59.938139,4.119080e-01,6.320654e+00,2.893624e+00
15,340,1.165171e+07,64.458875,6.799187e-01,5.447498e+00,5.378345e+00
16,341,1.188651e+07,65.757779,3.881119e-01,6.082227e+00,2.738938e+00
17,342,1.196417e+07,66.187404,3.215136e-01,5.051955e+00,3.290189e+00
18,343,1.196454e+07,66.189471,2.840600e-01,4.497955e+00,2.936672e+00
19,344,1.251799e+07,69.251228,3.470712e-01,5.876656e+00,2.335897e+00
20,345,1.274885e+07,70.528363,5.877028e-01,6.223543e+00,4.595137e+00
