mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,344,1.316441e+08,7.282734,4.243219e+00,2.317432e+01,1.529827e+01
2,345,1.318908e+08,7.296380,8.878211e-01,4.878515e+00,3.175428e+00
3,346,1.724453e+08,9.539907,6.214741e-01,4.728304e+00,2.007276e+00
4,347,1.737410e+08,9.611590,6.702123e-01,5.110469e+00,2.202289e+00
5,348,1.877448e+08,10.386297,6.177352e-01,5.912381e+00,5.631852e-01
6,349,1.937388e+08,10.717897,1.197500e+00,5.502026e+00,4.225392e+00
7,350,1.983298e+08,10.971876,1.438772e+00,6.006357e+00,5.130045e+00
8,351,2.012741e+08,11.134756,6.739345e-01,5.606543e+00,2.355868e+00
9,352,2.297254e+08,12.708724,5.965543e-01,4.500163e+00,2.732111e+00
10,353,2.304444e+08,12.748498,8.404802e-01,6.121091e+00,3.011504e+00
11,354,2.672826e+08,14.786438,5.702465e-01,4.114041e+00,3.030392e+00
12,355,3.118682e+08,17.252977,5.667514e-01,4.055620e+00,3.298765e+00
13,356,3.670148e+08,20.303760,5.767034e-01,4.228721e+00,3.659285e+00
14,357,3.811619e+08,21.086399,1.108952e+00,7.350322e+00,3.931005e+00
15,358,4.393129e+08,24.303388,5.391888e-01,4.132418e+00,3.852596e+00
16,359,4.887213e+08,27.036732,5.127027e-01,5.070346e+00,3.664185e+00
17,360,4.975831e+08,27.526976,5.640476e-01,5.402340e+00,3.953428e+00
18,361,5.020317e+08,27.773079,6.934299e-01,5.554965e+00,4.891934e+00
19,362,5.147571e+08,28.477066,5.540816e-01,6.420892e+00,2.597271e+00
20,363,5.353987e+08,29.618990,5.142770e-01,5.082914e+00,3.407129e+00
