mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,361,1.453089e+04,8.038686,4.171963e+00,2.509421e+01,1.666330e+01
2,362,1.454433e+04,8.046124,7.953923e-01,4.809673e+00,3.148983e+00
3,363,1.888599e+04,10.447990,5.553783e-01,4.616218e+00,1.983441e+00
4,364,1.901670e+04,10.520300,6.093613e-01,5.133906e+00,2.172819e+00
5,365,1.991740e+04,11.018577,1.748820e+00,7.114301e+00,6.341785e+00
6,366,2.035323e+04,11.259686,5.094068e-01,5.301844e+00,5.327386e-01
7,367,2.122541e+04,11.742189,6.977697e-01,5.257670e+00,2.134523e+00
8,368,2.213631e+04,12.246107,5.957219e-01,5.294475e+00,2.408665e+00
9,369,2.343438e+04,12.964221,8.234918e-01,6.059087e+00,2.978879e+00
10,370,2.561842e+04,14.172462,5.175296e-01,4.330915e+00,2.703564e+00
11,371,2.994422e+04,16.565552,5.051770e-01,4.018258e+00,3.031105e+00
12,372,3.492640e+04,19.321759,5.043727e-01,3.993929e+00,3.279595e+00
13,373,3.884852e+04,21.491535,1.064630e+00,7.170539e+00,3.812705e+00
14,374,4.113475e+04,22.756304,5.074293e-01,4.142331e+00,3.601094e+00
15,375,4.920256e+04,27.219526,4.841917e-01,4.120688e+00,3.841254e+00
16,376,5.091418e+04,28.166422,6.965927e-01,5.567832e+00,4.981654e+00
17,377,5.258893e+04,29.092914,5.252411e-01,6.005259e+00,2.725272e+00
18,378,5.377176e+04,29.747274,3.889372e-01,4.362729e+00,2.989131e+00
19,379,5.456016e+04,30.183423,5.141069e-01,5.205610e+00,3.381113e+00
20,380,5.467876e+04,30.249037,4.405583e-01,5.124778e+00,3.378759e+00
