mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,365,7.017498e+09,3.882176,3.821342e+00,6.285890e+00,2.798847e+00
2,364,6.980550e+09,3.861736,3.011807e+00,5.051209e+00,2.225926e+00
3,366,7.517572e+09,4.158823,4.437429e+00,3.402860e+00,4.160486e+00
4,363,6.371829e+09,3.524983,4.913072e+00,4.011379e+00,4.329761e+00
5,367,8.311833e+09,4.598220,2.526667e+00,5.129878e+00,1.737458e+00
6,368,8.336704e+09,4.611979,3.440271e+00,6.544031e+00,2.643062e+00
7,362,5.611746e+09,3.104495,5.468151e+00,5.878378e+00,4.365456e+00
8,369,8.849652e+09,4.895748,4.768510e+00,3.702048e+00,4.929634e+00
9,361,5.414063e+09,2.995134,3.895073e+00,4.858334e+00,3.074970e+00
10,370,9.110000e+09,5.039777,2.535087e+00,5.558916e+00,1.717983e+00
11,371,9.155897e+09,5.065167,2.474371e+00,6.151086e+00,1.011360e+00
12,360,5.218183e+09,2.886770,5.390787e+00,5.250214e+00,4.462868e+00
13,359,5.056950e+09,2.797574,7.790569e+00,6.749719e+00,6.814255e+00
14,372,9.691229e+09,5.361320,2.712992e+00,4.751148e+00,2.839529e+00
15,358,4.553887e+09,2.519272,4.780096e+00,3.623054e+00,3.769376e+00
16,373,1.041333e+10,5.760797,4.411951e+00,4.181304e+00,5.019339e+00
17,374,1.048080e+10,5.798121,3.945674e+00,5.970675e+00,4.188012e+00
18,375,1.053732e+10,5.829388,3.913550e+00,6.205428e+00,4.368039e+00
19,357,3.887469e+09,2.150601,5.327927e+00,3.986458e+00,3.825743e+00
20,356,3.329348e+09,1.841841,5.322779e+00,4.009757e+00,3.471469e+00
