mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,323,2.033591e+04,11.250105,5.875469e+00,2.470037e+01,2.210142e+01
2,324,2.343860e+04,12.966553,8.863938e-01,6.111057e+00,3.001837e+00
3,325,3.845869e+04,21.275872,1.169632e+00,7.079072e+00,3.872244e+00
4,326,5.172262e+04,28.613659,8.233414e-01,5.698355e+00,5.116251e+00
5,327,5.264706e+04,29.125073,5.627790e-01,6.348135e+00,2.586959e+00
6,328,5.482092e+04,30.327679,5.658863e-01,5.398607e+00,3.619094e+00
7,329,7.267223e+04,40.203273,5.938599e-01,6.258042e+00,3.003313e+00
8,330,7.691865e+04,42.552447,5.647844e-01,6.392135e+00,2.707462e+00
9,331,8.143020e+04,45.048297,8.763833e-01,5.227916e+00,5.716329e+00
10,332,9.561084e+04,52.893225,6.156225e-01,6.639096e+00,3.455016e+00
11,333,9.646299e+04,53.364644,5.343627e-01,5.502799e+00,4.819798e+00
12,334,1.004028e+05,55.544178,5.262720e-01,5.171025e+00,4.486577e+00
13,335,1.054936e+05,58.360528,9.063208e-01,5.652133e+00,5.977168e+00
14,336,1.094519e+05,60.550264,4.225084e-01,6.500250e+00,3.013564e+00
15,337,1.176410e+05,65.080609,6.584543e-01,5.325748e+00,5.226630e+00
16,338,1.197689e+05,66.257816,3.854047e-01,6.056748e+00,2.814198e+00
17,339,1.204893e+05,66.656341,3.197591e-01,5.048888e+00,3.254285e+00
18,340,1.206884e+05,66.766458,2.914402e-01,4.616653e+00,2.982572e+00
19,341,1.267339e+05,70.110899,3.553993e-01,6.059601e+00,2.263361e+00
20,342,1.283819e+05,71.022609,5.885800e-01,6.226625e+00,4.698753e+00
