ndiv,h,log10_h,lambda_cr,k_num,relative_error_k,log10_Error_L2_w,log10_Error_L2_phi
17.0,0.1,-1.0,1.5877047616778774e10,8.783399664736695,1.1958499161841738,-0.3655687842093495,-0.1942653358922972
17.0,0.01,-2.0,2.0047574058965483e8,11.090591873152475,1.7726479682881187,-0.3876970783639847,-0.19456299783274494
17.0,0.001,-3.0,2.0148554912588086e6,11.146455861046315,1.7866139652615787,-0.386225307814062,-0.19300458322469236
17.0,0.0001,-4.0,20335.913586590446,11.250105239327368,1.812526309831842,-0.381963441103484,-0.18956675129356435
17.0,1.0e-5,-5.0,204.56791439076702,11.316976518839045,1.8292441297097612,-0.3794187732586461,-0.18766372688964916
