ndiv,h,log10_h,lambda_cr,k_num,relative_error_k,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
17.0,0.1,-1.0,7.017498018427326e9,3.882175781674097,0.02945605458147571,0.008537424201801454,0.0016772132671304786,14.735942920503351
17.0,0.01,-2.0,1.3164414938095045e8,7.282734205037177,0.8206835512592943,0.009451297450183874,0.02119306251895158,12.39727694738811
17.0,0.001,-3.0,1.451262288902361e6,8.028581263634328,1.007145315908582,0.008371070626176083,0.02409586437852814,9.459164964451025
17.0,0.0001,-4.0,14530.88783444476,8.038685680989543,1.0096714202473858,0.008337066298905344,0.024114467676338614,6.542218496710809
17.0,1.0e-5,-5.0,145.3120931604502,8.038863529003107,1.0097158822507768,0.008244952540110838,0.024020129653714428,3.979283674018981
