node_id,x,y,w1,φx1,φy1,w2,φx2,φy2,w3,φx3,φy3,w4,φx4,φy4,w5,φx5,φy5,w6,φx6,φy6,w7,φx7,φy7,w8,φx8,φy8,w9,φx9,φy9,w10,φx10,φy10,w11,φx11,φy11,w12,φx12,φy12,w13,φx13,φy13,w14,φx14,φy14,w15,φx15,φy15,w16,φx16,φy16,w17,φx17,φy17,w18,φx18,φy18,w19,φx19,φy19,w20,φx20,φy20,w21,φx21,φy21,w22,φx22,φy22,w23,φx23,φy23,w24,φx24,φy24,w25,φx25,φy25
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,-0.0,3.8473413874435795e-16,0.0,-0.0,7.694682774887159e-16,-0.0,0.0,-7.694682774887159e-16,-0.0,0.0,-1.5389365549774318e-15,0.0,-0.0,1.1542024162330739e-15,0.0,-0.0,1.1542024162330739e-15,-0.0,0.0,-2.3084048324661477e-15,0.0,-0.0,2.3084048324661477e-15,0.0,-0.0,1.5389365549774318e-15,-0.0,0.0,-1.5389365549774318e-15,0.0,-0.0,3.4626072486992214e-15,-0.0,0.0,-3.0778731099548636e-15,-0.0,0.0,-3.0778731099548636e-15,0.0,-0.0,4.6168096649322955e-15,-0.0,0.0,-4.6168096649322955e-15,0.0,-0.0,1.92367069372179e-15,0.0,-0.0,1.92367069372179e-15,-0.0,0.0,-3.84734138744358e-15,0.0,-0.0,3.84734138744358e-15,-0.0,0.0,-6.155746219909727e-15,0.0,-0.0,5.7710120811653695e-15,0.0,-0.0,2.3084048324661477e-15,-0.0,0.0,-2.3084048324661477e-15,-0.0,0.0,-4.6168096649322955e-15,0.0,-0.0,2.693138971210506e-15
3,1.0,1.0,1.4997597826618576e-32,-3.8473413874435795e-16,-3.8473413874435795e-16,-2.999519565323715e-32,7.694682774887159e-16,7.694682774887159e-16,-2.999519565323715e-32,7.694682774887159e-16,7.694682774887159e-16,5.99903913064743e-32,-1.5389365549774318e-15,-1.5389365549774318e-15,4.499279347985573e-32,-1.1542024162330739e-15,-1.1542024162330739e-15,4.499279347985573e-32,-1.1542024162330739e-15,-1.1542024162330739e-15,-8.998558695971146e-32,2.3084048324661477e-15,2.3084048324661477e-15,-8.998558695971146e-32,2.3084048324661477e-15,2.3084048324661477e-15,-5.99903913064743e-32,1.5389365549774318e-15,1.5389365549774318e-15,-5.99903913064743e-32,1.5389365549774318e-15,1.5389365549774318e-15,1.3497838043956716e-31,-3.4626072486992214e-15,-3.4626072486992214e-15,1.199807826129486e-31,-3.0778731099548636e-15,-3.0778731099548636e-15,1.199807826129486e-31,-3.0778731099548636e-15,-3.0778731099548636e-15,-1.7997117391942291e-31,4.6168096649322955e-15,4.6168096649322955e-15,-1.7997117391942291e-31,4.6168096649322955e-15,4.6168096649322955e-15,7.498798913309289e-32,-1.92367069372179e-15,-1.92367069372179e-15,7.498798913309289e-32,-1.92367069372179e-15,-1.92367069372179e-15,-1.4997597826618578e-31,3.84734138744358e-15,3.84734138744358e-15,-1.4997597826618578e-31,3.84734138744358e-15,3.84734138744358e-15,2.399615652258972e-31,-6.155746219909727e-15,-6.155746219909727e-15,2.2496396739927866e-31,-5.7710120811653695e-15,-5.7710120811653695e-15,-8.998558695971146e-32,2.3084048324661477e-15,2.3084048324661477e-15,-8.998558695971146e-32,2.3084048324661477e-15,2.3084048324661477e-15,1.7997117391942291e-31,-4.6168096649322955e-15,-4.6168096649322955e-15,1.0498318478633003e-31,-2.693138971210506e-15,-2.693138971210506e-15
4,0.0,1.0,0.0,3.8473413874435795e-16,-0.0,-0.0,-7.694682774887159e-16,0.0,0.0,7.694682774887159e-16,-0.0,-0.0,-1.5389365549774318e-15,0.0,0.0,1.1542024162330739e-15,-0.0,0.0,1.1542024162330739e-15,-0.0,0.0,2.3084048324661477e-15,-0.0,-0.0,-2.3084048324661477e-15,0.0,-0.0,-1.5389365549774318e-15,0.0,0.0,1.5389365549774318e-15,-0.0,0.0,3.4626072486992214e-15,-0.0,-0.0,-3.0778731099548636e-15,0.0,-0.0,-3.0778731099548636e-15,0.0,-0.0,-4.6168096649322955e-15,0.0,0.0,4.6168096649322955e-15,-0.0,0.0,1.92367069372179e-15,-0.0,0.0,1.92367069372179e-15,-0.0,0.0,3.84734138744358e-15,-0.0,-0.0,-3.84734138744358e-15,0.0,-0.0,-6.155746219909727e-15,0.0,0.0,5.7710120811653695e-15,-0.0,-0.0,-2.3084048324661477e-15,0.0,0.0,2.3084048324661477e-15,-0.0,-0.0,-4.6168096649322955e-15,0.0,0.0,2.693138971210506e-15,-0.0
5,0.24999999999941094,0.0,0.0,0.0,2.221441469075072,0.0,0.0,4.442882938150144,0.0,0.0,3.141592653589793,0.0,0.0,6.283185307179586,0.0,0.0,6.664324407225216,0.0,-0.0,2.2214414690915154,0.0,0.0,9.42477796076938,0.0,-0.0,4.442882938183031,0.0,0.0,8.885765876300288,0.0,-0.0,2.3256096731461095e-11,0.0,-0.0,6.664324407274547,0.0,0.0,12.566370614359172,0.0,-0.0,4.651219346292219e-11,0.0,-0.0,8.885765876366062,0.0,-0.0,6.976829019438329e-11,0.0,0.0,11.107207345375361,-0.0,-0.0,-2.2214414690586275,0.0,0.0,15.707963267948966,-0.0,-0.0,-4.442882938117255,0.0,-0.0,9.302438692584438e-11,0.0,-0.0,11.107207345457578,0.0,0.0,13.328648814450432,-0.0,-0.0,-3.141592653589793,0.0,0.0,18.84955592153876,0.0,0.0,15.550090283525504
6,0.4999999999986921,0.0,0.0,0.0,3.141592653589793,0.0,0.0,6.283185307179586,0.0,-0.0,2.5817587356398636e-11,0.0,-0.0,5.163517471279727e-11,0.0,0.0,9.42477796076938,-0.0,-0.0,-3.141592653589793,0.0,-0.0,7.74527620691959e-11,-0.0,-0.0,-6.283185307179586,0.0,0.0,12.566370614359172,-0.0,0.0,-5.163517471279727e-11,-0.0,-0.0,-9.42477796076938,0.0,-0.0,1.0327034942559454e-10,-0.0,0.0,-1.0327034942559454e-10,-0.0,-0.0,-12.566370614359172,-0.0,0.0,-1.549055241383918e-10,0.0,0.0,15.707963267948966,0.0,0.0,3.141592653589793,0.0,-0.0,1.2908793678199317e-10,0.0,0.0,6.283185307179586,-0.0,0.0,-2.0654069885118908e-10,-0.0,-0.0,-15.707963267948966,0.0,0.0,18.84955592153876,0.0,-0.0,7.745415721659511e-11,0.0,-0.0,1.549055241383918e-10,0.0,0.0,21.991148575128552
7,0.7499999999993406,0.0,0.0,-0.0,2.2214414690837843,0.0,-0.0,4.4428829381675685,-0.0,-0.0,-3.141592653589793,-0.0,-0.0,-6.283185307179586,0.0,-0.0,6.664324407251353,0.0,0.0,2.221441469065377,-0.0,-0.0,-9.42477796076938,0.0,0.0,4.442882938130754,0.0,-0.0,8.885765876335137,0.0,-0.0,2.6029024081955845e-11,0.0,0.0,6.664324407196132,-0.0,-0.0,-12.566370614359172,0.0,-0.0,5.205804816391169e-11,0.0,0.0,8.885765876261509,0.0,-0.0,7.808707224586753e-11,0.0,-0.0,11.107207345418923,-0.0,0.0,-2.2214414691021918,-0.0,-0.0,-15.707963267948966,-0.0,0.0,-4.4428829382043835,0.0,-0.0,1.0411609632782338e-10,0.0,0.0,11.107207345326886,0.0,-0.0,13.328648814502706,0.0,0.0,3.141592653589793,-0.0,-0.0,-18.84955592153876,0.0,-0.0,15.55009028358649
8,1.0,0.24999999999941094,8.659560562338908e-17,-2.221441469075072,2.7204811846060504e-16,1.2246467991473532e-16,-3.141592653589793,2.8480504422845053e-27,-1.7319121124677816e-16,4.442882938150144,-5.440962369212101e-16,-2.4492935982947064e-16,6.283185307179586,-5.696100884569011e-27,8.659560562403008e-17,-2.2214414690915154,-8.161443553757737e-16,2.597868168701672e-16,-6.664324407225216,8.161443553818151e-16,-1.7319121124806016e-16,4.442882938183031,1.6322887107515474e-15,3.6739403974420594e-16,-9.42477796076938,8.544151326853515e-27,9.065626121292757e-28,-2.3256096731461095e-11,-1.5389365549774318e-15,-3.463824224935563e-16,8.885765876300288,-1.0881924738424202e-15,2.597868168720902e-16,-6.664324407274547,-2.448433066127321e-15,-1.8131252242585513e-27,4.651219346292219e-11,3.0778731099548636e-15,-4.898587196589413e-16,12.566370614359172,-1.1392201769138021e-26,2.719687836387827e-27,-6.976829019438329e-11,-4.6168096649322955e-15,-3.463824224961203e-16,8.885765876366062,3.2645774215030947e-15,-8.659560562274804e-17,2.2214414690586275,-1.3602405923130945e-15,4.329780281169454e-16,-11.107207345375361,1.3602405923030253e-15,1.7319121124549609e-16,-4.442882938117255,2.720481184626189e-15,6.123233995736766e-16,-15.707963267948966,1.424025221142253e-26,-3.626250448517103e-27,9.302438692584438e-11,6.155746219909727e-15,-2.597868168682441e-16,6.664324407175882,-4.080721776939283e-15,-1.2246467991473532e-16,3.141592653589793,-2.5630916274043456e-26,-5.195736337403344e-16,13.328648814450432,-1.6322887107636302e-15,2.4492935982947064e-16,-6.283185307179586,5.126183254808691e-26,-8.659560562467111e-17,2.22144146910796,1.9043368291960418e-15
9,1.0,0.4999999999986921,1.2246467991473532e-16,-3.141592653589793,1.5808712858860381e-27,1.0064139181632153e-27,-2.5817587356398636e-11,-7.694682774887159e-16,-2.4492935982947064e-16,6.283185307179586,-3.1617425717720762e-27,-2.0128278363264307e-27,5.163517471279727e-11,1.5389365549774318e-15,-1.2246467991473532e-16,3.141592653589793,-1.422809785739386e-26,3.6739403974420594e-16,-9.42477796076938,4.742613857658114e-27,2.4492935982947064e-16,-6.283185307179586,2.845619571478772e-26,3.019241754489646e-27,-7.74527620691959e-11,-2.3084048324661477e-15,-2.0128278363264307e-27,5.163517471279727e-11,1.5389365549774318e-15,-4.898587196589413e-16,12.566370614359172,-6.3234851435441524e-27,-3.6739403974420594e-16,9.42477796076938,-4.268429357218158e-26,4.0256556726528614e-27,-1.0327034942559454e-10,-3.0778731099548636e-15,-4.0256556726528614e-27,1.0327034942559454e-10,3.0778731099548636e-15,-6.038483508979292e-27,1.549055241383918e-10,4.6168096649322955e-15,4.898587196589413e-16,-12.566370614359172,5.691239142957544e-26,1.2246467991473532e-16,-3.141592653589793,3.9521355006451765e-26,6.123233995736766e-16,-15.707963267948966,7.904356429430192e-27,-2.4492935982947064e-16,6.283185307179586,-7.904271001290353e-26,5.032069590816077e-27,-1.2908793678199317e-10,-3.84734138744358e-15,8.051311345305723e-27,-2.0654069885118908e-10,-6.155746219909727e-15,3.6739403974420594e-16,-9.42477796076938,1.1856406501935528e-25,3.019296139732584e-27,-7.745415721659511e-11,-2.3084048324661477e-15,-7.347880794884119e-16,18.84955592153876,-9.485227715316228e-27,-6.038592279465168e-27,1.5490831443319023e-10,4.6168096649322955e-15,-1.2246467991473532e-16,3.141592653589793,-7.746329100539476e-26
10,1.0,0.7499999999993406,8.65956056237287e-17,-2.2214414690837843,-2.72048118459538e-16,-1.2246467991473532e-16,3.141592653589793,-3.18763610268966e-27,-1.731912112474574e-16,4.4428829381675685,5.44096236919076e-16,2.4492935982947064e-16,-6.283185307179586,6.37527220537932e-27,8.659560562301115e-17,-2.221441469065377,8.161443553853768e-16,2.5978681687118606e-16,-6.664324407251353,-8.161443553786141e-16,-1.731912112460223e-16,4.442882938130754,-1.6322887107707536e-15,-3.6739403974420594e-16,9.42477796076938,-9.56290830806898e-27,1.0146560850424878e-27,-2.6029024081955845e-11,-1.5389365549774318e-15,-3.463824224949148e-16,8.885765876335137,1.088192473838152e-15,2.5978681686903346e-16,-6.664324407196132,2.44843306615613e-15,-2.0293121700849757e-27,5.205804816391169e-11,3.0778731099548636e-15,4.898587196589413e-16,-12.566370614359172,1.275054441075864e-26,3.0439682551274633e-27,-7.808707224586753e-11,-4.6168096649322955e-15,-3.463824224920446e-16,8.885765876261509,-3.264577421541507e-15,-8.659560562444624e-17,2.2214414691021918,1.3602405922864191e-15,4.329780281186435e-16,-11.107207345418923,-1.3602405922976902e-15,1.7319121124889248e-16,-4.4428829382043835,-2.7204811845728383e-15,-6.123233995736766e-16,15.707963267948966,-1.59381805134483e-26,-4.058624340169951e-27,1.0411609632782338e-10,6.155746219909727e-15,-2.597868168733387e-16,6.664324407306575,4.080721776859257e-15,1.2246467991473532e-16,-3.141592653589793,2.8692825474919196e-26,-5.195736337423721e-16,13.328648814502706,1.6322887107572282e-15,-2.4492935982947064e-16,6.283185307179586,-5.738565094983839e-26,-8.659560562229352e-17,2.221441469046968,-1.9043368292483275e-15
