mode_rank,eigen_index,omega_sq,omega,omega_sq_isfinite,omega_sq_is_positive,vector_isfinite,norm_v,norm_Kv,norm_Mv,residual_norm,relative_residual,residual_within_tolerance,Mv_over_v,selected_positive_mode
1.0,1.0,3.3625692206921995e7,5798.766438383425,1.0,1.0,1.0,11.24668393269135,354064.3447876303,0.010529574422444118,4.944306569468424,1.396442946672319e-5,0.0,0.0009362381378778885,1.0
2.0,2.0,2.853360443255813e8,16891.892857983126,1.0,1.0,1.0,16.8568925275036,2.1638558457627036e6,0.0075835364934509555,3.372295528623497,1.5584655601986387e-6,0.0,0.0004498774896427503,1.0
3.0,3.0,2.8533605845472753e8,16891.893276205825,1.0,1.0,1.0,16.85690270549805,2.1638563880271427e6,0.007583541046261752,3.932551151222724,1.8173797337694204e-6,0.0,0.0004498774880979946,1.0
4.0,4.0,5.874425050992708e8,24237.213228819663,1.0,1.0,1.0,18.487300895917752,3.4675953648154135e6,0.005902867615805221,3.917617916712402,1.1297794305711745e-6,0.0,0.0003192931001143955,1.0
5.0,5.0,1.6762708238376565e9,40942.28649987268,1.0,1.0,1.0,26.37090397943023,6.805985632761728e6,0.0040601943557067146,3.214425644022511,4.722939214783743e-7,1.0,0.00015396492888047135,1.0
6.0,6.0,1.8652309511093805e9,43188.31961432837,1.0,1.0,1.0,21.62060774642295,7.267599524896e6,0.0038963537723921892,2.145097753519641,2.951590423272122e-7,1.0,0.00018021481255709967,1.0
7.0,7.0,1.865231173469696e9,43188.3221886391,1.0,1.0,1.0,21.62057109163097,7.267587013794613e6,0.0038963471355214305,2.1553879854427684,2.9657541731472163e-7,1.0,0.00018021481111706866,1.0
8.0,8.0,1.9230654782016153e9,43852.770473501616,1.0,1.0,1.0,24.574552523478825,9.768263682300415e6,0.005079528398858294,4.104871757712434,4.2022523545473305e-7,1.0,0.000206698713801818,1.0
9.0,9.0,1.979287060481754e9,44489.17913922164,1.0,1.0,1.0,12.8639825264911,5.212634228756631e6,0.00263359177551437,1.6414937948302022,3.1490676744102716e-7,1.0,0.00020472600690267986,1.0
10.0,10.0,7.084226876576565e9,84167.8494234976,1.0,1.0,1.0,2433.2124839918574,3.864646130788875e7,0.0054552826254399295,18.161974613742245,4.6995181445072985e-7,1.0,2.2420083167131183e-6,1.0
11.0,11.0,7.147827337363513e9,84544.82442683002,1.0,1.0,1.0,4578.077978891156,4.584077071426284e7,0.006413246700214431,60.182288230809796,1.312854801317795e-6,0.0,1.4008600835951175e-6,1.0
12.0,12.0,7.147827355525568e9,84544.82453424082,1.0,1.0,1.0,4578.084029846865,4.584082734999812e7,0.006413253422593443,24.65231162592844,5.377806764407617e-7,1.0,1.4008597004297372e-6,1.0
13.0,13.0,9.171947443251352e9,95770.28476125229,1.0,1.0,1.0,902.3177961585906,2.2071031658523835e7,0.0024063625123990065,9.846884765507271,4.461451969194382e-7,1.0,2.6668680620547867e-6,1.0
14.0,14.0,1.1636734038432766e10,107873.69483999687,1.0,1.0,1.0,2232.8606484715783,4.4717888482485816e7,0.0038428213612911534,21.750661343613857,4.863973071229859e-7,1.0,1.7210305371818049e-6,1.0
15.0,15.0,1.16367340718274e10,107873.69499478268,1.0,1.0,1.0,2232.8605913017736,4.471788730485667e7,0.003842821235477511,9.26178556221063,2.0711589500678617e-7,1.0,1.7210305249004008e-6,1.0
16.0,16.0,1.520745376076557e10,123318.50534597624,1.0,1.0,1.0,3.1214693874478664e10,3.505144867468307e14,23048.860907686263,9.090900366948973e7,2.593587629236888e-7,1.0,7.38397787925486e-7,1.0
17.0,17.0,1.8024038159429276e10,134253.6336917153,1.0,1.0,1.0,158180.80612625155,4.1848760403043704e9,0.23218304408322007,1367.9873918753183,3.2688838968364216e-7,1.0,1.4678332331794025e-6,1.0
18.0,18.0,1.8076107597903763e10,134447.41573531178,1.0,1.0,1.0,6135.523599300313,1.4373618781880012e8,0.007951722168840204,69.50245658124179,4.835418111189891e-7,1.0,1.296013622985169e-6,1.0
19.0,19.0,1.8076107663844444e10,134447.4159805403,1.0,1.0,1.0,6135.52408796049,1.4373619519136e8,0.007951722709283099,22.27141830989961,1.5494648501726952e-7,1.0,1.2960136078491595e-6,1.0
20.0,20.0,1.8096085788655968e10,134521.69263228873,1.0,1.0,1.0,1.7838941900319347e10,4.3682261783398175e14,24139.06652837589,1.0118683658421929e8,2.316428505293156e-7,1.0,1.3531669458458048e-6,1.0
