mode_rank,eigen_index,omega_sq,omega,omega_sq_isfinite,omega_sq_is_positive,vector_isfinite,norm_v,norm_Kv,norm_Mv,residual_norm,relative_residual,residual_within_tolerance,Mv_over_v,selected_positive_mode
1.0,1.0,3.597165605905037e7,5997.637539819355,1.0,1.0,1.0,37.1073389488836,111889.53557967707,0.0031104952071787056,3.1913996198236547,2.852273849440822e-5,0.0,8.38242594399857e-5,1.0
2.0,2.0,2.05245715566901e8,14326.399253367923,1.0,1.0,1.0,49.597354758429965,576432.5001079026,0.002808499033174238,3.5417716649854114,6.144295584170612e-6,0.0,5.662598432624843e-5,1.0
3.0,3.0,2.166379728973797e8,14718.62673272815,1.0,1.0,1.0,49.21528665456392,604065.2615200153,0.002788362608282818,2.7995683143857013,4.6345461206312715e-6,0.0,5.665643335279127e-5,1.0
4.0,4.0,4.919997424375808e8,22181.067206912765,1.0,1.0,1.0,60.98209573142418,1.3993025874398723e6,0.0028441130369513193,2.8556644212372646,2.040776488563664e-6,0.0,4.6638492869731644e-5,1.0
5.0,5.0,7.64042986469605e8,27641.327509177358,1.0,1.0,1.0,62.04672705346554,2.0644472696319805e6,0.0027020043879931884,3.5894242229912545,1.7386851539775211e-6,0.0,4.3547895534681094e-5,1.0
6.0,6.0,7.693607471335403e8,27737.352922251615,1.0,1.0,1.0,48.28176667949863,1.6200672188460587e6,0.0021057320849963827,2.7007998660155605,1.6670908356240422e-6,0.0,4.3613401700367296e-5,1.0
7.0,7.0,1.1443526601994333e9,33828.28195754897,1.0,1.0,1.0,57.1845692354891,2.558165937984003e6,0.0022354699112035466,2.752022129325001,1.0757793646754449e-6,0.0,3.909218764939476e-5,1.0
8.0,8.0,1.2239270581517746e9,34984.66890155993,1.0,1.0,1.0,58.00566634740825,2.7911703091946044e6,0.0022805035761718417,8.09360422161177,2.899717081021541e-6,0.0,3.931518625289849e-5,1.0
9.0,9.0,1.9665163960671475e9,44345.421365312875,1.0,1.0,1.0,60.199264000232745,4.345277724930183e6,0.0022096320363631894,6.731436778149096,1.549138445059286e-6,0.0,3.6705299858062156e-5,1.0
10.0,10.0,1.9728531545429194e9,44416.81162063436,1.0,1.0,1.0,57.71549538126227,4.183595281822733e6,0.002120581278683265,2.545080924022304,6.083477585833893e-7,1.0,3.674197483145447e-5,1.0
11.0,11.0,2.0354628094232776e9,45116.10365959452,1.0,1.0,1.0,71.99426522469136,5.114167471634251e6,0.002512533203140787,5.3274175080570725,1.0416978128423074e-6,0.0,3.4899074187357374e-5,1.0
12.0,12.0,2.513467908192531e9,50134.49818430949,1.0,1.0,1.0,76.39276821889705,6.58466156344363e6,0.0026197515987179164,2.7781566198931684,4.219133496863858e-7,1.0,3.429318847578921e-5,1.0
13.0,13.0,2.5517079455349e9,50514.433041804004,1.0,1.0,1.0,66.28871648656369,5.842284968892667e6,0.0022895585406262895,2.7069873166499745,4.63343936672615e-7,1.0,3.453918950279221e-5,1.0
14.0,14.0,3.4441926514271455e9,58687.24436729966,1.0,1.0,1.0,62.25155982524336,6.753667792987653e6,0.0019608857325119967,2.9954766917299227,4.4353329029881684e-7,1.0,3.149938311612951e-5,1.0
15.0,15.0,3.695385213520543e9,60789.680156425755,1.0,1.0,1.0,69.10387824708515,8.151774773143793e6,0.0022059336886211776,2.9217840494761615,3.584230588781777e-7,1.0,3.1921995473737765e-5,1.0
16.0,16.0,4.0717022686470838e9,63809.891620712566,1.0,1.0,1.0,63.94046140724283,8.515496573293373e6,0.0020913849943058993,2.629930555546622,3.08840523053258e-7,1.0,3.2708318774643664e-5,1.0
17.0,17.0,4.077034450306389e9,63851.65973024029,1.0,1.0,1.0,57.945474027657696,7.738430567498374e6,0.0018980537847368276,2.285228217239073,2.9530899933254835e-7,1.0,3.275585913458704e-5,1.0
18.0,18.0,4.739422711419093e9,68843.46527753446,1.0,1.0,1.0,66.93793275628498,9.890086426198998e6,0.0020867702419161143,2.31162293510599,2.3373131795718826e-7,1.0,3.1174704027891896e-5,1.0
19.0,19.0,4.771274529796829e9,69074.4129891585,1.0,1.0,1.0,66.77738397487109,9.972318184621044e6,0.0020900743089558634,3.023359373005085,3.0317517725482914e-7,1.0,3.1299134295862455e-5,1.0
20.0,20.0,5.209332494299858e9,72175.70570697496,1.0,1.0,1.0,66.04541413623201,1.0045738499791699e7,0.0019284118661840176,2.3535574251815192,2.3428415964421308e-7,1.0,2.9198270484098692e-5,1.0
21.0,21.0,5.942297189315744e9,77086.29702687595,1.0,1.0,1.0,66.82123309618451,1.1598231980254771e7,0.0019518094506370532,3.1653492358451008,2.7291653083279416e-7,1.0,2.9209419823599473e-5,1.0
22.0,22.0,6.076022265262009e9,77948.8438994576,1.0,1.0,1.0,60.740629751476,1.0960554870077012e7,0.001803903027879062,2.3186359455115344,2.115436630352696e-7,1.0,2.969845777463687e-5,1.0
23.0,23.0,7.312100450703168e9,85510.82066442333,1.0,1.0,1.0,68.09632060753185,1.5015535792994615e7,0.0020535188433358845,2.6854463419058043,1.7884452018202483e-7,1.0,3.0156091034215926e-5,1.0
24.0,24.0,7.318738990075366e9,85549.62881319455,1.0,1.0,1.0,62.87879882899675,1.3909857838892952e7,0.001900581258923867,2.1530812961053676,1.547881560544072e-7,1.0,3.022610632389193e-5,1.0
25.0,25.0,7.570075174886371e9,87006.1789465919,1.0,1.0,1.0,67.32919657051308,1.3863106804145418e7,0.0018313037234208025,2.3972533429479657,1.729232392230065e-7,1.0,2.7199251093140547e-5,1.0
26.0,26.0,8.080874973438901e9,89893.68706109957,1.0,1.0,1.0,78.40051185073398,1.8357851445998013e7,0.0022717652979411815,3.3543317458157955,1.827191899707324e-7,1.0,2.8976409009502067e-5,1.0
27.0,27.0,8.106101221349316e9,90033.88929369494,1.0,1.0,1.0,56.92905344721565,1.3462798442456674e7,0.0016608228644801918,2.4283396328140854,1.8037406139543787e-7,1.0,2.9173554870714632e-5,1.0
28.0,28.0,8.118855137392093e9,90104.68987456808,1.0,1.0,1.0,79.75268212424191,1.7999405072506145e7,0.002216988047492905,3.0806703725567357,1.7115401093241795e-7,1.0,2.779828826369993e-5,1.0
29.0,29.0,9.440292091205227e9,97161.16555087855,1.0,1.0,1.0,75.56462014709979,1.9647819852608804e7,0.002081272482513336,3.3733951946425873,1.7169310222735148e-7,1.0,2.7542949047606858e-5,1.0
30.0,30.0,9.530322972054146e9,97623.37308275179,1.0,1.0,1.0,72.29484709011193,1.9160901096455276e7,0.0020105195628113827,3.6673692419833146,1.9139857898759103e-7,1.0,2.780999813590269e-5,1.0
31.0,31.0,1.0391033644379368e10,101936.41961722693,1.0,1.0,1.0,76.9710670946232,2.045662352590146e7,0.0019686803363051122,3.124709509581114,1.527480570214249e-7,1.0,2.5576887662021697e-5,1.0
32.0,32.0,1.145615051326227e10,107033.40839785618,1.0,1.0,1.0,83.37848242251498,2.4708791048719883e7,0.002156814440844154,3.2565974551440844,1.317991418002947e-7,1.0,2.5867758421347112e-5,1.0
33.0,33.0,1.1756153637477419e10,108425.79784109231,1.0,1.0,1.0,71.50492958558256,2.2555532068310156e7,0.0019186149567093976,2.636972671184277,1.1691023947209986e-7,1.0,2.683192568441107e-5,1.0
34.0,34.0,1.1933396090794601e10,109240.08463377626,1.0,1.0,1.0,61.68580737334727,2.100025188491579e7,0.0017597884017522352,3.2935773124567844,1.5683513260266425e-7,1.0,2.85282543373598e-5,1.0
35.0,35.0,1.196287865040219e10,109374.94525896774,1.0,1.0,1.0,54.78971553208738,1.8634863652305085e7,0.0015577240430530094,2.9469119117883382,1.581397084287355e-7,1.0,2.8430956940098265e-5,1.0
36.0,36.0,1.276255780065624e10,112971.49109689683,1.0,1.0,1.0,77.02278414009193,2.700760206770373e7,0.002116159038252192,2.8797264409220245,1.0662651329440546e-7,1.0,2.7474455278106314e-5,1.0
37.0,37.0,1.2784527262425821e10,113068.68382724644,1.0,1.0,1.0,69.85821747172561,2.464893983629359e7,0.001928029059951126,2.58620346374539,1.0492148771443052e-7,1.0,2.759917343627435e-5,1.0
38.0,38.0,1.3861799143912184e10,117736.14204615414,1.0,1.0,1.0,73.22616797707884,2.4438944800441418e7,0.001763042784677821,2.799956085739287,1.1456943374359353e-7,1.0,2.4076676868161205e-5,1.0
39.0,39.0,1.4240250252995914e10,119332.5196792388,1.0,1.0,1.0,66.07343525676123,2.4524041647788912e7,0.0017221636442400837,2.485389586777393,1.0134502389419469e-7,1.0,2.6064387867041565e-5,1.0
40.0,40.0,1.4303081650923122e10,119595.49176671804,1.0,1.0,1.0,58.375196293383134,2.213440288240948e7,0.0015475268428067738,2.770277628667414,1.2515709790703197e-7,1.0,2.6510006664974367e-5,1.0
41.0,41.0,1.4833203774272305e10,121791.64082264555,1.0,1.0,1.0,77.31802394921388,2.8558096824709926e7,0.0019252818019203015,3.1465104727513875,1.1017927562586672e-7,1.0,2.4900814888711036e-5,1.0
42.0,42.0,1.6438666379748503e10,128213.3627191351,1.0,1.0,1.0,69.0455325244362,2.8191770806129444e7,0.0017149670335947804,2.6601371086462873,9.435863807307102e-8,1.0,2.4838204166038247e-5,1.0
43.0,43.0,1.6632763674939262e10,128968.07230837895,1.0,1.0,1.0,62.148825678541236,2.6164822682062767e7,0.0015730892939003552,9.577280087572733,3.660364988499775e-7,1.0,2.5311649523950892e-5,1.0
44.0,44.0,1.7891958224736614e10,133760.82470116808,1.0,1.0,1.0,63.56472741389128,2.5903180346512675e7,0.0014477554646616533,9.528579204956348,3.6785364103906926e-7,1.0,2.2776082326835626e-5,1.0
45.0,45.0,1.814171421779971e10,134691.18092065162,1.0,1.0,1.0,54.92426131166724,2.7398556669903804e7,0.0015102517937377706,13.290319714511634,4.850737166425452e-7,1.0,2.7496988719936716e-5,1.0
46.0,46.0,1.815025171585229e10,134722.8700549847,1.0,1.0,1.0,55.259039827622985,2.766855976387726e7,0.0015244174221192804,9.942005784604325,3.593250176091445e-7,1.0,2.7586751902939362e-5,1.0
47.0,47.0,1.8988302721323982e10,137798.05049899648,1.0,1.0,1.0,56.481771454404594,2.7814159174489457e7,0.0014648049087418302,8.875502126756228,3.191001414451042e-7,1.0,2.5934117698916486e-5,1.0
48.0,48.0,1.9029546312448208e10,137947.6216266457,1.0,1.0,1.0,53.76304569273661,2.7173424213629164e7,0.0014279596550340876,9.508892066500914,3.499335207371782e-7,1.0,2.6560244804490403e-5,1.0
49.0,49.0,1.9422992293554783e10,139366.3958547927,1.0,1.0,1.0,71.74141867314549,3.2649019673118986e7,0.0016809469497953583,8.683622528091412,2.6596885955632307e-7,1.0,2.343063436553669e-5,1.0
50.0,50.0,2.0020756062137493e10,141494.72096914955,1.0,1.0,1.0,59.11391092858179,2.8990680223843392e7,0.0014480312489576746,2.036508514339895,7.024700648064494e-8,1.0,2.4495609006602647e-5,1.0
51.0,51.0,2.0565938706255524e10,143408.29371502725,1.0,1.0,1.0,57.33331576973048,2.9463763298470058e7,0.0014326485953669265,2.871634490323662,9.746326228709471e-8,1.0,2.498806455082619e-5,1.0
52.0,52.0,2.0615800608224358e10,143582.03442013334,1.0,1.0,1.0,55.287760047208344,2.8784986460074663e7,0.0013962584922769235,6.976659757584916,2.4237147776096654e-7,1.0,2.5254387066589527e-5,1.0
53.0,53.0,2.263304067106191e10,150442.81528561577,1.0,1.0,1.0,58.23083241112509,2.8313566787220035e7,0.001250983781920416,1.7446889325036337,6.162024530150833e-8,1.0,2.1483185627300316e-5,1.0
54.0,54.0,2.287843678077974e10,151256.1958426158,1.0,1.0,1.0,63.30074321651493,3.403825584012855e7,0.0014877876589934913,2.906562177214763,8.539104311912972e-8,1.0,2.3503478527963523e-5,1.0
55.0,55.0,2.2999638117658726e10,151656.31578559044,1.0,1.0,1.0,62.112350213214064,3.477881711586444e7,0.001512146274357802,2.2490373028816024,6.466687165894722e-8,1.0,2.4345339842511725e-5,1.0
56.0,56.0,2.41164457763091e10,155294.7062082578,1.0,1.0,1.0,72.49234468427642,3.925270904813649e7,0.001627632424111932,3.005551926940547,7.656928644834413e-8,1.0,2.245247317079765e-5,1.0
57.0,57.0,2.6022125715396034e10,161313.74930673465,1.0,1.0,1.0,62.33106820220678,3.66185402503086e7,0.0014072078770911401,3.0486134982380815,8.325327756051512e-8,1.0,2.2576347841914877e-5,1.0
58.0,58.0,2.6142668548717876e10,161686.94612960526,1.0,1.0,1.0,54.5648442218551,3.805479692643681e7,0.0014556584744817626,4.4647248587333905,1.1732357569958518e-7,1.0,2.6677588752259668e-5,1.0
59.0,59.0,2.6158350842653458e10,161735.4347156289,1.0,1.0,1.0,49.417208748284175,3.498627982723048e7,0.0013374803384209445,4.119386843210189,1.1774292238447063e-7,1.0,2.7065072518232497e-5,1.0
60.0,60.0,2.6344973891629436e10,162311.34862242208,1.0,1.0,1.0,55.93452373217716,3.427388570981343e7,0.0013009648767861003,2.7457265171244294,8.011132849446542e-8,1.0,2.3258710184345434e-5,1.0
