mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
1,1,w1,3.597165605905037e7,5997.637539819355,true,true,37.1073389488836,8.063638273734973,-1.7533174693534134e-10,2,1.0,177,1.0,true,0.0,0.0
2,2,w2,2.05245715566901e8,14326.399253367923,true,true,49.597354758429965,7.419348375953285,-1.0,225,0.9999993114231395,129,1.0,true,0.0,0.0
3,3,w3,2.166379728973797e8,14718.62673272815,true,true,49.21528665456392,7.366303100119622,-0.9999991553764338,219,1.0,135,1.0,true,0.0,0.0
4,4,w4,4.919997424375808e8,22181.067206912765,true,true,60.98209573142418,7.657215907827664,-1.0,113,0.8925125082332522,233,1.0,true,0.0,0.0
5,5,w5,7.64042986469605e8,27641.327509177358,true,true,62.04672705346554,7.36623884373179,-1.0,252,0.9999975703945078,182,1.0,true,0.0,0.0
6,6,w6,7.693607471335403e8,27737.352922251615,true,true,48.28176667949863,5.7400618274738795,-0.6285616565500661,107,1.0,177,1.0,true,0.0,0.0
7,7,w7,1.1443526601994333e9,33828.28195754897,true,true,57.1845692354891,6.210334519326277,-1.0,257,0.9999997494406623,97,1.0,true,0.0,0.0
8,8,w8,1.2239270581517746e9,34984.66890155993,true,true,58.00566634740825,6.336052181466421,-0.9999964251374789,107,1.0,247,1.0,true,0.0,0.0
9,9,w9,1.9665163960671475e9,44345.421365312875,true,true,60.199264000232745,6.2947455472807246,-1.0,145,0.9999998241283725,209,1.0,true,0.0,0.0
10,10,w10,1.9728531545429194e9,44416.81162063436,true,true,57.71549538126227,6.040676723929473,-0.9999998448635244,205,1.0,149,1.0,true,0.0,0.0
11,11,w11,2.0354628094232776e9,45116.10365959452,true,true,71.99426522469136,7.206737904749936,-0.8516929771119669,102,1.0,257,1.0,true,0.0,0.0
12,12,w12,2.513467908192531e9,50134.49818430949,true,true,76.39276821889705,7.606035202493399,-1.0,269,0.9999997616197831,141,1.0,true,0.0,0.0
13,13,w13,2.5517079455349e9,50514.433041804004,true,true,66.28871648656369,6.643524510099755,-0.7785962129547866,220,1.0,93,1.0,true,0.0,0.0
14,14,w14,3.4441926514271455e9,58687.24436729966,true,true,62.25155982524336,5.875062028003249,-1.0,273,0.999999777942419,81,1.0,true,0.0,0.0
15,15,w15,3.695385213520543e9,60789.680156425755,true,true,69.10387824708515,6.6114700726455915,-0.9999997429942163,93,1.0,261,1.0,true,0.0,0.0
16,16,w16,4.0717022686470838e9,63809.891620712566,true,true,63.94046140724283,6.30379955218482,-1.0,174,0.999999959484914,132,1.0,true,0.0,0.0
17,17,w17,4.077034450306389e9,63851.65973024029,true,true,57.945474027657696,5.720940343075735,-0.8688929397545944,135,1.0,177,1.0,true,0.0,0.0
18,18,w18,4.739422711419093e9,68843.46527753446,true,true,66.93793275628498,6.4097698363496916,-1.0,129,0.9999998296511338,225,1.0,true,0.0,0.0
19,19,w19,4.771274529796829e9,69074.4129891585,true,true,66.77738397487109,6.417968214944242,-0.9999997713961588,219,1.0,135,1.0,true,0.0,0.0
20,20,w20,5.209332494299858e9,72175.70570697496,true,true,66.04541413623201,6.045228027138832,-1.0,81,0.8293723091506767,141,1.0,true,0.0,0.0
21,21,w21,5.942297189315744e9,77086.29702687595,true,true,66.82123309618451,6.188824052022061,-0.9999999274468949,87,1.0,183,1.0,true,0.0,0.0
22,22,w22,6.076022265262009e9,77948.8438994576,true,true,60.740629751476,5.711740726495845,-1.0,261,0.9346729187155561,177,1.0,true,0.0,0.0
23,23,w23,7.312100450703168e9,85510.82066442333,true,true,68.09632060753185,6.632389737676267,-0.9999999171042345,236,1.0,118,1.0,true,0.0,0.0
24,24,w24,7.318738990075366e9,85549.62881319455,true,true,62.87879882899675,6.136244375931135,-1.0,163,0.9999999564727307,191,1.0,true,0.0,0.0
25,25,w25,7.570075174886371e9,87006.1789465919,true,true,67.32919657051308,6.065796049390972,-1.0,81,0.9999997833636649,273,1.0,true,0.0,0.0
26,26,w26,8.080874973438901e9,89893.68706109957,true,true,78.40051185073398,7.4741012938189035,-1.0,123,0.9999999225365884,263,1.0,true,0.0,0.0
27,27,w27,8.106101221349316e9,90033.88929369494,true,true,56.92905344721565,5.463347748024949,-0.9068819968437734,241,1.0,233,1.0,true,0.0,0.0
28,28,w28,8.118855137392093e9,90104.68987456808,true,true,79.75268212424191,7.3521514650430975,-1.0,90,0.9999997909542576,216,1.0,true,0.0,0.0
29,29,w29,9.440292091205227e9,97161.16555087855,true,true,75.56462014709979,7.066147152090264,-0.9999998763065955,266,1.0,186,1.0,true,0.0,0.0
30,30,w30,9.530322972054146e9,97623.37308275179,true,true,72.29484709011193,6.820173848448787,-0.9999999334605802,191,1.0,163,1.0,true,0.0,0.0
31,31,w31,1.0391033644379368e10,101936.41961722693,true,true,76.9710670946232,6.915848100213579,-0.9043778565023662,126,1.0,80,1.0,true,0.0,0.0
32,32,w32,1.145615051326227e10,107033.40839785618,true,true,83.37848242251498,7.656420800130655,-0.99999993642571,200,1.0,74,1.0,true,0.0,0.0
33,33,w33,1.1756153637477419e10,108425.79784109231,true,true,71.50492958558256,6.78616980542621,-1.0,139,0.8006400484961481,161,1.0,true,0.0,0.0
34,34,w34,1.1933396090794601e10,109240.08463377626,true,true,61.68580737334727,6.158575734295289,-0.9999980312136548,147,1.0,175,1.0,true,0.0,0.0
35,35,w35,1.196287865040219e10,109374.94525896774,true,true,54.78971553208738,5.458899973970598,-1.0,145,0.854054843465179,177,1.0,true,0.0,0.0
36,36,w36,1.276255780065624e10,112971.49109689683,true,true,77.02278414009193,7.547933844942926,-0.9999999184053132,97,1.0,257,1.0,true,0.0,0.0
37,37,w37,1.2784527262425821e10,113068.68382724644,true,true,69.85821747172561,6.8750776081162055,-1.0,107,0.9999998785610394,247,1.0,true,0.0,0.0
38,38,w38,1.3861799143912184e10,117736.14204615414,true,true,73.22616797707884,6.621795938958549,-0.9999998491099855,289,1.0,65,1.0,true,0.0,0.0
39,39,w39,1.4240250252995914e10,119332.5196792388,true,true,66.07343525676123,6.33683441999865,-1.0,182,0.9999998941441343,102,1.0,true,0.0,0.0
40,40,w40,1.4303081650923122e10,119595.49176671804,true,true,58.375196293383134,5.69219128688738,-0.8165891955890352,257,1.0,177,1.0,true,0.0,0.0
41,41,w41,1.4833203774272305e10,121791.64082264555,true,true,77.31802394921388,7.244896164786978,-1.0,169,0.9999994061746847,281,1.0,true,0.0,0.0
42,42,w42,1.6438666379748503e10,128213.3627191351,true,true,69.0455325244362,6.594465821615074,-0.9999999893538823,74,1.0,280,1.0,true,0.0,0.0
43,43,w43,1.6632763674939262e10,128968.07230837895,true,true,62.148825678541236,6.038638345190528,-0.9999948559597179,149,1.0,205,1.0,true,0.0,0.0
44,44,w44,1.7891958224736614e10,133760.82470116808,true,true,63.56472741389128,5.838979807400219,-1.0,65,0.8975594466328524,68,1.0,true,0.0,0.0
45,45,w45,1.814171421779971e10,134691.18092065162,true,true,54.92426131166724,5.7911732795222415,-1.0,161,0.9999997593866359,193,1.0,true,0.0,0.0
46,46,w46,1.815025171585229e10,134722.8700549847,true,true,55.259039827622985,5.845161731107891,-1.0,163,0.9999942703534759,191,1.0,true,0.0,0.0
47,47,w47,1.8988302721323982e10,137798.05049899648,true,true,56.481771454404594,5.740347995519663,-1.0,249,0.9999996771635958,217,1.0,true,0.0,0.0
48,48,w48,1.9029546312448208e10,137947.6216266457,true,true,53.76304569273661,5.585216506128009,-1.0,247,0.90882807733131,219,1.0,true,0.0,0.0
49,49,w49,1.9422992293554783e10,139366.3958547927,true,true,71.74141867314549,6.827544009202676,-1.0,70,0.9999990938801683,214,1.0,true,0.0,0.0
50,50,w50,2.0020756062137493e10,141494.72096914955,true,true,59.11391092858179,5.877214908862033,-1.0,275,0.8442108622316385,177,1.0,true,0.0,0.0
51,51,w51,2.0565938706255524e10,143408.29371502725,true,true,57.33331576973048,5.77915480037412,-1.0,251,0.9999999176898734,187,1.0,true,0.0,0.0
52,52,w52,2.0615800608224358e10,143582.03442013334,true,true,55.287760047208344,5.6301123239698985,-0.9999993281056396,247,1.0,107,1.0,true,0.0,0.0
53,53,w53,2.263304067106191e10,150442.81528561577,true,true,58.23083241112509,5.456032028359182,-0.9999998750661843,65,1.0,289,1.0,true,0.0,0.0
