mode_rank,Omega_num,Omega_exact,rel_error_percent,residual_within_tolerance
1,33.14961085253813,19.064967169121854,73.87709382593721,0
2,82.00776849609647,45.48267990501187,80.30548918261917,0
3,91.51458385905025,45.48267990501187,101.20754548802651,0
4,128.02180194661568,69.79436487526272,83.42713222681763,1
5,186.81083083515978,85.03801330987261,119.67920411596877,1
6,188.34127879203658,85.0380133098731,121.47892626058064,1
7,203.5205574436219,106.68362678910695,90.77018992421675,1
8,219.1451274193907,106.68362678910695,105.41589559248725,1
9,267.3942873086428,133.62128126397894,100.11354836538737,1
10,648.0740695794372,133.62128126397894,385.00812404209614,1
11,648.074069668531,140.05711107842072,362.7212889645151,1
12,648.0740697281922,152.60866592377968,324.6640030598736,1
13,653.7172511090222,152.60866592377968,328.36181494144046,1
14,654.8375062802841,182.32376882594457,259.16189671650807,1
15,654.9200480733858,182.3237688259448,259.2071688133019,1
16,654.9509183591447,188.01141385090637,248.35699862271275,1
17,658.1032635641178,188.0114138509066,250.03367619265651,1
18,663.6860642388809,204.61966857869848,224.35106011503566,1
19,664.9102905917208,204.61966857869848,224.94935370105475,1
20,664.9136670537846,220.60030896853021,201.41103163578887,1
21,673.3381182615046,230.93579087844404,191.56940797276621,1
22,681.5744266933616,230.93579087844404,195.13590080634876,1
23,681.9320369634878,246.0008680465813,177.20716694152523,1
24,682.0899359233557,246.00086804658164,177.27135328408608,1
25,684.8180903092534,260.58112058345426,162.80418503685578,1
26,688.339893057014,260.58112058345455,164.155703803785,1
27,697.135587049171,265.340598380494,162.73234902767882,1
28,697.4335869435124,265.3405983804943,162.84465747054787,1
29,704.5313031459315,283.91135062016076,148.15186205376818,1
30,706.7435028489192,283.91135062016076,148.93104883096305,1
31,707.2773742562359,306.16127129087903,131.0146450836568,1
32,710.2443147861425,306.16127129087903,131.98372275876474,1
33,715.423014278526,306.16127129087903,133.67521674510354,1
34,715.5049984619558,314.78793518964125,127.29746552418091,1
35,715.8348436617698,314.7879351896415,127.40224882841234,1
36,723.4935852204004,319.04635273398037,126.76754616394143,1
37,744.5932346800752,319.04635273398065,133.3808953775797,1
38,744.6320569025248,339.8215542660221,119.12443385495364,1
39,744.7924013850375,339.8215542660226,119.17161876141364,1
40,753.9307069707075,351.8994561231493,114.24605632435676,1
41,764.7129769424639,351.89945612314955,117.31007639717623,1
42,766.6024441369593,367.58811076649846,108.54930333258932,1
43,767.7203490202285,367.58811076649846,108.85342222287065,1
44,768.0402606166858,367.5881107664987,108.94045213137062,1
45,791.6130233120409,367.5881107664987,115.35327180777446,1
46,792.5949765420719,379.0633284582385,109.09302405109658,1
47,795.264815387541,379.0633284582385,109.79734933002246,1
48,798.4017838136014,394.00167964334196,102.63918279138564,1
49,802.5692809610321,397.6747636883209,101.81549201599542,1
50,808.6805272358755,397.67476368832115,103.3522368217666,1
51,808.7217461750085,401.3241235350043,101.51336507048279,1
52,816.7784816672754,401.3241235350045,103.52090337176901,1
53,823.4248263962229,422.7446159448029,94.78067734959306,1
54,830.1844718471338,422.7446159448029,96.3796676609903,1
55,831.7088018581268,429.71258702038574,93.55002086980296,1
56,832.0097609644299,429.7125870203859,93.62005817273365,1
57,855.0087718238151,440.0126336505699,94.3145960901679,1
58,855.0087718379541,440.0126336505699,94.31459609338123,1
59,859.150171308576,440.0126336505699,95.25579622126452,1
60,3869883.72368286,440.0126336505701,879393.7753437494,1
61,3869883.72368286,453.4756362034697,853282.9416022879,1
62,3869883.725383773,453.47563620346995,853282.9419773712,1
63,3869883.7253837734,456.7950642551434,847081.5980967442,1
64,3869883.7289452087,456.7950642551434,847081.5988764012,1
65,3869883.728945209,479.54231425518475,806895.2564990709,1
66,3909987.2173224944,479.542314255185,815258.124005262,1
67,3909987.2173224944,482.72508071067875,809882.1976446973,1
68,3909987.219005962,489.0428124942353,799418.3896199379,1
69,3909987.219005964,489.0428124942353,799418.3896199382,1
70,3909987.2225308698,492.1782151566511,794325.0887427827,1
71,3909987.2225308707,492.1782151566511,794325.088742783,1
72,5472842.046174948,501.4930944377759,1091209.5527886688,1
73,5501272.586154969,501.4930944377761,1096878.7315461335,1
74,5501272.58615497,507.6289202278329,1083619.3010370452,1
75,5529556.950785478,507.6289202278329,1089191.1594366438,1
