method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Mix,19,5.263158e-02,-1.278754,5,1.769971e+08,9.791720,50.800000,-8.072496e-01
Mix,19,5.263158e-02,-1.278754,6,1.802042e+08,9.969144,50.800000,-8.037570e-01
Mix,20,5.000000e-02,-1.301030,1,1.127516e+08,6.237571,10.310000,-3.949980e-01
Mix,20,5.000000e-02,-1.301030,2,1.129949e+08,6.251030,23.920000,-7.386693e-01
Mix,20,5.000000e-02,-1.301030,3,1.463414e+08,8.095805,23.920000,-6.615466e-01
Mix,20,5.000000e-02,-1.301030,4,1.469555e+08,8.129778,39.570000,-7.945469e-01
Mix,20,5.000000e-02,-1.301030,5,1.716935e+08,9.498319,50.800000,-8.130252e-01
Mix,20,5.000000e-02,-1.301030,6,1.723088e+08,9.532356,50.800000,-8.123552e-01
Mix,21,4.761905e-02,-1.322219,1,1.077798e+08,5.962525,10.310000,-4.216756e-01
Mix,21,4.761905e-02,-1.322219,2,1.082055e+08,5.986078,23.920000,-7.497459e-01
Mix,21,4.761905e-02,-1.322219,3,1.394691e+08,7.715623,23.920000,-6.774405e-01
Mix,21,4.761905e-02,-1.322219,4,1.396892e+08,7.727800,39.570000,-8.047056e-01
Mix,21,4.761905e-02,-1.322219,5,1.643599e+08,9.092613,50.800000,-8.210116e-01
Mix,21,4.761905e-02,-1.322219,6,1.650980e+08,9.133446,50.800000,-8.202078e-01
Mix,22,4.545455e-02,-1.342423,1,1.035361e+08,5.727759,10.310000,-4.444463e-01
Mix,22,4.545455e-02,-1.342423,2,1.036924e+08,5.736408,23.920000,-7.601836e-01
Mix,22,4.545455e-02,-1.342423,3,1.329200e+08,7.353319,23.920000,-6.925870e-01
Mix,22,4.545455e-02,-1.342423,4,1.334987e+08,7.385333,39.570000,-8.133603e-01
Mix,22,4.545455e-02,-1.342423,5,1.575601e+08,8.716441,50.800000,-8.284165e-01
Mix,22,4.545455e-02,-1.342423,6,1.575813e+08,8.717615,50.800000,-8.283934e-01
Mix,23,4.347826e-02,-1.361728,1,9.955646e+07,5.507599,10.310000,-4.658003e-01
Mix,23,4.347826e-02,-1.361728,2,9.975874e+07,5.518790,23.920000,-7.692814e-01
Mix,23,4.347826e-02,-1.361728,3,1.273058e+08,7.042729,23.920000,-7.055715e-01
Mix,23,4.347826e-02,-1.361728,4,1.275553e+08,7.056532,39.570000,-8.216696e-01
Mix,23,4.347826e-02,-1.361728,5,1.505225e+08,8.327111,50.800000,-8.360805e-01
Mix,23,4.347826e-02,-1.361728,6,1.511231e+08,8.360337,50.800000,-8.354264e-01
Mix,24,4.166667e-02,-1.380211,1,9.591289e+07,5.306032,10.310000,-4.853509e-01
Mix,24,4.166667e-02,-1.380211,2,9.620188e+07,5.322019,23.920000,-7.775076e-01
Mix,24,4.166667e-02,-1.380211,3,1.220434e+08,6.751607,23.920000,-7.177422e-01
Mix,24,4.166667e-02,-1.380211,4,1.222814e+08,6.764777,39.570000,-8.290428e-01
Mix,24,4.166667e-02,-1.380211,5,1.444092e+08,7.988913,50.800000,-8.427379e-01
Mix,24,4.166667e-02,-1.380211,6,1.446878e+08,8.004327,50.800000,-8.424345e-01
Mix,25,4.000000e-02,-1.397940,1,9.271776e+07,5.129273,10.310000,-5.024954e-01
Mix,25,4.000000e-02,-1.397940,2,9.279801e+07,5.133713,23.920000,-7.853799e-01
Mix,25,4.000000e-02,-1.397940,3,1.171636e+08,6.481652,23.920000,-7.290279e-01
Mix,25,4.000000e-02,-1.397940,4,1.175258e+08,6.501687,39.570000,-8.356915e-01
Mix,25,4.000000e-02,-1.397940,5,1.385858e+08,7.666753,50.800000,-8.490797e-01
Mix,25,4.000000e-02,-1.397940,6,1.388465e+08,7.681180,50.800000,-8.487957e-01
