mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.7628,19.7390,-2.919013,-2.334657,-2.086443
2,1,2,49.9241,49.3476,-1.932461,-0.146535,-0.146950
3,1,2,49.9241,49.3476,-1.932458,-0.146535,-0.146949
4,2,2,80.0311,78.9557,-1.865794,-1.696222,-1.995045
5,3,1,101.7034,98.6942,-1.515851,-0.147440,-0.146061
6,3,1,101.7040,98.6942,-1.515767,-0.150385,-0.150478
7,3,2,131.5968,128.3018,-1.590384,-0.148389,-0.147333
8,3,2,131.5968,128.3018,-1.590383,-0.144825,-0.145851
9,3,3,177.7375,177.6471,-3.293403,0.007160,0.007315
10,3,3,177.7375,177.6471,-3.293394,0.007160,0.007315
11,3,3,182.7759,177.6471,-1.539539,-1.349639,-1.487684
12,2,4,207.5261,197.3849,-1.289226,-0.149977,-0.150425
13,2,4,207.5264,197.3849,-1.289212,-0.149978,-0.150426
14,1,5,258.3944,256.5976,-2.154739,0.003681,0.003796
15,1,5,258.3944,256.5976,-2.154738,0.003681,0.003796
16,2,5,281.6960,286.2034,-1.802747,0.000000,0.000000
17,2,5,281.6966,286.2034,-1.802810,0.000000,-0.000000
18,4,4,311.1046,315.8089,-1.826924,0.001491,0.001520
19,4,4,311.1046,315.8089,-1.826924,0.001491,0.001520
20,5,3,333.6522,335.5458,-2.248459,0.109706,0.111675
21,6,1,361.3239,365.1508,-1.979625,0.000000,0.000000
22,6,1,361.3284,365.1508,-1.980145,0.000000,0.000000
23,4,5,419.3286,404.6236,-1.439585,0.020202,0.021965
24,4,5,419.3286,404.6236,-1.439585,0.020202,0.021965
25,6,3,435.7979,444.0958,-1.728508,0.047322,0.048199
26,6,3,435.7979,444.0958,-1.728508,0.047322,0.048199
27,3,6,448.5335,444.0958,-2.000315,0.059583,0.062843
28,3,6,448.5339,444.0958,-2.000280,0.082518,0.086804
29,5,5,498.3194,493.4353,-2.004442,0.110259,0.115680
30,5,5,498.3194,493.4353,-2.004442,0.110259,0.115680
31,7,2,536.7466,523.0386,-1.581558,0.000000,-0.000000
32,7,3,572.1531,572.3766,-3.408359,0.016206,0.017049
33,7,3,572.1543,572.3766,-3.410673,0.045392,0.047595
34,5,6,598.3634,601.9790,-2.221402,-0.000000,0.000000
35,5,6,598.3641,601.9790,-2.221489,-0.000000,0.000000
36,8,1,626.9934,641.4484,-1.647146,0.014579,0.015322
37,8,1,626.9934,641.4484,-1.647146,0.014579,0.015322
38,2,8,671.9616,671.0500,-2.866957,0.005258,0.005583
39,2,8,671.9616,671.0500,-2.866956,0.005258,0.005583
40,2,8,675.7977,671.0500,-2.150275,0.000000,0.000000
41,2,8,675.8033,671.0500,-2.149756,0.000000,0.000000
42,7,5,748.2936,730.2523,-1.607206,0.003052,0.003368
43,7,5,748.2936,730.2523,-1.607206,0.052838,0.057676
44,1,9,805.9390,809.1867,-2.396473,0.007926,0.008444
45,2,9,830.2802,838.7865,-1.993909,0.000000,0.000000
46,2,9,830.2802,838.7865,-1.993909,0.000000,-0.000000
47,6,7,846.1989,838.7865,-2.053695,0.000000,0.000000
48,6,7,846.2116,838.7865,-2.052952,0.000000,0.000000
49,5,8,858.5587,878.2525,-1.649291,0.024276,0.026196
50,5,8,858.5591,878.2525,-1.649299,0.024287,0.026208
51,9,3,906.6959,888.1188,-1.679494,0.064446,0.071636
52,9,3,906.6959,888.1188,-1.679494,0.064446,0.071636
53,6,8,978.0217,986.7808,-2.051763,0.028240,0.030354
54,6,8,978.0217,986.7808,-2.051763,0.028240,0.030354
55,6,8,978.1888,986.7808,-2.060128,0.000000,0.000000
56,6,8,978.1902,986.7808,-2.060197,0.000000,0.000000
57,3,10,1074.4804,1075.5734,-2.993015,0.027069,0.029820
58,3,10,1074.4804,1075.5734,-2.993016,0.027069,0.029820
59,10,4,1131.0200,1144.6323,-1.924732,0.000000,-0.000000
60,10,4,1131.0208,1144.6323,-1.924758,0.000000,0.000000
61,4,10,1146.9669,1144.6323,-2.690467,0.000000,0.000000
62,6,9,1158.4632,1154.4978,-2.464097,0.048944,0.055678
63,6,9,1158.4632,1154.4978,-2.464097,0.048944,0.055678
64,11,1,1204.3007,1203.8243,-3.402575,0.002382,0.002655
65,11,1,1204.3035,1203.8243,-3.400091,0.066002,0.072462
66,11,1,1205.1599,1203.8243,-2.954886,0.087237,0.097913
67,11,1,1205.1664,1203.8243,-2.952773,0.004290,0.004936
68,7,9,1274.6158,1282.7449,-2.198096,0.037049,0.041849
69,7,9,1274.6158,1282.7449,-2.198096,0.037049,0.041849
70,11,4,1368.0371,1351.7986,-1.920365,-0.000000,0.000000
71,11,4,1368.0522,1351.7986,-1.919962,-0.000000,0.000000
72,11,4,1370.0583,1351.7986,-1.869419,0.024384,0.027648
73,11,4,1370.0583,1351.7986,-1.869419,0.024384,0.027648
74,12,3,1494.3466,1509.6289,-1.994680,0.014540,0.016530
75,12,3,1494.3466,1509.6289,-1.994680,0.014540,0.016530
76,3,12,1524.5977,1509.6289,-2.003683,0.036238,0.043588
77,3,12,1524.5977,1509.6289,-2.003683,0.036238,0.043588
78,11,6,1551.4970,1549.0851,-2.807718,-0.000000,0.000000
79,11,6,1551.4973,1549.0851,-2.807654,-0.000000,0.000000
80,9,9,1589.7280,1598.4045,-2.265344,0.096202,0.106766
81,9,9,1597.1911,1598.4045,-3.119687,0.000000,0.000000
82,9,9,1597.1911,1598.4045,-3.119688,0.000000,0.000000
83,12,5,1655.1736,1667.4501,-2.132981,-0.000000,0.000000
84,12,5,1655.1956,1667.4501,-2.133757,0.000000,0.000000
85,12,5,1665.1657,1667.4501,-2.863293,0.000000,0.000000
86,12,5,1665.1671,1667.4501,-2.863558,0.000000,0.000000
87,3,13,1756.2830,1756.2204,-4.448374,0.014012,0.016785
88,3,13,1756.2830,1756.2204,-4.448373,0.014012,0.016785
89,7,12,1869.3001,1904.1646,-1.737322,0.033027,0.037751
90,7,12,1869.3001,1904.1646,-1.737322,0.033027,0.037751
91,7,12,1879.6376,1904.1646,-1.890061,0.044992,0.052605
92,7,12,1879.6406,1904.1646,-1.890115,0.068444,0.079357
93,6,13,2035.8943,2022.5141,-2.179426,0.024474,0.029507
94,6,13,2035.8943,2022.5141,-2.179426,0.024474,0.029507
95,8,12,2046.7269,2052.1006,-2.581921,-0.000000,0.000000
96,8,12,2046.7276,2052.1006,-2.581981,0.000000,0.000000
97,14,4,2072.4483,2091.5489,-2.039422,0.000854,0.001092
98,14,4,2072.4483,2091.5489,-2.039422,0.000854,0.001092
99,4,14,2116.0870,2091.5489,-1.930627,0.000000,0.000000
100,4,14,2116.0928,2091.5489,-1.930524,0.000000,0.000000
101,13,7,2140.7651,2150.7202,-2.334539,0.044594,0.052459
102,5,14,2181.1283,2180.3053,-3.423156,0.060710,0.075439
103,5,14,2181.1283,2180.3053,-3.423156,0.002167,0.002787
104,15,2,2244.6858,2259.1975,-2.192234,0.001482,0.001799
105,15,2,2244.6909,2259.1975,-2.192388,0.004420,0.005357
106,2,15,2268.0626,2259.1975,-2.406271,0.047730,0.059832
107,2,15,2268.0739,2259.1975,-2.405718,0.000000,0.000000
108,11,11,2386.1532,2387.3925,-3.284749,0.056403,0.070051
109,11,11,2386.1532,2387.3925,-3.284749,0.056403,0.070051
110,9,13,2507.6894,2466.2787,-1.774929,0.024967,0.031130
111,9,13,2507.6894,2466.2787,-1.774929,0.024967,0.031130
112,14,8,2534.9808,2564.8831,-1.933363,-0.000000,-0.000000
113,14,8,2534.9868,2564.8831,-1.933449,0.000000,0.000000
114,9,14,2734.9379,2732.5026,-3.050000,0.020097,0.025673
115,9,14,2734.9379,2732.5026,-3.050000,0.020097,0.025673
116,9,14,2755.1905,2732.5026,-2.080765,0.000000,-0.000000
117,9,14,2755.1905,2732.5026,-2.080765,0.000000,-0.000000
118,9,14,2780.1858,2732.5026,-1.758195,0.000000,-0.000000
119,9,14,2780.1862,2732.5026,-1.758191,0.008397,0.011936
120,12,12,2822.4722,2840.9567,-2.186657,0.046125,0.062007
121,12,12,2822.4722,2840.9567,-2.186657,0.046125,0.062007
122,11,13,2865.6332,2860.6751,-2.761153,0.004097,0.005232
123,11,13,2885.5671,2860.6751,-2.060410,0.025952,0.035853
124,11,13,2885.5687,2860.6751,-2.060381,0.023064,0.031941
125,9,15,2969.4121,3018.4176,-1.789534,-0.000000,-0.000000
126,9,15,2969.4121,3018.4176,-1.789534,-0.000000,0.000000
127,9,15,2984.9520,3018.4176,-1.955181,0.036626,0.047014
128,9,15,2984.9932,3018.4176,-1.955715,0.038544,0.049417
