mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.4207,19.7390,-1.792486,-2.092938,-1.684791,0.427082
2,2,1,48.6163,49.3476,-1.829177,-0.147475,-0.147698,0.252498
3,2,1,48.8622,49.3476,-2.007229,-0.144595,-0.144378,0.196991
4,2,2,77.0798,78.9557,-1.624183,-1.259893,-1.145720,0.323951
5,1,3,97.8367,98.6942,-2.061027,-0.142431,-0.142803,0.242262
6,1,3,97.8613,98.6942,-2.073681,-0.149910,-0.149669,0.199643
7,2,3,124.0665,128.3018,-1.481348,-0.149570,-0.148637,0.197484
8,2,3,125.9073,128.3018,-1.729016,-0.149527,-0.149022,0.203055
9,1,4,166.6675,167.7781,-2.179197,-0.149341,-0.149073,0.189679
10,1,4,166.8459,167.7781,-2.255259,-0.148704,-0.148418,0.186606
11,4,1,170.6346,167.7781,-1.768905,0.027093,0.027113,0.039510
12,4,2,192.4838,197.3849,-1.605020,-0.149733,-0.149671,0.208476
13,4,2,192.8867,197.3849,-1.642276,-0.139983,-0.138480,0.167617
14,4,3,232.3388,246.7289,-1.234156,-0.144911,-0.141847,0.170855
15,4,3,239.3050,246.7289,-1.521588,-0.146535,-0.145536,0.187043
16,5,1,255.2868,256.5976,-2.291731,-0.143199,-0.142744,0.167646
17,5,1,255.3246,256.5976,-2.304444,-0.146761,-0.146403,0.178485
18,2,5,279.0102,286.2034,-1.599754,-0.145515,-0.144219,0.176894
19,2,5,280.0390,286.2034,-1.666783,-0.145237,-0.144002,0.178308
20,5,2,295.0587,286.2034,-1.509471,0.036225,0.035504,0.049238
21,4,4,318.8654,315.8089,-2.014210,0.016949,0.016544,0.021017
22,4,4,322.5578,315.8089,-1.670192,-0.005232,-0.007311,0.131904
23,6,1,362.8214,365.1508,-2.195234,-0.111668,-0.111653,0.131383
24,6,1,363.3576,365.1508,-2.308845,-0.143581,-0.143256,0.171631
25,1,6,366.7777,365.1508,-2.351093,-0.007962,-0.009898,0.061555
26,2,6,384.0476,394.7554,-1.566625,0.029310,0.027544,0.033011
27,2,6,385.2002,394.7554,-1.616089,-0.115545,-0.113419,0.121815
28,2,6,385.8213,394.7554,-1.645279,-0.136941,-0.135233,0.158097
