mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.4846,19.7390,-1.889848,-2.396524,-1.875548,0.452557
2,2,1,48.8042,49.3476,-1.958162,-0.150481,-0.150406,0.234222
3,2,1,48.9525,49.3476,-2.096578,-0.150463,-0.150405,0.238615
4,2,2,77.5682,78.9557,-1.755170,-1.479262,-1.350122,0.339848
5,1,3,98.0565,98.6942,-2.189669,-0.141665,-0.141919,0.247435
6,1,3,98.0823,98.6942,-2.207615,-0.150332,-0.150232,0.206576
7,2,3,125.3988,128.3018,-1.645384,-0.150221,-0.149852,0.209093
8,2,3,126.5049,128.3018,-1.853712,-0.150179,-0.149964,0.213658
9,1,4,166.9987,167.7781,-2.333011,-0.150172,-0.150067,0.196610
10,1,4,167.1063,167.7781,-2.397480,-0.149966,-0.149853,0.194957
11,3,3,172.9288,177.6471,-1.575780,-0.880672,-0.839261,0.291207
12,4,2,194.0179,197.3849,-1.768075,-0.149695,-0.149308,0.196530
13,4,2,194.2239,197.3849,-1.795491,-0.146591,-0.145916,0.186139
14,4,3,237.4252,246.7289,-1.423567,-0.148905,-0.147791,0.190328
15,4,3,241.5849,246.7289,-1.680918,-0.149338,-0.148995,0.202076
16,5,1,255.7729,256.5976,-2.493000,-0.144670,-0.144426,0.171342
17,5,1,255.8049,256.5976,-2.510171,-0.149408,-0.149267,0.189362
18,2,5,281.5280,286.2034,-1.786857,-0.148890,-0.148380,0.190105
19,2,5,282.0918,286.2034,-1.842662,-0.148614,-0.148099,0.189822
20,4,4,302.9370,315.8089,-1.389782,-0.488150,-0.466929,0.238014
21,4,4,324.9616,315.8089,-1.537879,-0.000000,0.000000,0.000000
22,5,3,326.5363,335.5458,-1.571051,-0.139280,-0.138272,0.188858
23,6,1,364.1998,365.1508,-2.584334,-0.148522,-0.148397,0.186138
24,6,1,364.3306,365.1508,-2.648602,-0.148261,-0.148110,0.184043
25,2,6,380.9883,394.7554,-1.457486,0.025177,0.023410,0.028072
