mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.4025,19.7390,-1.768400,-2.021821,-1.637844,0.421225
2,2,1,48.5613,49.3476,-1.797710,-0.150361,-0.150140,0.220925
3,2,1,48.8371,49.3476,-1.985298,-0.150289,-0.150131,0.225006
4,2,2,76.9354,78.9557,-1.591974,-1.160431,-1.062221,0.317760
5,1,3,97.7724,98.6942,-2.029640,-0.139540,-0.139026,0.163557
6,1,3,97.7937,98.6942,-2.039817,-0.149711,-0.149412,0.197547
7,2,3,123.6589,128.3018,-1.441446,-0.149327,-0.148176,0.194522
8,2,3,125.7306,128.3018,-1.698092,-0.149260,-0.148644,0.200368
9,1,4,166.5624,167.7781,-2.139924,-0.149009,-0.148678,0.187762
10,1,4,166.7619,167.7781,-2.217749,-0.148256,-0.147906,0.184501
11,4,1,169.9121,167.7781,-1.895548,0.025781,0.025604,0.036853
12,4,2,192.0122,197.3849,-1.565121,-0.146935,-0.145673,0.180147
13,4,2,192.4886,197.3849,-1.605450,-0.137831,-0.136063,0.163126
14,4,3,230.7354,246.7289,-1.188277,-0.143607,-0.139877,0.166291
15,4,3,238.5960,246.7289,-1.481974,-0.145502,-0.144279,0.183634
16,5,1,255.0961,256.5976,-2.232731,-0.138800,-0.138206,0.158057
17,5,1,255.1327,256.5976,-2.243453,-0.145342,-0.144895,0.174239
18,2,5,278.1982,286.2034,-1.553302,-0.144473,-0.142924,0.174119
19,2,5,279.3859,286.2034,-1.623047,-0.143552,-0.142022,0.173790
20,5,2,292.4772,286.2034,-1.659148,0.033645,0.032399,0.044744
21,4,4,316.9069,315.8089,-2.458829,-0.000000,0.000000,-0.000000
22,4,4,321.3960,315.8089,-1.752240,-0.013098,-0.015547,0.132874
23,6,1,360.7737,365.1508,-1.921286,-0.033327,-0.034232,0.060699
24,6,1,362.9143,365.1508,-2.212907,-0.138033,-0.137547,0.159627
25,6,1,363.7145,365.1508,-2.405231,-0.089917,-0.091775,0.137452
26,2,6,381.4272,394.7554,-1.471556,0.016674,0.015406,0.018520
27,2,6,383.9480,394.7554,-1.562604,-0.145332,-0.145788,0.206312
28,2,6,384.6419,394.7554,-1.591428,-0.131456,-0.129361,0.148477
29,4,5,418.7228,404.6236,-1.457856,0.023773,0.022297,0.074700
30,4,5,422.9129,404.6236,-1.344854,-0.009265,-0.010007,0.031067
31,6,3,431.6397,444.0958,-1.552094,0.007147,0.006140,0.008386
32,3,6,464.9669,444.0958,-1.327931,0.030692,0.029393,0.042150
33,7,1,479.1910,493.4353,-1.539589,0.000000,0.000000,-0.000000
34,7,1,488.7575,493.4353,-2.023190,-0.128649,-0.128056,0.142658
35,7,1,489.7103,493.4353,-2.122110,-0.120345,-0.120147,0.144983
36,5,5,500.6971,493.4353,-1.832186,0.037494,0.033383,0.048153
37,6,4,507.3547,513.1708,-1.945625,0.005971,0.005699,0.006275
38,6,4,509.0075,513.1708,-2.090823,0.010980,0.010273,0.012127
39,7,2,537.8104,523.0386,-1.549098,0.000000,0.000000,-0.000000
40,7,2,539.8329,523.0386,-1.493371,-0.000000,0.000000,-0.000000
41,7,2,540.9458,523.0386,-1.465504,-0.000000,-0.000000,0.000000
42,3,7,572.3867,572.3766,-4.752866,0.015211,0.007558,0.071109
43,3,7,577.1009,572.3766,-2.083348,0.025066,0.022795,0.031076
44,5,6,593.3098,601.9790,-1.841600,-0.034456,-0.036408,0.088353
45,5,6,617.9460,601.9790,-1.576357,0.011626,0.010065,0.016294
46,8,1,631.2485,641.4484,-1.798566,-0.082938,-0.082996,0.092990
47,8,1,632.1590,641.4484,-1.839176,-0.120621,-0.119816,0.132601
48,8,1,634.7583,641.4484,-1.981733,-0.009546,-0.017890,0.080788
49,8,1,641.1068,641.4484,-3.273758,0.009318,0.008460,0.010953
50,4,7,648.0484,641.4484,-1.987616,0.000000,0.000000,0.000000
51,8,2,658.4812,671.0500,-1.727462,-0.043307,-0.045865,0.089172
52,2,8,671.2510,671.0500,-3.523628,0.011031,0.009952,0.013160
53,2,8,672.0775,671.0500,-2.814978,0.002512,0.002307,0.002951
54,2,8,687.9466,671.0500,-1.598955,0.000000,0.000000,0.000000
55,6,6,695.4016,710.5184,-1.672117,0.038713,0.031925,0.047315
56,6,6,704.9218,710.5184,-2.103652,0.028584,0.025058,0.034343
57,3,8,717.4286,720.3854,-2.386742,0.004014,-0.000693,0.033228
58,3,8,720.3644,720.3854,-4.535988,0.017735,0.015780,0.022317
59,7,5,751.3417,730.2523,-1.539410,-0.000000,0.000000,0.000000
60,7,5,756.7212,730.2523,-1.440738,-0.005166,-0.010211,0.042145
61,7,5,757.9449,730.2523,-1.421110,0.000000,0.000000,-0.000000
62,8,4,770.1766,789.4533,-1.612292,0.004087,0.003354,0.004998
63,8,4,780.4177,789.4533,-1.941368,0.000000,0.000000,-0.000000
64,8,4,780.7976,789.4533,-1.960023,0.000000,0.000000,0.000000
65,4,8,790.4951,789.4533,-2.879578,0.006770,0.005574,0.009252
66,1,9,799.5954,809.1867,-1.926168,0.026193,0.024315,0.028084
67,1,9,801.9085,809.1867,-2.046023,0.017876,0.013165,0.026636
68,9,1,811.1431,809.1867,-2.616596,0.003673,0.002995,0.006187
69,9,1,813.7513,809.1867,-2.248646,0.023487,0.021124,0.028755
70,9,1,819.4288,809.1867,-1.897660,0.001881,0.001443,0.002927
71,2,9,835.9499,838.7865,-2.470853,0.000000,0.000000,0.000000
72,6,7,851.8341,838.7865,-1.808122,0.000000,-0.000000,0.000000
73,6,7,855.0754,838.7865,-1.711761,0.022041,0.016774,0.034529
74,5,8,860.5047,878.2525,-1.694476,0.020467,0.012569,0.034285
75,5,8,863.2634,878.2525,-1.767846,-0.029511,-0.031239,0.065439
76,9,3,908.9820,888.1188,-1.629092,0.000801,0.000111,0.007464
77,9,3,911.0132,888.1188,-1.588742,0.002186,0.001705,0.003494
78,9,4,923.6200,957.1826,-1.455140,0.011323,0.008902,0.004486
79,9,4,927.0267,957.1826,-1.501623,0.015099,0.012850,0.017456
80,9,4,940.7652,957.1826,-1.765691,0.002473,-0.000338,0.019532
81,7,7,968.1593,967.0487,-2.939875,0.000000,0.000000,0.000000
82,7,7,968.4057,967.0487,-2.852853,0.000000,0.000000,0.000000
83,6,8,977.4930,986.7808,-2.026310,0.005859,0.005406,0.012032
84,6,8,979.4689,986.7808,-2.130196,-0.002454,-0.002452,0.004704
85,1,10,994.3952,996.6468,-2.646062,0.025526,0.021783,0.029131
86,1,10,995.8832,996.6468,-3.115705,-0.000000,0.000000,0.000000
87,10,1,997.9004,996.6468,-2.900377,0.000302,0.000158,0.003707
88,10,1,1002.1047,996.6468,-2.261511,0.001618,0.001285,0.002298
89,10,1,1009.4915,996.6468,-1.889814,0.019215,0.017874,0.011714
90,2,10,1033.2917,1026.2445,-2.163238,-0.002283,-0.002790,0.007295
91,5,9,1039.6961,1045.9762,-2.221560,-0.011225,-0.010905,0.012128
92,5,9,1040.8048,1045.9762,-2.305913,-0.035386,-0.038380,0.079994
93,9,5,1051.9625,1045.9762,-2.242362,0.005425,0.004502,0.007290
94,3,10,1067.1195,1075.5734,-2.104584,0.033452,0.029901,0.012902
95,10,3,1079.6360,1075.5734,-2.422834,0.013374,0.012080,0.015140
96,10,3,1079.8824,1075.5734,-2.397266,0.008014,0.007215,0.009140
97,10,3,1093.5725,1075.5734,-1.776389,-0.004960,-0.005267,0.009609
98,7,8,1099.1986,1115.0359,-1.847610,0.001400,-0.000934,0.042888
99,7,8,1107.4276,1115.0359,-2.166000,0.000000,-0.000000,0.000000
100,7,8,1110.6145,1115.0359,-2.401736,-0.000000,-0.000000,0.000000
101,7,8,1110.8159,1115.0359,-2.421978,-0.000000,-0.000000,-0.000000
102,7,8,1114.7079,1115.0359,-3.531404,-0.000000,-0.000000,0.000000
103,7,8,1120.4075,1115.0359,-2.317181,0.004339,0.003765,0.005409
