mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.4942,19.7390,-1.906498,-2.442687,-1.906322,0.457049
2,2,1,48.8304,49.3476,-1.979663,-0.150479,-0.150413,0.235958
3,2,1,48.9663,49.3476,-2.112047,-0.150473,-0.150421,0.240233
4,2,2,77.6364,78.9557,-1.777060,-1.505309,-1.377103,0.342196
5,1,3,98.0877,98.6942,-2.211477,-0.132268,-0.132007,0.152675
6,1,3,98.1125,98.6942,-2.229576,-0.150364,-0.150278,0.207554
7,2,3,125.5765,128.3018,-1.672816,-0.150259,-0.149939,0.210632
8,2,3,126.5890,128.3018,-1.874513,-0.150216,-0.150027,0.214964
9,1,4,167.0423,167.7781,-2.358003,-0.150232,-0.150142,0.197437
10,1,4,167.1405,167.7781,-2.420214,-0.150070,-0.149974,0.196025
11,3,3,173.2270,177.6471,-1.604124,-0.911735,-0.870240,0.294297
12,4,2,194.2226,197.3849,-1.795311,-0.145383,-0.144724,0.178410
13,4,2,194.4066,197.3849,-1.821340,-0.147119,-0.146530,0.188170
14,4,3,238.0805,246.7289,-1.455284,-0.149119,-0.148155,0.192177
15,4,3,241.8857,246.7289,-1.707089,-0.149509,-0.149206,0.203261
16,5,1,255.8277,256.5976,-2.522812,-0.149134,-0.149207,0.214207
17,5,1,255.8578,256.5976,-2.540152,-0.149612,-0.149492,0.190612
18,2,5,281.8488,286.2034,-1.817725,-0.149103,-0.148657,0.191212
19,2,5,282.3582,286.2034,-1.871753,-0.148921,-0.148478,0.191325
20,4,4,303.9092,315.8089,-1.423887,-0.553707,-0.531695,0.252722
21,5,3,325.7316,335.5458,-1.533900,-0.138630,-0.136930,0.158753
22,5,3,327.0878,335.5458,-1.598485,-0.134883,-0.133354,0.164565
23,6,1,364.2950,365.1508,-2.630129,-0.149135,-0.149035,0.188856
24,6,1,364.4110,365.1508,-2.693378,-0.148193,-0.148048,0.183371
25,2,6,382.8154,394.7554,-1.519322,0.025974,0.024366,0.029406
26,2,6,389.3675,394.7554,-1.864908,-0.147178,-0.147586,0.217763
27,2,6,389.6574,394.7554,-1.888929,-0.146710,-0.146071,0.180211
28,2,6,392.7972,394.7554,-2.304477,0.033499,0.032942,0.040603
29,6,3,431.0581,444.0958,-1.532275,-0.139077,-0.137306,0.161664
30,6,3,432.5584,444.0958,-1.585370,-0.134997,-0.133225,0.156039
31,3,6,464.2300,444.0958,-1.343543,0.043969,0.043867,0.059723
32,7,1,489.4732,493.4353,-2.095307,0.022541,0.020453,0.103286
33,7,1,491.9309,493.4353,-2.515875,-0.104130,-0.104122,0.138464
34,7,1,492.7980,493.4353,-2.888878,-0.133523,-0.133693,0.179270
35,5,5,495.4160,493.4353,-2.396399,-0.013165,-0.014876,0.124988
36,4,6,516.0811,513.1708,-2.246335,0.077945,0.077449,0.083439
37,4,6,516.5828,513.1708,-2.177251,0.002074,0.002061,0.002264
38,7,3,554.0247,572.3766,-1.494000,0.029475,0.026874,0.032345
39,7,3,555.9766,572.3766,-1.542837,-0.143274,-0.142018,0.175055
40,7,3,556.6914,572.3766,-1.562192,-0.140364,-0.138917,0.171065
41,3,7,575.1370,572.3766,-2.316713,0.000000,0.000000,0.000000
42,5,6,611.0345,601.9790,-1.822670,-0.002932,-0.003345,0.019824
43,5,6,615.4770,601.9790,-1.649311,0.017459,0.015874,0.109918
44,8,1,640.2417,641.4484,-2.725566,-0.145227,-0.145051,0.174951
45,8,1,640.4361,641.4484,-2.801860,-0.144247,-0.144057,0.173608
46,4,7,646.7643,641.4484,-2.081585,0.038154,0.035603,0.046617
47,8,2,662.0192,671.0500,-1.871030,-0.126423,-0.125376,0.140968
48,8,2,662.3441,671.0500,-1.886943,-0.134648,-0.133807,0.157200
49,2,8,680.2303,671.0500,-1.863899,0.015330,0.013840,0.050781
50,6,6,694.9642,710.5184,-1.659728,-0.069461,-0.071908,0.141986
51,6,6,698.7278,710.5184,-1.780042,0.015146,0.014512,0.015685
