mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.9191,19.7390,-2.039858,-1.869490,-2.169868
2,1,2,50.9208,49.3476,-1.496476,-0.150275,-0.150395
3,1,2,50.9208,49.3476,-1.496470,-0.150275,-0.150394
4,2,2,81.3996,78.9557,-1.509300,-1.293840,-1.315821
5,3,1,107.3620,98.6942,-1.056385,-0.149559,-0.150412
6,3,1,107.3620,98.6942,-1.056383,-0.137912,-0.129358
7,3,2,137.4997,128.3018,-1.144546,-0.148870,-0.149894
8,3,2,137.4997,128.3018,-1.144546,-0.148870,-0.149894
9,4,2,193.1235,197.3849,-1.665762,0.070819,0.072180
10,4,2,196.8310,197.3849,-2.551897,0.052592,0.055525
11,4,2,196.8310,197.3849,-2.551898,0.052592,0.055525
12,4,3,225.9456,246.7289,-1.074505,0.006853,0.006710
13,4,3,225.9630,246.7289,-1.074869,0.011324,0.011089
14,2,5,280.0823,286.2034,-1.669845,0.009042,0.009489
15,2,5,280.0823,286.2034,-1.669845,0.009042,0.009489
16,5,3,334.2786,335.5458,-2.422919,0.056561,0.062090
17,5,3,334.2787,335.5458,-2.422940,0.080014,0.087414
18,6,1,362.8631,365.1508,-2.203084,0.039369,0.043249
19,6,1,362.8631,365.1508,-2.203085,0.039369,0.043249
20,6,1,364.4150,365.1508,-2.695737,0.032881,0.035689
21,4,5,415.9733,404.6236,-1.552064,0.081811,0.091610
22,4,5,415.9738,404.6236,-1.552046,0.052891,0.059687
23,5,5,497.7738,493.4353,-2.055893,0.062344,0.069769
24,5,5,497.7738,493.4353,-2.055893,0.062344,0.069769
25,7,2,545.0904,523.0386,-1.375089,0.002733,0.003414
26,7,2,545.0904,523.0386,-1.375089,0.002733,0.003414
27,7,3,571.8175,572.3766,-3.010157,0.005203,0.006217
28,7,3,571.8390,572.3766,-3.027248,0.001836,0.002197
29,8,1,621.8209,641.4484,-1.514297,0.004773,0.005530
30,8,1,621.8209,641.4484,-1.514297,0.004773,0.005530
31,8,1,628.3202,641.4484,-1.688959,0.005167,0.005840
32,6,6,698.2868,710.5184,-1.764093,0.026556,0.031094
33,6,6,698.3429,710.5184,-1.766092,0.051202,0.060091
34,9,1,822.1456,809.1867,-1.795482,0.001159,0.001436
35,9,1,822.1456,809.1867,-1.795482,0.001159,0.001436
36,8,5,879.9929,878.2525,-2.702973,0.001613,0.002166
37,8,5,879.9929,878.2525,-2.702960,0.004688,0.006279
38,9,3,905.7049,888.1188,-1.703302,0.004462,0.006066
39,9,3,905.7049,888.1188,-1.703302,0.004462,0.006066
40,9,4,953.9683,957.1826,-2.473915,0.039130,0.050573
41,9,4,953.9688,957.1826,-2.473978,0.015108,0.019846
42,10,1,1003.5172,996.6468,-2.161557,0.000544,0.000695
43,2,10,1026.2529,1026.2445,-5.088931,0.021762,0.028520
44,2,10,1026.2529,1026.2445,-5.088900,0.021762,0.028520
45,4,10,1144.9111,1144.6323,-3.613466,0.003291,0.004395
46,4,10,1144.9124,1144.6323,-3.611388,0.005806,0.007738
47,6,10,1313.1203,1341.9339,-1.668134,0.003364,0.004496
48,6,10,1313.1203,1341.9339,-1.668134,0.003364,0.004496
49,5,11,1446.5047,1440.5793,-2.385817,0.000000,0.000000
50,5,11,1446.5047,1440.5793,-2.385817,0.000000,0.000000
51,10,7,1468.9448,1470.1722,-3.078363,0.009327,0.014757
52,10,7,1468.9942,1470.1722,-3.096211,0.001987,0.003176
53,3,12,1511.9316,1509.6289,-2.816640,0.012418,0.021259
54,3,12,1511.9316,1509.6289,-2.816640,0.012418,0.021259
55,12,4,1573.7751,1578.6768,-2.507944,0.004792,0.009443
56,12,4,1574.1851,1578.6768,-2.545877,0.016647,0.029108
57,8,10,1610.1328,1618.1320,-2.305969,0.004109,0.005903
58,13,1,1679.6852,1677.3136,-2.849563,0.001466,0.002320
59,13,1,1679.6852,1677.3136,-2.849563,0.001466,0.002320
60,13,4,1817.9156,1825.2620,-2.395246,0.012764,0.019836
61,13,4,1820.3080,1825.2620,-2.566371,0.004800,0.007561
62,14,4,2082.4663,2091.5489,-2.362258,0.023722,0.037397
63,14,4,2082.4663,2091.5489,-2.362259,0.023722,0.037397
64,5,15,2460.1980,2466.2787,-2.608092,0.001766,0.003069
65,14,8,2549.5514,2564.8831,-2.223477,0.006221,0.013364
66,14,8,2549.5520,2564.8831,-2.223492,0.001766,0.003839
67,15,6,2571.1666,2574.7434,-2.857236,0.002786,0.006042
68,15,6,2571.1666,2574.7434,-2.857236,0.002786,0.006042
69,11,12,2614.4957,2614.1840,-3.923712,-0.000000,-0.000000
70,11,12,2614.5015,2614.1840,-3.915719,0.000000,-0.000000
71,10,13,2670.6057,2653.6241,-2.193862,0.026400,0.051654
72,10,13,2670.6057,2653.6241,-2.193862,0.026400,0.051654
73,9,14,2776.0134,2732.5026,-1.797963,0.010326,0.021842
74,9,14,2776.0394,2732.5026,-1.797704,0.028759,0.058257
75,11,13,2890.0063,2860.6751,-1.989139,-0.000000,0.000000
76,11,13,2890.0063,2860.6751,-1.989139,0.000000,-0.000000
77,11,14,3143.1450,3126.8603,-2.283328,-0.000000,0.000000
78,11,14,3143.2668,3126.8603,-2.280092,-0.000000,0.000000
79,13,13,3320.7340,3333.8752,-2.404316,0.003974,0.007835
